Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,13.8946,13.8946,1.96334,27.2797,34.9614,24.0818,1.96334,0.431011
0.232,15.2838,15.2838,1.95794,29.9248,34.9614,24.0887,1.95794,0.373475
0.261,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.29,17.8568,17.8568,1.92789,34.4259,35.0839,24.1004,1.92789,0.266667
0.319,14.2364,14.2364,1.98828,28.3059,35.4068,24.0846,1.98828,0.416667
0.348,17.5163,17.5163,1.9771,34.6315,35.7297,24.1012,1.9771,0.281011
0.377,18.8992,18.8992,1.90915,36.0814,36.0526,24.1046,1.90915,0.223475
0.406,17.8667,17.8667,2.00268,35.7813,36.3756,24.1043,2.00268,0.266667
0.435,16.0459,16.0459,2.06297,33.1022,36.6985,24.0976,2.06297,0.341667
0.464,10.6329,10.6329,2.09453,22.2709,37.0214,24.0692,2.09453,0.566667
0.493,19.5144,19.5144,1.87584,36.606,37.3443,24.1059,1.87584,0.197862
0.522,20.6473,20.6473,1.44623,29.8608,37.6672,24.0862,1.44623,0.148475
0.551,18.9469,18.9469,2.00909,38.0662,37.9902,24.1103,2.00909,0.222073
0.58,19.6659,19.6659,1.88655,37.1008,38.3131,24.1072,1.88655,0.191667
0.609,7.77887,7.77887,2.2012,17.1229,38.636,24.0562,2.2012,0.684965
0.638,20.3582,20.3582,1.65396,33.6717,38.9589,24.0971,1.65396,0.16168
0.667,17.1225,17.1225,2.19371,37.5618,39.2818,24.1098,2.19371,0.298475
0.696,19.485,19.485,1.99634,38.8988,39.6048,24.1124,1.99634,0.199776
0.725,20.8685,20.8685,1.36688,28.5247,39.9277,24.0823,1.36688,0.138842
0.754,6.92245,6.92245,2.30193,15.935,40.2506,24.0535,2.30193,0.720953
0.783,19.2852,19.2852,2.08999,40.3059,40.5735,24.1165,2.08999,0.208566
0.812,18.7804,18.7804,2.18949,41.1195,40.8964,24.1191,2.18949,0.229972
0.841,19.7553,19.7553,1.99905,39.4919,41.2194,24.114,1.99905,0.188627
0.87,18.6005,18.6005,2.24631,41.7824,41.5423,24.1211,2.24631,0.237717
0.899,10.5569,10.5569,2.38451,25.173,41.8652,24.0781,2.38451,0.570952
0.928,17.6568,17.6568,2.35002,41.4939,42.1881,24.1208,2.35002,0.277238
0.957,19.586,19.586,2.11302,41.3857,42.511,24.1195,2.11302,0.196282
0.986,18.9128,18.9128,2.27626,43.0505,42.8339,24.1246,2.27626,0.224999
1.015,17.4252,17.4252,2.41569,42.0939,43.1569,24.1226,2.41569,0.287155
1.044,14.1944,14.1944,2.4713,35.0786,43.4798,24.1045,2.4713,0.420952
1.073,18.1201,18.1201,2.41702,43.7966,43.8027,24.1271,2.41702,0.25849
1.102,18.7895,18.7895,2.36475,44.4324,44.1256,24.1286,2.36475,0.230586
1.131,18.4916,18.4916,2.42013,44.7521,44.4485,24.1296,2.42013,0.243185
