# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.459,8.570,50.751,47.667,172
sample_index,rtt_ms
0,32.091
1,40.621
2,14.065
3,17.202
4,17.788
5,15.721
6,20.636
7,17.214
8,28.511
9,26.192
10,15.233
11,16.157
12,32.017
13,26.883
14,21.721
15,16.921
16,16.472
17,28.639
18,34.068
19,27.701
20,26.086
21,17.031
22,30.297
23,37.367
24,19.616
25,18.635
26,18.655
27,27.438
28,19.553
29,15.172
30,47.691
31,13.447
32,39.644
33,47.658
34,34.076
35,16.189
36,37.942
37,18.044
38,21.609
39,15.330
40,14.635
41,28.395
42,20.039
43,20.258
44,17.395
45,31.817
46,40.389
47,17.427
48,27.804
49,15.497
50,22.773
51,16.808
52,17.002
53,24.711
54,15.918
55,20.044
56,16.856
57,17.218
58,24.988
59,38.423
60,43.147
61,25.901
62,19.979
63,20.863
64,17.111
65,14.811
66,27.588
67,38.969
68,20.049
69,27.987
70,17.978
71,21.003
72,18.867
73,14.993
74,27.068
75,17.008
76,43.993
77,15.952
78,25.930
79,32.854
80,17.832
81,16.868
82,37.762
83,20.860
84,37.246
85,25.772
86,21.232
87,20.793
88,16.195
89,15.870
90,32.097
91,21.760
92,42.473
93,22.167
94,33.372
95,19.854
96,17.894
97,25.815
98,17.185
99,21.682
100,15.937
101,16.385
102,29.820
103,19.909
104,17.842
105,34.734
106,25.248
107,20.070
108,16.886
109,15.832
110,15.703
111,25.801
112,39.591
113,17.738
114,14.881
115,27.710
116,18.729
117,16.775
118,15.645
119,16.727
120,27.877
121,18.793
122,17.794
123,50.751
124,15.504
125,19.290
126,43.834
127,25.372
128,20.515
129,19.583
130,34.580
131,29.039
132,18.929
133,24.316
134,14.606
135,28.090
136,18.435
137,39.508
138,13.713
139,44.072
140,19.683
141,14.652
142,14.534
143,25.407
144,18.630
145,19.534
146,15.417
147,17.137
148,24.370
149,21.367
150,21.419
151,45.414
152,15.193
153,29.366
154,18.193
155,26.185
156,17.291
157,17.296
158,28.819
159,21.627
160,17.454
161,15.116
162,16.314
163,33.157
164,15.577
165,16.140
166,21.955
167,15.353
168,26.367
169,31.863
170,14.423
171,20.583
