Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,3.63981,3.63981,8.78684e-07,3.19824e-06,34.9614,24.0002,8.78684e-07,0.6726
0.0016,17.5919,17.5919,1.61325,28.3802,34.9614,24.1051,1.61325,0.566667
0.0018,12.766,12.766,2,25.5319,34.9614,24.1781,2.6135,0.416667
0.002,19.199,19.199,0.49751,9.55168,34.9614,24.0354,0.49751,0.266667
0.0022,2.89907,2.89907,2,5.79815,34.9614,24.2808,4.83866,0.716667
0.0024,0.964301,0.964301,0,0,34.9614,23.9998,-0.0349166,0.73038
0.0026,14.1838,14.1838,1.88651,26.758,34.9614,24.1094,1.88651,0.716667
0.0028,12.3807,12.3807,2,24.7613,34.9614,24.1395,2.05448,0.463586
0.003,15.0009,15.0009,1.42677,21.4028,34.9614,24.0983,1.42677,0.416667
0.0032,2.98073,2.98073,2,5.96145,34.9614,24.2131,3.63965,0.716667
0.0034,9.44763,9.44763,6.71273e-07,6.34194e-06,34.9614,24.0019,6.71273e-07,0.58038
0.0036,12.6839,12.6839,2,25.3677,34.9614,24.2068,3.36221,0.659509
0.0038,5.24552,5.24552,1.26047,6.61181,34.9614,24.0849,1.26047,0.569957
0.004,15.8156,15.8156,1.35947,21.5009,34.9614,24.0889,1.35947,0.566667
0.0042,2.63568,2.63568,2,5.27136,34.9614,24.2218,3.82558,0.716667
0.0044,4.3006,4.3006,0,0,34.9614,24.0006,-3.95067e-07,0.73038
0.0046,17.2705,17.2705,1.87074,32.3087,34.9614,24.1216,1.87074,0.583509
0.0048,5.28452,5.28452,2,10.569,34.9614,24.2065,3.16536,0.591951
0.005,8.96893,8.96893,0.282717,2.53567,34.9614,24.0211,0.282717,0.612101
0.0052,9.99152,9.99152,2,19.983,34.9614,24.1961,3.35283,0.716667
0.0054,-1.59627,-1.59627,1.7863,-2.85141,34.9614,24.0952,1.7863,0.787642
0.0056,12.591,12.591,0.502863,6.33153,34.9614,24.0322,0.502863,0.683709
0.0058,11.6003,11.6003,2,23.2006,34.9614,24.2129,3.30745,0.600963
0.006,10.4117,10.4117,0.637599,6.63847,34.9614,24.046,0.637599,0.462101
0.0062,8.10851,8.10851,2,16.217,34.9614,24.1969,3.36298,0.716667
0.0064,5.5703,5.5703,0.759218,4.22907,34.9614,24.0507,0.759218,0.637642
0.0066,13.8904,13.8904,2,27.7807,34.9614,24.1319,2.09764,0.643218
0.0068,12.5249,12.5249,1.806,22.6201,34.9614,24.1237,1.806,0.450963
0.007,19.5222,19.5222,1.16888,22.819,34.9614,24.0809,1.16888,0.312101
0.0072,0.855968,0.855968,2,1.71194,34.9614,24.2645,4.51171,0.716667
0.0074,5.79892,5.79892,0,0,34.9614,24.0003,-3.35593e-08,0.598251
0.0076,15.8233,15.8233,2,31.6466,34.9614,24.1575,2.48922,0.627836
0.0078,5.22148,5.22148,2,10.443,34.9614,24.1607,2.42864,0.575855
0.008,17.9286,17.9286,0.156029,2.79738,34.9614,24.0123,0.156029,0.374525
0.0082,4.50963,4.50963,2,9.01927,34.9614,24.2853,4.89477,0.716667
0.0084,-0.582335,-0.582335,0,-0,34.9614,23.9999,-0.0258807,0.748251
0.0086,15.3198,15.3198,1.05414,16.1492,34.9614,24.0669,1.05414,0.636035
0.0088,13.4092,13.4092,2,26.8183,34.9614,24.1922,2.8483,0.473872
0.009,7.92569,7.92569,1.53668,12.1793,34.9614,24.1044,1.53668,0.524525
0.0092,7.37579,7.37579,2,14.7516,34.9614,24.1362,2.31883,0.716667
0.0094,3.29469,3.29469,1.97224,6.49794,34.9614,24.1065,1.97224,0.776753
0.0096,10.7029,10.7029,1.04816,11.2184,34.9614,24.0654,1.04816,0.681154
0.0098,20.1641,20.1641,1.52166,30.6828,34.9614,24.1041,1.52166,0.36287
