Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,13.9647,13.9647,1.95884,27.3546,34.9614,24.0819,1.95884,0.428352
0.232,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.261,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.29,17.8568,17.8568,1.92789,34.4259,35.0839,24.1004,1.92789,0.266667
0.319,14.2364,14.2364,1.98828,28.3059,35.4068,24.0846,1.98828,0.416667
0.348,17.5804,17.5804,1.97521,34.7249,35.7297,24.1014,1.97521,0.278352
0.377,19.6508,19.6508,1.77953,34.9691,36.0526,24.1011,1.77953,0.191667
0.406,17.8626,17.8626,2.00089,35.7412,36.3756,24.1042,2.00089,0.266667
0.435,16.0515,16.0515,2.06343,33.1211,36.6985,24.0976,2.06343,0.341667
0.464,17.8717,17.8717,2.04003,36.4587,37.0214,24.1062,2.04003,0.266667
0.493,19.8373,19.8373,1.79113,35.5311,37.3443,24.1027,1.79113,0.184026
0.522,19.2877,19.2877,1.9385,37.3891,37.6672,24.1082,1.9385,0.207593
0.551,17.8792,17.8792,2.09598,37.4744,37.9902,24.1091,2.09598,0.266667
0.58,18.9331,18.9331,2.0285,38.4057,38.3131,24.1113,2.0285,0.222754
0.609,19.7616,19.7616,1.875,37.0529,38.636,24.107,1.875,0.187645
0.638,19.7981,19.7981,1.87915,37.2037,38.9589,24.1075,1.87915,0.18616
0.667,18.5038,18.5038,2.12935,39.4011,39.2818,24.1143,2.12935,0.241054
0.696,19.4757,19.4757,1.99856,38.9233,39.6048,24.1125,1.99856,0.200172
0.725,20.3269,20.3269,1.70778,34.7138,39.9277,24.1001,1.70778,0.163298
0.754,20.1513,20.1513,1.80437,36.3605,40.2506,24.1049,1.80437,0.171126
0.783,18.5729,18.5729,2.19518,40.7709,40.5735,24.1182,2.19518,0.238569
0.812,18.115,18.115,2.25095,40.7758,40.8964,24.1185,2.25095,0.257784
0.841,19.3052,19.3052,2.11908,40.9094,41.2194,24.1182,2.11908,0.207906
0.87,17.5921,17.5921,2.315,40.7257,41.5423,24.1186,2.315,0.27972
0.899,18.4058,18.4058,2.28372,42.0336,41.8652,24.1219,2.28372,0.245962
0.928,18.8701,18.8701,2.24779,42.4159,42.1881,24.1228,2.24779,0.226601
0.957,18.0345,18.0345,2.34883,42.36,42.511,24.1231,2.34883,0.261645
0.986,19.2255,19.2255,2.21932,42.6674,42.8339,24.1233,2.21932,0.211773
1.015,16.5907,16.5907,2.43743,40.4386,43.1569,24.1185,2.43743,0.321023
1.044,18.35,18.35,2.38068,43.6855,43.4798,24.1267,2.38068,0.248858
1.073,19.4281,19.4281,2.22048,43.1397,43.8027,24.1245,2.22048,0.203419
1.102,18.2661,18.2661,2.42382,44.2738,44.1256,24.1284,2.42382,0.252505
1.131,19.1912,19.1912,2.31015,44.3345,44.4485,24.1281,2.31015,0.213707
