Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,2.59168,2.59168,1.8855e-06,4.88661e-06,34.9614,24,1.8855e-06,0.716667
0.0016,17.4022,17.4022,1.36914,23.8259,34.9614,24.0891,1.36914,0.566667
0.0018,13.5176,13.5176,2,27.0351,34.9614,24.1855,2.73315,0.416667
0.002,18.45,18.45,0.550193,10.1511,34.9614,24.0393,0.550193,0.266667
0.0022,3.13378,3.13378,2,6.26755,34.9614,24.2753,4.75049,0.716667
0.0024,5.72921,5.72921,0,0,34.9614,24.0003,-8.91479e-08,0.566667
0.0026,12.8413,12.8413,2,25.6826,34.9614,24.1709,2.95851,0.716667
0.0028,6.32962,6.32962,1.54403,9.7731,34.9614,24.1038,1.54403,0.566667
0.003,19.6826,19.6826,0.756553,14.8909,34.9614,24.052,0.756553,0.416667
0.0032,1.94433,1.94433,2,3.88866,34.9614,24.273,4.74823,0.716667
0.0034,3.93953,3.93953,3.91073e-07,1.54064e-06,34.9614,24.0002,3.91073e-07,0.644121
0.0036,13.9512,13.9512,2,27.9024,34.9614,24.1477,2.5307,0.707495
0.0038,8.27932,8.27932,1.85912,15.3922,34.9614,24.1259,1.85912,0.52748
0.004,12.2406,12.2406,1.48733,18.2059,34.9614,24.0989,1.48733,0.566667
0.0042,4.65205,4.65205,2,9.3041,34.9614,24.182,3.11337,0.716667
0.0044,9.19135,9.19135,0.244264,2.24512,34.9614,24.0185,0.244264,0.62068
0.0046,13.1192,13.1192,2,26.2384,34.9614,24.192,3.04639,0.636469
0.0048,9.08791,9.08791,1.18259,10.7473,34.9614,24.0822,1.18259,0.486587
0.005,18.5893,18.5893,1.51134,28.0948,34.9614,24.1027,1.51134,0.435782
0.0052,5.52421,5.52421,2,11.0484,34.9614,24.2338,3.59311,0.588781
0.0054,9.73123,9.73123,0,0,34.9614,24.0017,-1.5394e-07,0.557331
0.0056,18.5845,18.5845,2,37.1689,34.9614,24.1684,2.51668,0.486469
0.0058,12.9805,12.9805,1.84615,23.9639,34.9614,24.1286,1.84615,0.336587
0.006,16.9848,16.9848,1.4754,25.0593,34.9614,24.102,1.4754,0.37034
0.0062,7.13715,7.13715,2,14.2743,34.9614,24.217,3.30991,0.576209
0.0064,11.0997,11.0997,0.0970438,1.07716,34.9614,24.0096,0.0970438,0.518328
0.0066,20.2762,20.2762,1.89931,38.5108,34.9614,24.1296,1.89931,0.367537
0.0068,17.9246,17.9246,1.8984,34.028,34.9614,24.132,1.8984,0.227542
0.007,9.992,9.992,2,19.984,34.9614,24.1827,2.67772,0.461383
0.0072,2.62816,2.62816,1.95762,5.14494,34.9614,24.1146,1.95762,0.726209
0.0074,17.1792,17.1792,0.221023,3.797,34.9614,24.0167,0.221023,0.426896
0.0076,12.6043,12.6043,2,25.2086,34.9614,24.2499,3.74991,0.517537
0.0078,11.9724,11.9724,0.160417,1.92057,34.9614,24.0143,0.160417,0.377542
0.008,16.6876,16.6876,2,33.3753,34.9614,24.1973,2.95525,0.501925
0.0082,-4.0275,-4.0275,2,-8.055,34.9614,24.1724,3.12022,0.763467
0.0084,10.0356,10.0356,0,0,34.9614,24.0001,-1.75151e-07,0.398112
0.0086,17.5421,17.5421,2,35.0842,34.9614,24.1844,2.77729,0.519126
0.0088,9.40915,9.40915,1.87457,17.6381,34.9614,24.1298,1.87457,0.42502
0.009,19.3294,19.3294,0.808847,15.6345,34.9614,24.0561,0.808847,0.365737
0.0092,0.791137,0.791137,2,1.58227,34.9614,24.2719,4.83587,0.745902
0.0094,6.59339,6.59339,0,0,34.9614,24.0002,-3.60523e-06,0.490388
0.0096,19.8072,19.8072,1.63795,32.4433,34.9614,24.1103,1.63795,0.45699
0.0098,10.6635,10.6635,2,21.3271,34.9614,24.2033,2.97177,0.435658
