# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.441,10.955,90.440,53.101,25000
sample_index,rtt_ms
0,38.881
1,24.560
2,47.389
3,33.597
4,31.772
5,44.691
6,34.845
7,13.826
8,37.567
9,48.177
10,52.092
11,48.659
12,30.215
13,33.821
14,33.371
15,38.244
16,26.189
17,18.937
18,14.218
19,38.562
20,15.321
21,19.073
22,14.553
23,19.721
24,19.426
25,31.675
26,23.384
27,15.740
28,16.236
29,35.260
30,19.419
31,18.179
32,34.036
33,39.855
34,44.681
35,33.995
36,19.036
37,43.234
38,38.551
39,36.733
40,16.647
41,42.933
42,27.972
43,51.132
44,37.177
45,44.826
46,30.523
47,30.298
48,39.221
49,45.750
50,32.481
51,13.973
52,22.083
53,30.308
54,33.065
55,31.652
56,35.973
57,38.843
58,15.017
59,27.638
60,24.731
61,22.326
62,13.780
63,33.001
64,24.289
65,47.746
66,14.515
67,35.053
68,25.339
69,31.597
70,17.200
71,25.430
72,17.907
73,32.815
74,12.110
75,74.487
76,32.565
77,34.424
78,16.061
79,42.284
80,17.149
81,15.535
82,32.469
83,17.527
84,60.480
85,16.911
86,20.055
87,37.630
88,26.520
89,38.668
90,22.498
91,16.914
92,15.802
93,35.766
94,36.906
95,15.493
96,46.227
97,17.493
98,33.083
99,30.750
100,13.078
101,37.673
102,31.681
103,13.570
104,35.993
105,16.438
106,38.766
107,18.128
108,32.235
109,39.237
110,36.364
111,14.600
112,40.850
113,15.613
114,16.341
115,25.928
116,32.065
117,17.030
118,27.912
119,36.036
120,12.882
121,41.755
122,39.775
123,36.361
124,39.539
125,35.306
126,41.126
127,44.027
128,31.038
129,46.823
130,39.747
131,46.208
132,16.092
133,20.410
134,35.730
135,31.268
136,46.459
137,15.385
138,36.598
139,38.869
140,50.326
141,43.053
142,30.424
143,32.571
144,28.266
145,47.334
146,28.339
147,13.349
148,38.324
149,24.859
150,17.210
151,49.740
152,38.947
153,25.029
154,17.363
155,36.916
156,21.317
157,14.529
158,35.063
159,28.615
160,14.439
161,12.386
162,24.168
163,30.741
164,46.470
165,14.494
166,30.235
167,37.096
168,29.980
169,16.870
170,36.148
171,17.266
172,26.716
173,36.024
174,16.460
175,30.150
176,20.972
177,18.040
178,15.082
179,33.067
180,38.668
181,14.364
182,23.282
183,35.552
184,12.689
185,48.209
186,40.602
187,38.258
188,35.753
189,37.370
190,36.672
191,38.208
192,16.126
193,29.120
194,21.463
195,38.455
196,39.534
197,14.870
198,41.188
199,34.069
200,17.390
201,13.279
202,35.304
203,13.254
204,32.778
205,38.558
206,22.605
207,15.010
208,32.813
209,33.117
210,14.355
211,22.960
212,41.680
213,27.445
214,15.099
215,27.681
216,35.179
217,27.933
218,14.135
219,31.929
220,37.900
221,46.590
222,28.487
223,12.741
224,35.075
225,15.807
226,41.590
227,19.523
228,29.850
229,15.192
230,46.129
231,36.325
232,24.503
233,23.743
234,37.944
235,27.558
236,36.453
237,14.809
238,44.308
239,24.309
240,25.205
241,38.826
242,14.014
243,24.668
244,13.170
245,39.290
246,37.735
247,24.789
248,44.390
249,34.464
250,49.626
251,25.977
252,13.281
253,39.209
254,34.639
255,40.998
256,26.387
257,36.865
258,23.464
259,37.338
260,41.771
261,37.392
262,52.731
263,38.031
264,16.025
265,24.153
266,33.116
267,44.028
268,14.086
269,45.401
270,31.979
271,37.621
272,41.421
273,38.415
274,45.266
275,15.896
276,20.594
277,14.256
278,23.674
279,42.207
280,27.156
281,35.165
282,37.275
283,12.940
284,15.769
285,44.747
286,26.616
287,38.987
288,24.616
289,24.098
290,47.603
291,15.974
292,17.603
293,15.131
294,38.006
295,23.894
296,15.186
297,21.671
298,17.163
299,16.552
300,13.585
301,33.855
302,15.212
303,15.809
304,30.117
305,35.167
306,17.946
307,25.377
308,14.423
309,29.166
310,36.815
311,37.508
312,13.134
313,49.835
314,15.425
315,28.415
316,38.319
317,33.601
318,38.979
319,40.818
320,30.856
321,17.509
322,38.168
323,18.569
324,41.254
325,35.549
