# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.483,9.954,54.710,50.505,172
sample_index,rtt_ms
0,14.596
1,46.895
2,39.625
3,44.945
4,18.726
5,18.078
6,40.341
7,32.368
8,17.676
9,31.274
10,39.670
11,40.166
12,18.388
13,19.589
14,17.256
15,45.229
16,16.503
17,20.511
18,30.189
19,32.066
20,14.898
21,18.797
22,29.571
23,24.605
24,16.510
25,40.387
26,34.491
27,16.328
28,16.971
29,28.266
30,19.341
31,15.525
32,40.021
33,19.429
34,14.380
35,47.521
36,14.336
37,16.549
38,17.029
39,29.959
40,14.775
41,19.620
42,17.135
43,13.416
44,22.313
45,16.610
46,27.801
47,16.583
48,17.822
49,28.076
50,18.796
51,16.749
52,15.635
53,17.750
54,29.970
55,22.616
56,38.759
57,31.489
58,21.040
59,15.432
60,17.077
61,45.984
62,17.107
63,16.203
64,54.710
65,15.864
66,20.746
67,16.827
68,21.108
69,30.582
70,19.200
71,15.355
72,15.750
73,19.793
74,30.953
75,45.780
76,15.010
77,50.082
78,17.545
79,22.932
80,28.985
81,16.884
82,39.958
83,19.968
84,30.851
85,31.766
86,18.905
87,17.851
88,27.791
89,18.758
90,16.706
91,16.848
92,42.234
93,38.617
94,16.888
95,16.959
96,39.054
97,18.399
98,16.917
99,50.162
100,16.766
101,20.749
102,18.871
103,33.921
104,17.312
105,18.932
106,18.906
107,21.910
108,27.996
109,16.343
110,16.678
111,16.844
112,16.726
113,25.604
114,19.746
115,16.510
116,51.344
117,17.845
118,19.707
119,17.097
120,18.868
121,27.804
122,21.770
123,27.723
124,39.584
125,32.586
126,20.475
127,17.225
128,26.925
129,22.163
130,39.537
131,27.519
132,14.376
133,21.566
134,26.552
135,17.660
136,25.232
137,18.398
138,20.539
139,15.280
140,15.338
141,44.888
142,18.887
143,23.898
144,28.176
145,20.356
146,15.404
147,32.282
148,23.961
149,17.993
150,18.247
151,16.331
152,28.326
153,15.910
154,43.676
155,13.801
156,26.488
157,22.768
158,38.663
159,27.678
160,46.099
161,28.647
162,16.265
163,38.659
164,15.668
165,39.480
166,12.570
167,15.807
168,16.184
169,27.286
170,16.178
171,19.131
