Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,2.98655,2.98655,9.22644e-07,2.75552e-06,34.9614,24,9.22644e-07,0.703098
0.0016,17.4942,17.4942,1.4603,25.5469,34.9614,24.0952,1.4603,0.566667
0.0018,13.2221,13.2221,2,26.4441,34.9614,24.183,2.69273,0.416667
0.002,18.7382,18.7382,0.525991,9.85614,34.9614,24.0375,0.525991,0.266667
0.0022,9.01253,9.01253,2,18.0251,34.9614,24.2621,4.03582,0.566667
0.0024,6.56229,6.56229,0.0888248,0.582894,34.9614,24.0099,0.0888248,0.553098
0.0026,15.3579,15.3579,2,30.7159,34.9614,24.1683,2.67993,0.633952
0.0028,16.1964,16.1964,1.02892,16.6649,34.9614,24.0723,1.02892,0.297205
0.003,17.9066,17.9066,2,35.8131,34.9614,24.162,2.3633,0.341667
0.0032,8.33985,8.33985,2,16.6797,34.9614,24.1643,2.41324,0.472718
0.0034,17.2501,17.2501,0.421747,7.27518,34.9614,24.0302,0.421747,0.403098
0.0036,13.3707,13.3707,2,26.7414,34.9614,24.2351,3.50306,0.483952
0.0038,19.282,19.282,7.78693e-08,1.50148e-06,34.9614,24.0006,7.78693e-08,0.187419
0.004,21.1168,21.1168,1.11937,23.6375,34.9614,24.0776,1.11937,0.191667
0.0042,16.0281,16.0281,2,32.0561,34.9614,24.1812,2.63998,0.322717
0.0044,17.6268,17.6268,0.994172,17.524,34.9614,24.07,0.994172,0.253098
0.0046,11.2282,11.2282,2,22.4563,34.9614,24.2246,3.34344,0.49537
0.0048,19.6218,19.6218,0,0,34.9614,24.0013,-3.26359e-07,0.198258
0.005,20.6342,20.6342,1.50729,31.1017,34.9614,24.1043,1.50729,0.226339
0.0052,15.4816,15.4816,2,30.9632,34.9614,24.173,2.49842,0.314638
0.0054,20.0495,20.0495,0.778299,15.6045,34.9614,24.0546,0.778299,0.203353
0.0056,15.1338,15.1338,2,30.2676,34.9614,24.2051,2.99046,0.378626
0.0058,14.4452,14.4452,0.894742,12.9247,34.9614,24.0637,0.894742,0.324535
0.006,18.5063,18.5063,2,37.0126,34.9614,24.1548,2.25647,0.361871
0.0062,12.788,12.788,2,25.5759,34.9614,24.1458,2.09867,0.35932
0.0064,21.1268,21.1268,0.619407,13.0861,34.9614,24.0433,0.619407,0.226312
0.0066,9.36403,9.36403,2,18.7281,34.9614,24.2593,3.89274,0.528626
0.0068,17.8194,17.8194,0,0,34.9614,24.0002,-1.02918e-06,0.174535
0.007,21.0017,21.0017,1.23909,26.023,34.9614,24.0859,1.23909,0.211871
0.0072,10.1654,10.1654,2,20.3308,34.9614,24.2281,3.36134,0.463849
0.0074,15.7091,15.7091,0,0,34.9614,24.0018,-3.51701e-06,0.346985
0.0076,17.7198,17.7198,2,35.4396,34.9614,24.1972,2.90424,0.407301
0.0078,19.359,19.359,0.743483,14.3931,34.9614,24.0526,0.743483,0.162569
0.008,19.2383,19.2383,2,38.4766,34.9614,24.1452,2.10198,0.260765
0.0082,7.9538,7.9538,2,15.9076,34.9614,24.1913,2.82125,0.479164
0.0084,18.8183,18.8183,0.074311,1.39841,34.9614,24.0066,0.074311,0.300933
0.0086,20.1717,20.1717,1.81101,36.5312,34.9614,24.125,1.81101,0.2573
0.0088,14.9506,14.9506,2,29.9012,34.9614,24.1627,2.3503,0.312569
0.009,17.4355,17.4355,1.16597,20.3293,34.9614,24.0815,1.16597,0.293808
0.0092,5.56108,5.56108,2,11.1222,34.9614,24.2427,3.82375,0.629164
0.0094,15.0113,15.0113,0,0,34.9614,24.0003,-2.30216e-07,0.277907
0.0096,18.0683,18.0683,2,36.1366,34.9614,24.1918,2.82338,0.407301
0.0098,17.3159,17.3159,1.07121,18.549,34.9614,24.0755,1.07121,0.216112
