Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,5.56577,5.56577,2.49948e-07,1.39115e-06,34.9614,24.0003,2.49948e-07,0.580428
0.0016,17.5906,17.5906,2,35.1812,34.9614,24.1353,2.07234,0.566667
0.0018,11.5572,11.5572,2,23.1145,34.9614,24.159,2.3182,0.416667
0.002,20.4643,20.4643,0.47007,9.61965,34.9614,24.0331,0.47007,0.266667
0.0022,2.45634,2.45634,2,4.91268,34.9614,24.2831,4.92021,0.716667
0.0024,0.883639,0.883639,0,0,34.9614,23.9995,-0.0902111,0.730428
0.0026,14.751,14.751,1.71807,25.3432,34.9614,24.1029,1.71807,0.6907
0.0028,8.34948,8.34948,2,16.699,34.9614,24.1782,2.71614,0.566667
0.003,15.9222,15.9222,0.27696,4.40982,34.9614,24.0208,0.27696,0.416667
0.0032,5.42722,5.42722,2,10.8544,34.9614,24.2604,4.56065,0.716667
0.0034,5.7454,5.7454,7.00543e-07,4.0249e-06,34.9614,24.0004,7.00543e-07,0.580428
0.0036,10.6157,10.6157,2,21.2314,34.9614,24.1724,3.24607,0.77417
0.0038,3.67,3.67,1.34223,4.92598,34.9614,24.0858,1.34223,0.651586
0.004,16.6369,16.6369,1.02754,17.0952,34.9614,24.0679,1.02754,0.566667
0.0042,2.94815,2.94815,2,5.8963,34.9614,24.2425,4.18836,0.716667
0.0044,4.21696,4.21696,0,0,34.9614,24.0004,-1.62342e-06,0.695661
0.0046,16.2786,16.2786,2,32.5573,34.9614,24.1326,2.09695,0.62417
0.0048,8.93055,8.93055,2,17.8611,34.9614,24.165,2.44127,0.501586
0.005,4.32931,4.32931,1.88741,8.1712,34.9614,24.1122,1.88741,0.716667
0.0052,8.83895,8.83895,1.45132,12.8282,34.9614,24.0863,1.45132,0.716667
0.0054,13.5378,13.5378,1.79319,24.2759,34.9614,24.1192,1.79319,0.551711
0.0056,8.63425,8.63425,2,17.2685,34.9614,24.1641,2.49065,0.574245
0.0058,18.8707,18.8707,0.210307,3.96864,34.9614,24.0157,0.210307,0.351586
0.006,8.81545,8.81545,2,17.6309,34.9614,24.2771,4.28614,0.592337
0.0062,5.50837,5.50837,0,0,34.9614,24.002,-4.33872e-07,0.566667
0.0064,20.4298,20.4298,1.07937,22.0513,34.9614,24.0737,1.07937,0.401711
0.0066,12.4144,12.4144,2,24.8288,34.9614,24.2182,3.19431,0.424245
0.0068,17.6085,17.6085,0.0892176,1.57099,34.9614,24.008,0.0892176,0.276586
0.007,13.3127,13.3127,2,26.6254,34.9614,24.2484,3.71408,0.501128
0.0072,10.0194,10.0194,0.471048,4.71961,34.9614,24.0355,0.471048,0.416667
0.0074,21.4352,21.4352,0.855981,18.3481,34.9614,24.0593,0.855981,0.251711
0.0076,13.8932,13.8932,2,27.7863,34.9614,24.2128,3.10502,0.394914
0.0078,12.6773,12.6773,0.83511,10.5869,34.9614,24.0596,0.83511,0.381258
0.008,19.7671,19.7671,1.90538,37.6638,34.9614,24.1305,1.90538,0.351128
0.0082,4.67547,4.67547,2,9.35094,34.9614,24.2241,3.40737,0.566667
0.0084,14.1597,14.1597,0,0,34.9614,24.0018,-1.31724e-09,0.401711
0.0086,19.493,19.493,2,38.986,34.9614,24.158,2.31172,0.36091
0.0088,12.3585,12.3585,2,24.717,34.9614,24.1512,2.1792,0.352088
0.009,20.0061,20.0061,0.74888,14.9821,34.9614,24.0524,0.74888,0.276899
0.0092,5.04824,5.04824,2,10.0965,34.9614,24.2759,4.37132,0.636204
0.0094,11.2063,11.2063,0,0,34.9614,24.0003,-2.66577e-06,0.383537
0.0096,20.6999,20.6999,1.58924,32.897,34.9614,24.1091,1.58924,0.325847
0.0098,14.394,14.394,2,28.788,34.9614,24.1786,2.58595,0.335882
