# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.728,11.220,95.408,54.228,10000
sample_index,rtt_ms
0,16.785
1,28.290
2,30.337
3,20.013
4,42.623
5,14.439
6,35.380
7,16.433
8,18.841
9,35.608
10,17.426
11,18.745
12,35.671
13,22.366
14,24.926
15,39.732
16,13.462
17,17.370
18,17.537
19,24.468
20,15.944
21,29.663
22,15.825
23,12.388
24,32.145
25,36.559
26,28.235
27,12.803
28,20.956
29,33.809
30,38.006
31,30.563
32,47.100
33,31.841
34,49.767
35,28.059
36,26.452
37,39.243
38,15.618
39,25.931
40,18.858
41,27.831
42,35.127
43,21.477
44,57.102
45,33.109
46,18.076
47,13.658
48,15.049
49,40.400
50,28.815
51,46.552
52,31.055
53,35.970
54,38.406
55,34.924
56,24.073
57,15.111
58,30.591
59,27.023
60,20.231
61,26.929
62,27.791
63,35.792
64,33.350
65,25.023
66,36.436
67,37.033
68,46.967
69,12.871
70,37.817
71,26.492
72,37.595
73,16.987
74,22.996
75,13.414
76,32.323
77,27.670
78,16.177
79,14.306
80,15.990
81,46.587
82,14.206
83,33.013
84,17.018
85,22.317
86,16.978
87,25.091
88,20.725
89,34.082
90,37.191
91,22.773
92,42.938
93,36.535
94,36.642
95,19.265
96,14.652
97,32.230
98,27.420
99,47.696
100,24.528
101,39.678
102,24.711
103,17.580
104,55.135
105,15.004
106,12.897
107,17.190
108,30.133
109,19.193
110,15.082
111,21.476
112,14.919
113,16.589
114,14.691
115,24.468
116,34.473
117,15.670
118,41.790
119,21.501
120,24.381
121,21.081
122,14.819
123,19.612
124,12.251
125,19.557
126,15.794
127,16.432
128,35.486
129,12.855
130,20.865
131,13.758
132,53.727
133,46.091
134,30.267
135,31.566
136,19.410
137,35.774
138,22.654
139,15.001
140,20.155
141,30.383
142,17.483
143,42.769
144,25.128
145,15.254
146,17.195
147,36.943
148,27.239
149,17.370
150,28.858
151,16.680
152,37.658
153,22.166
154,37.004
155,13.329
156,33.379
157,35.421
158,38.094
159,32.469
160,14.535
161,29.415
162,37.198
163,16.719
164,42.776
165,24.201
166,29.530
167,12.922
168,28.885
169,26.223
170,38.544
171,46.155
172,16.661
173,35.479
174,35.084
175,14.083
176,31.453
177,27.484
178,34.838
179,46.918
180,34.085
181,40.211
182,14.011
183,27.606
184,20.442
185,28.114
186,19.628
187,45.622
188,24.132
189,41.330
190,15.450
191,28.408
192,32.109
193,19.978
194,53.453
195,31.497
196,24.259
197,36.431
198,16.421
199,25.595
200,43.759
201,22.854
202,36.904
203,35.459
204,18.192
205,24.916
206,14.897
207,28.449
208,40.024
209,47.158
210,38.517
211,27.530
212,34.082
213,24.473
214,35.233
215,46.882
216,30.310
217,32.016
218,24.515
219,22.603
220,20.482
221,62.031
222,23.681
223,37.635
224,38.669
225,35.876
226,40.803
227,36.080
228,37.110
229,15.177
230,26.203
231,31.064
232,16.884
233,43.846
234,19.763
235,12.716
236,36.089
237,39.940
238,35.319
239,18.166
240,32.356
241,41.769
242,48.320
243,40.368
244,26.707
245,14.969
246,55.819
247,36.893
248,44.712
249,13.436
250,18.635
251,15.787
252,24.235
253,31.486
254,32.262
255,19.497
256,27.456
257,50.027
258,32.744
259,33.521
260,33.490
261,36.087
262,22.838
263,36.809
264,44.167
265,33.458
266,18.422
267,27.495
268,12.765
269,17.629
270,44.725
271,33.742
272,17.861
273,52.255
274,30.741
275,37.662
276,39.905
277,30.752
278,30.064
279,13.930
280,29.807
281,28.975
282,30.482
283,26.913
284,13.299
285,36.525
286,45.200
287,34.198
288,39.355
289,30.922
290,26.292
291,15.583
292,44.486
293,20.453
294,38.590
295,32.217
296,34.412
297,15.670
298,17.238
299,35.533
300,12.997
301,20.447
302,12.641
303,32.744
304,21.755
305,14.151
306,21.207
307,13.192
308,20.110
309,43.667
310,16.994
311,17.475
312,47.348
313,15.248
314,39.525
315,25.641
316,14.405
317,14.068
318,15.102
319,23.961
320,26.888
321,47.921
322,30.964
323,37.920
324,12.489
325,38.514
326,36.494
327,40.631
328,35.889
329,27.493
330,16.630
331,23.025
332,12.536
333,34.901
334,37.787
335,43.256
336,40.365
337,19.353
338,14.831
339,28.981
340,14.783
341,13.558
342,15.676
343,21.473
344,19.434
345,13.087
346,26.649
347,15.161
348,14.492
349,45.516
350,33.184
351,19.117
352,25.469
353,15.913
354,38.021
355,23.730
356,43.522
357,13.407
358,41.814
359,19.735
360,34.905
361,15.275
362,19.473
363,13.247
364,38.935
365,25.429
366,35.531
367,39.652
368,36.716
369,32.061
370,14.007
371,36.896
372,52.852
373,25.304
374,30.241
375,15.454
376,17.115
377,32.199
378,15.886
379,37.399
380,21.021
381,23.790
382,25.360
383,13.779
384,31.559
385,38.874
386,36.370
387,14.660
388,29.709
389,42.766
390,17.630
391,19.070
392,41.506
393,30.788
394,39.521
395,51.777
396,13.847
397,15.386
398,29.363
399,37.407
400,13.853
401,29.987
402,14.890
403,35.821
404,33.890
405,26.345
406,47.887
407,17.382
408,29.266
409,41.293
410,37.965
411,27.413
412,40.993
413,40.942
414,17.173
415,43.954
416,42.885
417,23.243
418,19.813
419,40.610
420,13.606
421,17.400
422,14.442
423,28.792
424,19.175
425,37.834
426,24.769
427,38.196
428,40.568
429,19.210
430,17.216
431,31.534
432,40.880
433,13.408
434,41.686
435,37.581
436,27.379
437,30.491
438,70.770
439,20.600
440,30.409
441,37.448
442,23.646
443,33.723
444,37.428
445,21.547
446,18.297
447,18.573
448,28.339
449,20.672
450,38.884
451,18.157
452,16.868
453,47.905
454,28.081
455,20.604
456,27.952
457,22.961
458,42.230
459,25.940
460,37.273
461,25.209
462,36.659
463,12.847
464,50.875
465,48.123
466,17.963
467,23.739
468,42.136
469,14.201
470,16.672
471,23.272
472,18.945
473,16.432
474,53.335
475,17.784
476,35.377
477,14.156
478,32.058
479,35.994
480,14.042
481,13.272
482,14.936
483,47.976
484,40.555
