Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,2.59168,2.59168,1.8855e-06,4.88661e-06,34.9614,24,1.8855e-06,0.716667
0.0016,18.0444,18.0444,1.13793,20.5332,34.9614,24.0758,1.13793,0.525719
0.0018,13.7145,13.7145,2,27.429,34.9614,24.2008,2.94899,0.416667
0.002,20.7644,20.7644,0.0891746,1.85166,34.9614,24.0071,0.0891746,0.181987
0.0022,3.53368,3.53368,2,7.06736,34.9614,24.2909,5.04858,0.716667
0.0024,4.63883,4.63883,1.24835e-06,5.79087e-06,34.9614,24.0001,1.24835e-06,0.566667
0.0026,14.708,14.708,2,29.4161,34.9614,24.1514,2.50549,0.675719
0.0028,6.30679,6.30679,2,12.6136,34.9614,24.1441,2.17679,0.566667
0.003,19.5839,19.5839,0.248614,4.86882,34.9614,24.0182,0.248614,0.331987
0.0032,3.44617,3.44617,2,6.89233,34.9614,24.2876,4.96752,0.716667
0.0034,6.44493,6.44493,1.13176e-06,7.2941e-06,34.9614,24,1.13176e-06,0.500243
0.0036,11.7993,11.7993,2,23.5987,34.9614,24.1792,3.17198,0.732311
0.0038,12.446,12.446,0.571934,7.11829,34.9614,24.0415,0.571934,0.416667
0.004,16.1879,16.1879,2,32.3758,34.9614,24.1809,2.6999,0.481987
0.0042,-1.17919,-1.17919,2,-2.35838,34.9614,24.1757,2.99257,0.716667
0.0044,11.2744,11.2744,0,0,34.9614,24.0024,-2.44403e-07,0.528549
0.0046,14.5009,14.5009,2,29.0018,34.9614,24.2151,3.32073,0.58231
0.0048,4.29192,4.29192,1.59119,6.82925,34.9614,24.107,1.59119,0.566667
0.005,12.9975,12.9975,1.25939,16.3689,34.9614,24.0805,1.25939,0.631987
0.0052,4.75343,4.75343,2,9.50687,34.9614,24.1989,3.4017,0.716667
0.0054,6.05947,6.05947,0.326864,1.98062,34.9614,24.0228,0.326864,0.678549
0.0056,14.9484,14.9484,2,29.8968,34.9614,24.1539,2.44516,0.637065
0.0058,0.3179,0.3179,2,0.635799,34.9614,24.1738,2.9434,0.716667
0.006,8.31424,8.31424,0.0761232,0.632907,34.9614,24.0068,0.0761232,0.726592
0.0062,10.9789,10.9789,2,21.9578,34.9614,24.1971,3.37695,0.716667
0.0064,2.74385,2.74385,1.35391,3.71493,34.9614,24.087,1.35391,0.659601
0.0066,16.7945,16.7945,0.87145,14.6356,34.9614,24.0579,0.87145,0.55684
0.0068,9.23575,9.23575,2,18.4715,34.9614,24.2378,3.62392,0.566667
0.007,6.57185,6.57185,0.508082,3.33904,34.9614,24.0365,0.508082,0.576592
0.0072,10.9914,10.9914,2,21.9828,34.9614,24.1621,2.77736,0.716667
0.0074,10.3066,10.3066,1.09356,11.2709,34.9614,24.0753,1.09356,0.509601
0.0076,13.2973,13.2973,2,26.5945,34.9614,24.153,2.31634,0.557002
0.0078,5.70612,5.70612,2,11.4122,34.9614,24.148,2.28674,0.617097
0.008,17.6725,17.6725,0.295803,5.22758,34.9614,24.0216,0.295803,0.426592
0.0082,4.26179,4.26179,2,8.52358,34.9614,24.2806,4.79852,0.716667
0.0084,7.30882,7.30882,0,0,34.9614,24.0004,-2.06066e-07,0.491842
0.0086,12.2246,12.2246,2,24.4492,34.9614,24.1887,3.20577,0.707002
0.0088,10.0624,10.0624,0.839634,8.44871,34.9614,24.0595,0.839634,0.467097
0.009,13.3531,13.3531,2,26.7062,34.9614,24.1654,2.53221,0.576592
0.0092,1.14353,1.14353,2,2.28707,34.9614,24.1538,2.60123,0.716667
0.0094,11.7042,11.7042,0.177742,2.08032,34.9614,24.0135,0.177742,0.641841
0.0096,10.3667,10.3667,2,20.7335,34.9614,24.2258,3.67801,0.668602
0.0098,13.9105,13.9105,0,0,34.9614,24.0011,-7.03161e-07,0.367343
