# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.311,11.017,91.097,53.170,24999
sample_index,rtt_ms
0,27.845
1,17.282
2,34.285
3,35.204
4,40.316
5,39.987
6,39.429
7,37.833
8,46.741
9,20.713
10,15.247
11,12.600
12,16.183
13,32.188
14,40.519
15,15.411
16,34.546
17,49.841
18,36.564
19,26.598
20,17.038
21,24.841
22,36.391
23,19.876
24,34.993
25,15.802
26,17.502
27,12.557
28,49.893
29,17.574
30,42.881
31,12.769
32,38.212
33,56.394
34,13.072
35,27.251
36,14.766
37,31.961
38,34.019
39,13.950
40,27.484
41,35.191
42,38.216
43,36.224
44,37.769
45,16.209
46,44.210
47,39.321
48,23.752
49,31.958
50,14.230
51,26.833
52,38.090
53,41.882
54,36.773
55,35.710
56,18.974
57,37.535
58,37.604
59,14.402
60,12.408
61,34.490
62,35.756
63,35.273
64,23.247
65,36.968
66,30.333
67,33.428
68,34.547
69,41.372
70,45.077
71,40.211
72,23.856
73,28.443
74,13.882
75,29.226
76,36.970
77,38.083
78,38.181
79,45.639
80,30.382
81,50.362
82,34.568
83,27.065
84,22.789
85,31.464
86,37.515
87,33.816
88,14.550
89,33.282
90,19.190
91,15.615
92,43.296
93,25.818
94,38.149
95,26.403
96,46.123
97,17.206
98,28.087
99,28.703
100,18.932
101,32.515
102,35.146
103,29.393
104,30.696
105,28.381
106,43.963
107,16.160
108,32.135
109,43.292
110,38.198
111,36.497
112,26.705
113,47.183
114,37.342
115,44.204
116,26.250
117,14.466
118,46.992
119,34.216
120,43.556
121,27.216
122,29.531
123,36.137
124,40.106
125,38.310
126,36.258
127,26.385
128,27.396
129,36.271
130,18.956
131,46.572
132,30.313
133,25.934
134,46.993
135,35.198
136,36.817
137,15.952
138,18.750
139,26.418
140,26.751
141,12.475
142,40.986
143,25.293
144,48.068
145,29.701
146,48.845
147,23.811
148,14.584
149,13.979
150,35.995
151,33.965
152,40.197
153,37.425
154,38.467
155,39.172
156,48.267
157,13.449
158,41.189
159,36.616
160,38.272
161,32.374
162,38.702
163,19.482
164,31.355
165,40.232
166,17.133
167,33.843
168,34.201
169,40.223
170,13.943
171,50.472
172,16.657
173,40.814
174,21.166
175,13.917
176,25.762
177,15.112
178,14.381
179,34.663
180,14.216
181,23.252
182,14.375
183,23.061
184,34.702
185,43.720
186,14.969
187,37.343
188,36.908
189,14.569
190,32.126
191,25.208
192,36.172
193,14.475
194,47.851
195,37.678
196,28.433
197,33.010
198,35.373
199,19.229
200,32.159
201,22.778
202,24.416
203,37.716
204,22.773
205,16.821
206,13.544
207,39.064
208,17.998
209,27.552
210,23.696
211,26.217
212,32.751
213,22.157
214,37.975
215,27.723
216,27.503
217,14.785
218,16.585
219,38.064
220,35.375
221,28.212
222,38.490
223,36.721
224,23.265
225,13.559
226,41.086
227,33.436
228,13.327
229,30.884
230,12.927
231,30.302
232,25.759
233,37.974
234,46.731
235,26.667
236,38.384
237,22.191
238,36.448
239,41.858
240,32.537
241,51.897
242,60.062
243,45.886
244,18.059
245,39.364
246,21.229
247,22.476
248,37.258
249,38.096
250,16.666
251,43.125
252,19.942
253,40.011
254,40.323
255,15.316
256,28.971
257,42.174
258,37.769
259,33.771
260,14.588
261,25.163
262,27.178
263,46.138
264,16.772
265,32.308
266,39.105
267,37.984
268,38.912
269,36.855
270,15.693
271,50.641
272,37.362
273,21.567
274,31.247
275,42.339
276,24.756
277,26.020
278,37.972
279,13.901
280,13.412
281,38.608
282,22.087
283,14.617
284,43.265
285,13.239
286,33.179
287,39.823
288,14.582
289,13.381
290,39.197
291,24.376
292,21.673
293,23.715
294,31.066
295,37.728
296,15.191
297,38.341
298,25.921
299,22.953
300,22.328
301,25.386
302,38.160
303,47.907
304,27.964
305,14.263
306,32.847
307,17.394
308,14.567
309,15.302
310,30.937
311,35.607
312,38.044
313,39.022
314,28.655
315,29.512
316,37.515
317,41.004
318,36.624
319,42.764
320,15.667
321,49.959
322,25.374
323,51.149
324,14.179
325,16.273
326,13.398
327,29.072
328,38.130
329,46.406
330,28.157
331,45.880
332,15.988
333,17.829
334,15.581
335,37.271
336,15.250
337,15.205
338,28.382
339,24.230
340,18.866
341,55.964
342,25.049
343,44.655
344,16.124
345,36.974
346,24.744
347,38.071
348,42.969
349,30.115
350,15.260
351,32.268
352,41.261
353,25.314
354,35.488
355,37.287
356,37.141
357,36.994
358,26.303
359,36.499
360,46.702
361,32.510
362,42.383
363,38.357
364,39.420
365,30.201
366,14.162
367,36.044
368,36.459
369,44.053
370,29.466
371,17.618
372,15.218
373,36.297
374,49.431
375,43.236
376,37.866
377,40.664
378,42.435
379,33.490
380,13.462
381,15.208
382,15.659
383,21.865
384,31.663
385,22.401
386,41.395
387,16.607
388,26.682
389,26.801
390,14.236
391,42.613
392,28.934
393,49.953
394,23.938
395,42.275
396,23.626
397,35.563
398,43.305
399,34.144
400,46.101
401,16.534
402,32.406
403,25.776
404,38.470
405,33.977
406,40.858
407,37.161
408,34.405
409,23.019
410,22.699
411,22.364
412,31.696
413,45.711
414,42.561
415,41.316
416,15.397
417,36.132
418,69.436
419,15.691
420,43.168
421,25.328
422,41.724
423,12.230
424,19.126
425,41.699
426,30.884
427,38.965
428,38.848
429,39.886
430,48.043
431,38.937
432,39.931
433,23.462
434,37.080
435,44.277
436,40.168
437,15.897
438,40.006
439,23.150
440,35.604
441,49.666
442,16.558
443,32.134
444,35.472
445,28.789
446,34.181
447,24.901
448,38.578
449,28.538
450,26.821
451,44.266
452,31.243
453,16.844
454,29.436
455,18.251
456,23.523
457,25.907
458,38.623
459,47.414
460,27.536
461,36.728
462,39.052
463,38.732
464,27.487
465,29.498
466,13.835
467,41.134
468,20.480
469,14.855
470,26.448
471,14.122
472,17.122
473,27.663
474,22.227
475,13.962
476,44.664
477,28.430
478,40.768
479,19.852
480,14.332
481,12.847
482,43.651
483,51.637
484,36.419
485,39.229
486,34.821
487,41.893
488,28.804
489,42.414
490,40.368
491,37.448
492,50.600
493,27.469
494,49.411
495,31.525
496,16.855
497,36.231
498,22.584
499,39.239
500,20.846
501,40.083
502,17.619
503,38.742
504,40.279
505,21.702
506,39.547
507,38.513
508,25.375
509,35.217
510,40.184
511,34.358
512,49.545
513,21.717
514,16.186
515,48.184
516,33.416
517,33.743
518,42.087
519,18.344
520,36.694
521,42.831
522,31.532
523,49.395
524,26.150
525,15.141
526,37.310
527,16.199
528,18.405
529,21.948
530,38.537
531,14.628
532,43.182
533,18.522
534,19.465
535,13.744
536,22.712
537,13.072
538,36.145
539,23.294
540,18.835
541,14.763
542,42.637
543,32.331
544,13.623
545,22.950
546,29.442
547,13.565
548,13.993
549,22.682
550,15.266
551,19.376
552,13.706
553,23.219
554,14.550
555,38.774
556,23.569
557,39.615
558,14.050
559,23.447
560,32.948
561,49.425
562,16.354
563,35.926
564,42.819
565,29.831
566,43.035
567,37.771
568,38.740
569,16.496
570,26.191
571,51.449
572,34.422
573,21.423
574,24.533
575,49.709
576,24.477
577,44.379
578,20.411
579,34.752
580,43.427
581,33.865
582,46.069
583,27.525
584,37.480
585,24.412
586,13.036
587,15.786
588,36.237
589,33.433
590,14.405
591,13.867
592,18.613
593,25.275
594,17.211
595,28.809
596,16.326
597,41.798
598,19.045
599,32.154
600,22.883
601,19.915
602,15.634
603,16.559
604,31.393
605,16.061
606,32.854
607,25.005
608,39.550
609,15.623
610,32.212
611,13.586
612,37.783
613,22.263
614,15.122
615,15.855
616,13.475
617,23.159
618,32.569
619,19.509
620,35.829
621,25.393
622,15.540
623,34.042
624,35.807
625,26.443
626,37.674
627,38.122
628,35.905
629,14.240
630,27.911
631,37.578
632,12.820
633,46.589
634,37.189
635,51.315
636,39.149
637,22.509
638,38.466
639,36.350
640,38.908
641,13.830
642,44.446
643,23.915
644,41.259
645,40.014
646,38.867
647,31.293
648,39.764
649,30.262
650,18.080
651,41.315
652,39.602
653,47.811
654,35.363
655,44.936
656,32.493
657,45.737
658,28.266
659,15.832
660,13.003
661,41.434
662,37.257
663,37.032
664,36.132
665,13.741
666,16.656
667,36.192
668,42.228
669,37.141
670,42.031
671,16.099
672,46.660
673,20.811
674,13.967
675,16.095
676,33.205
677,22.432
678,38.567
679,39.279
680,23.154
681,26.303
682,17.042
683,41.500
684,34.094
685,16.145
686,14.805
687,31.130
688,35.246
689,44.657
690,23.628
691,23.972
692,37.225
693,40.412
694,15.586
695,45.071
696,37.020
697,23.295
698,36.993
699,15.942
700,43.397
701,40.229
702,36.576
703,23.831
704,47.608
705,33.461
706,42.553
707,20.812
708,18.309
709,43.418
710,18.761
711,19.171
712,16.128
713,20.407
714,57.273
715,24.188
716,38.826
717,15.921
718,24.336
719,31.428
720,39.211
721,29.201
722,23.812
723,31.032
724,16.283
725,20.806
726,23.609
727,40.436
728,49.023
729,16.794
730,16.936
731,34.828
732,16.860
733,34.800
734,26.307
735,32.109
736,38.475
737,39.928
738,17.218
739,37.097
740,14.933
741,16.373
742,19.787
743,48.820
744,20.260
745,40.644
746,25.986
747,14.911
748,12.687
749,39.545
750,19.751
751,13.885
752,24.518
753,33.152
754,16.925
755,45.311
756,38.119
757,24.667
758,37.383
759,25.818
760,19.869
761,40.321
762,66.119
763,35.522
764,22.322
765,40.377
766,34.375
767,12.592
768,28.812
769,36.179
770,38.921
771,27.982
772,27.213
773,44.427
774,15.035
775,18.661
776,29.004
777,22.826
778,32.357
779,28.483
780,30.309
781,19.400
782,57.018
783,45.200
784,31.684
785,29.053
786,39.809
787,37.140
788,29.480
789,34.374
790,15.038
791,41.238
792,41.446
793,24.055
794,41.685
795,27.833
796,12.359
797,32.283
798,33.950
799,30.071
800,49.437
801,24.495
802,38.300
803,27.834
804,39.988
805,23.327
806,37.654
807,43.782
808,16.066
809,13.608
810,28.417
811,24.584
812,15.328
813,14.342
814,14.837
815,24.685
816,16.740
817,15.049
818,24.303
819,35.939
820,34.962
821,22.694
822,42.098
823,12.390
824,21.271
825,34.909
826,44.622
827,29.923
828,41.095
829,38.804
830,12.781
831,32.665
832,35.076
833,44.306
834,33.969
835,46.549
836,24.448
837,14.541
838,12.281
839,20.894
840,30.084
841,44.094
842,19.427
843,30.840
844,39.403
845,38.222
846,41.943
847,33.022
848,46.527
849,13.328
850,39.751
851,33.328
852,13.385
853,31.646
854,37.074
855,40.471
856,34.139
857,16.540
858,31.409
859,26.857
860,38.888
861,17.238
862,62.606
863,45.366
864,23.908
865,20.138
866,15.273
867,22.868
868,36.167
869,47.715
870,33.228
871,45.508
872,27.004
873,39.350
874,19.859
875,22.924
876,51.659
877,13.651
878,17.380
879,46.545
880,44.276
881,40.651
882,37.759
883,43.335
884,31.288
885,33.484
886,20.431
887,14.642
888,38.234
889,25.263
890,35.013
891,44.486
892,20.829
893,16.770
894,16.384
895,32.214
896,24.030
897,43.944
898,30.518
899,48.247
900,29.152
901,14.232
902,17.186
903,35.885
904,17.399
905,39.439
906,42.635
907,15.945
908,36.386
909,39.833
910,20.990
911,36.645
912,50.337
913,28.951
914,13.338
915,14.104
916,40.238
917,38.288
918,25.729
919,36.011
920,46.497
921,28.764
922,49.997
923,13.251
924,37.952
925,37.610
926,16.672
927,20.412
928,28.216
929,36.445
930,37.123
931,13.626
932,38.411
933,38.361
934,20.366
935,23.227
936,25.925
937,38.415
938,48.452
939,27.969
940,12.279
941,13.548
942,41.174
943,42.460
944,43.031
945,28.271
946,38.460
947,16.627
948,40.970
949,24.773
950,16.147
951,36.880
952,47.950
953,13.895
954,25.668
955,30.388
956,15.647
957,46.056
958,40.798
959,24.810
960,26.849
961,43.751
962,28.293
963,15.043
964,29.460
965,38.198
966,15.327
967,24.582
968,12.184
969,35.994
970,35.886
971,15.947
972,29.340
973,25.443
974,39.946
975,17.374
976,49.571
977,29.680
978,36.299
979,35.919
980,41.487
981,15.403
982,24.320
983,17.108
984,33.933
985,25.211
986,15.932
987,19.396
988,14.047
989,45.114
990,39.199
991,41.102
992,32.398
993,39.213
994,18.011
995,28.097
996,29.886
997,17.968
998,15.838
999,28.289
1000,28.864
1001,33.079
1002,28.564
1003,14.243
1004,45.711
1005,37.451
1006,12.750
1007,47.249
1008,47.356
1009,45.410
1010,36.695
1011,39.051
1012,39.644
1013,48.782
1014,13.128
1015,39.820
1016,13.231
1017,35.943
1018,35.776
1019,42.514
1020,26.578
1021,29.716
1022,33.335
1023,40.823
1024,22.660
1025,13.115
