# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.735,10.421,55.580,52.622,172
sample_index,rtt_ms
0,15.637
1,39.730
2,13.682
3,20.849
4,15.645
5,39.563
6,38.146
7,37.878
8,14.658
9,21.511
10,31.924
11,38.819
12,21.533
13,14.599
14,28.135
15,15.214
16,21.429
17,19.733
18,50.025
19,21.083
20,19.967
21,26.296
22,55.580
23,39.477
24,22.325
25,14.688
26,48.171
27,21.580
28,16.571
29,25.666
30,16.925
31,42.305
32,16.631
33,39.575
34,42.081
35,22.154
36,18.137
37,15.986
38,31.403
39,36.451
40,23.604
41,19.371
42,30.524
43,21.449
44,31.954
45,23.945
46,21.391
47,36.675
48,16.932
49,28.488
50,30.208
51,21.080
52,20.623
53,25.618
54,16.702
55,21.793
56,18.070
57,28.916
58,37.673
59,16.566
60,15.574
61,29.934
62,39.673
63,18.914
64,44.390
65,39.813
66,16.660
67,14.860
68,40.885
69,18.086
70,40.895
71,24.838
72,34.499
73,18.004
74,40.036
75,30.347
76,27.619
77,17.931
78,47.147
79,39.734
80,29.034
81,35.912
82,18.304
83,21.628
84,22.919
85,14.932
86,38.071
87,15.959
88,29.068
89,19.034
90,24.293
91,15.971
92,38.247
93,16.133
94,20.082
95,16.622
96,50.088
97,21.001
98,22.276
99,16.194
100,15.246
101,27.868
102,20.482
103,19.029
104,18.713
105,24.919
106,18.365
107,20.587
108,17.803
109,22.882
110,53.205
111,22.348
112,17.430
113,29.758
114,17.929
115,14.641
116,14.826
117,15.868
118,29.982
119,18.981
120,17.154
121,15.311
122,15.941
123,30.184
124,17.192
125,15.888
126,16.821
127,37.624
128,15.421
129,35.906
130,15.360
131,15.812
132,45.955
133,26.535
134,41.708
135,16.975
136,18.567
137,26.656
138,17.665
139,42.831
140,33.762
141,16.774
142,39.476
143,18.587
144,16.677
145,16.246
146,26.172
147,37.779
148,42.487
149,26.973
150,21.668
151,14.409
152,44.652
153,39.705
154,15.152
155,36.972
156,40.505
157,52.384
158,13.915
159,18.170
160,14.494
161,16.296
162,28.518
163,20.136
164,16.729
165,44.122
166,15.887
167,20.474
168,16.750
169,18.702
170,26.514
171,19.928
