Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,5.23352,5.23352,9.97383e-08,5.21982e-07,34.9614,24.0003,9.97383e-08,0.599257
0.0016,17.6181,17.6181,1.9923,35.1004,34.9614,24.13,1.9923,0.566667
0.0018,14.0739,14.0739,2,28.1478,34.9614,24.1461,2.12465,0.358463
0.002,19.5113,19.5113,1.04377,20.3653,34.9614,24.0724,1.04377,0.266667
0.0022,1.21946,1.21946,2,2.43893,34.9614,24.2658,4.58313,0.716667
0.0024,1.8141,1.8141,0,0,34.9614,23.9999,-0.0113735,0.749257
0.0026,14.8939,14.8939,1.90045,28.3052,34.9614,24.1146,1.90045,0.686038
0.0028,10.0909,10.0909,2,20.1817,34.9614,24.1585,2.36443,0.508463
0.003,15.6908,15.6908,0.818473,12.8425,34.9614,24.0572,0.818473,0.416667
0.0032,4.14135,4.14135,2,8.2827,34.9614,24.2391,4.16884,0.716667
0.0034,6.88097,6.88097,1.35883e-06,9.35008e-06,34.9614,24.0007,1.35883e-06,0.599257
0.0036,15.1894,15.1894,2,30.3787,34.9614,24.1716,2.76379,0.634123
0.0038,1.66907,1.66907,2,3.33814,34.9614,24.1571,2.50055,0.658463
0.004,13.5557,13.5557,0.184891,2.50633,34.9614,24.0143,0.184891,0.566667
0.0042,7.22428,7.22428,2,14.4486,34.9614,24.2444,4.22083,0.716667
0.0044,5.37305,5.37305,0,0,34.9614,24.0004,-1.32052e-07,0.600344
0.0046,16.8087,16.8087,2,33.6173,34.9614,24.1424,2.2098,0.597357
0.0048,8.02356,8.02356,2,16.0471,34.9614,24.1684,2.48715,0.508463
0.005,16.7282,16.7282,0.373324,6.24504,34.9614,24.0271,0.373324,0.416667
0.0052,4.64565,4.64565,2,9.2913,34.9614,24.27,4.62005,0.716667
0.0054,0.0569612,0.0569612,0,0,34.9614,24,-0.00456568,0.750344
0.0056,15.4809,15.4809,1.21598,18.8244,34.9614,24.0767,1.21598,0.640508
0.0058,5.52925,5.52925,2,11.0585,34.9614,24.2232,3.59418,0.658463
0.006,14.7671,14.7671,0,0,34.9614,24.0009,-7.3622e-07,0.343284
0.0062,6.90035,6.90035,2,13.8007,34.9614,24.2646,4.54605,0.716667
0.0064,4.55251,4.55251,0,0,34.9614,24.0002,-2.58613e-06,0.600344
0.0066,14.4876,14.4876,2,28.9753,34.9614,24.153,2.52955,0.683868
0.0068,-0.637849,-0.637849,2,-1.2757,34.9614,24.1667,2.92607,0.742932
0.007,12.1127,12.1127,0,0,34.9614,24.0023,-5.22701e-07,0.493284
0.0072,8.66473,8.66473,2,17.3295,34.9614,24.2388,4.09272,0.716667
0.0074,7.62764,7.62764,0,0,34.9614,24.0005,-1.65285e-07,0.528333
0.0076,14.4941,14.4941,2,28.9882,34.9614,24.1852,2.95854,0.64283
0.0078,4.18557,4.18557,1.95119,8.16685,34.9614,24.1288,1.95119,0.592932
0.008,18.8842,18.8842,0.186129,3.51488,34.9614,24.0141,0.186129,0.343284
0.0082,9.88513,9.88513,2,19.7703,34.9614,24.2716,4.15029,0.566667
0.0084,11.5766,11.5766,0,0,34.9614,24.0004,-1.09067e-08,0.395091
0.0086,17.5318,17.5318,2,35.0637,34.9614,24.1948,2.91358,0.49283
0.0088,8.31898,8.31898,1.85875,15.4629,34.9614,24.1286,1.85875,0.442932
0.009,21.2377,21.2377,0.38736,8.22664,34.9614,24.0273,0.38736,0.268284
0.0092,6.5951,6.5951,2,13.1902,34.9614,24.2825,4.41837,0.614311
0.0094,13.2152,13.2152,0,0,34.9614,24.0002,-2.57907e-07,0.285846
0.0096,20.063,20.063,2,40.126,34.9614,24.1387,2.02398,0.34283
0.0098,15.1864,15.1864,2,30.3728,34.9614,24.1492,2.14819,0.292932
