Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,14.2387,14.2387,1.96478,27.9759,34.9614,24.0836,1.96478,0.416667
0.232,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.261,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.29,17.9895,17.9895,1.92235,34.5822,35.0839,24.1008,1.92235,0.261147
0.319,14.2303,14.2303,1.99008,28.3194,35.4068,24.0847,1.99008,0.416667
0.348,16.7724,16.7724,1.99567,33.4722,35.7297,24.0981,1.99567,0.312282
0.377,19.7032,19.7032,1.76651,34.8059,36.0526,24.1006,1.76651,0.189426
0.406,17.9937,17.9937,1.99703,35.9339,36.3756,24.1047,1.99703,0.26139
0.435,16.2625,16.2625,2.05649,33.4435,36.6985,24.0984,2.05649,0.333388
0.464,10.6354,10.6354,2.09431,22.2738,37.0214,24.0692,2.09431,0.566667
0.493,19.8809,19.8809,1.77761,35.3406,37.3443,24.1021,1.77761,0.182143
0.522,19.4509,19.4509,1.90614,37.0761,37.6672,24.1072,1.90614,0.200663
0.551,18.0695,18.0695,2.08649,37.7017,37.9902,24.1097,2.08649,0.258751
0.58,16.9903,16.9903,2.14126,36.3806,38.3131,24.1064,2.14126,0.304193
0.609,14.274,14.274,2.18758,31.2255,38.636,24.0931,2.18758,0.416667
0.638,18.5556,18.5556,2.10646,39.0867,38.9589,24.1134,2.10646,0.238786
0.667,18.9872,18.9872,2.07348,39.3696,39.2818,24.114,2.07348,0.220777
0.696,18.1136,18.1136,2.17687,39.4309,39.6048,24.1146,2.17687,0.257432
0.725,18.9809,18.9809,2.10925,40.0354,39.9277,24.1159,2.10925,0.22124
0.754,17.8965,17.8965,2.22625,39.8421,40.2506,24.1159,2.22625,0.266667
0.783,18.1099,18.1099,2.23274,40.4346,40.5735,24.1175,2.23274,0.257894
0.812,18.759,18.759,2.19217,41.123,40.8964,24.1191,2.19217,0.230869
0.841,19.8176,19.8176,1.97819,39.203,41.2194,24.1131,1.97819,0.185933
0.87,19.9615,19.9615,1.93966,38.7186,41.5423,24.1117,1.93966,0.179764
0.899,19.9353,19.9353,1.96432,39.1592,41.8652,24.113,1.96432,0.180995
0.928,18.7691,18.7691,2.26178,42.4516,42.1881,24.1229,2.26178,0.230847
0.957,18.6507,18.6507,2.29437,42.7915,42.511,24.124,2.29437,0.235915
0.986,19.9062,19.9062,2.01887,40.1881,42.8339,24.1159,2.01887,0.182513
1.015,20.1651,20.1651,1.91811,38.6789,43.1569,24.1115,1.91811,0.17123
1.044,20.0884,20.0884,1.96838,39.5416,43.4798,24.114,1.96838,0.174694
1.073,19.0065,19.0065,2.31254,43.9533,43.8027,24.1271,2.31254,0.221338
1.102,18.6025,18.6025,2.38948,44.4502,44.1256,24.1287,2.38948,0.238438
1.131,18.4868,18.4868,2.42065,44.7501,44.4485,24.1296,2.42065,0.243384
