Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.0552,17.0552,1.94536,33.1785,34.9614,24.0972,1.94536,0.3
0.058,10.6174,10.6174,1.97115,20.9285,34.9614,24.0651,1.97115,0.566667
0.087,14.2388,14.2388,1.96196,27.9359,34.9614,24.0835,1.96196,0.416667
0.116,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.145,21.3289,21.3289,0.862928,18.4053,34.9614,24.0532,0.862928,0.116667
0.174,10.6103,10.6103,1.9721,20.9245,34.9614,24.0651,1.9721,0.566667
0.203,14.2387,14.2387,1.96478,27.9759,34.9614,24.0836,1.96478,0.416667
0.232,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.261,17.8558,17.8558,1.92079,34.2974,34.9614,24.1,1.92079,0.266667
0.29,17.8568,17.8568,1.92789,34.4259,35.0839,24.1004,1.92789,0.266667
0.319,14.2364,14.2364,1.98828,28.3059,35.4068,24.0846,1.98828,0.416667
0.348,17.5585,17.5585,1.97587,34.6934,35.7297,24.1013,1.97587,0.279257
0.377,19.6508,19.6508,1.77953,34.9691,36.0526,24.1011,1.77953,0.191667
0.406,17.8626,17.8626,2.00089,35.7412,36.3756,24.1042,2.00089,0.266667
0.435,16.0515,16.0515,2.06343,33.1211,36.6985,24.0976,2.06343,0.341667
0.464,14.9722,14.9722,2.0854,31.223,37.0214,24.0928,2.0854,0.38595
0.493,19.5601,19.5601,1.86534,36.4864,37.3443,24.1055,1.86534,0.195912
0.522,18.8013,18.8013,2.00927,37.7768,37.6672,24.1095,2.00927,0.228091
0.551,17.8792,17.8792,2.09598,37.4744,37.9902,24.1091,2.09598,0.266667
0.58,19.5675,19.5675,1.91187,37.4104,38.3131,24.1081,1.91187,0.19588
0.609,14.6693,14.6693,2.18709,32.0831,38.636,24.0953,2.18709,0.400245
0.638,19.5337,19.5337,1.95227,38.1351,38.9589,24.1102,1.95227,0.197507
0.667,18.3781,18.3781,2.13995,39.3283,39.2818,24.1142,2.13995,0.246303
0.696,19.463,19.463,2.00154,38.956,39.6048,24.1126,2.00154,0.200712
0.725,20.5648,20.5648,1.57483,32.3862,39.9277,24.0934,1.57483,0.152663
0.754,17.4002,17.4002,2.24339,39.0353,40.2506,24.1139,2.24339,0.286967
0.783,18.1085,18.1085,2.23283,40.4332,40.5735,24.1175,2.23283,0.25795
0.812,18.172,18.172,2.24714,40.835,40.8964,24.1186,2.24714,0.255409
0.841,18.4062,18.4062,2.24724,41.3631,41.2194,24.12,2.24724,0.245744
0.87,19.6017,19.6017,2.06145,40.408,41.5423,24.1167,2.06145,0.195334
0.899,18.9394,18.9394,2.21994,42.0444,41.8652,24.1217,2.21994,0.22358
0.928,17.5121,17.5121,2.35575,41.254,42.1881,24.1202,2.35575,0.283244
0.957,18.4258,18.4258,2.31824,42.7155,42.511,24.1239,2.31824,0.245328
0.986,17.878,17.878,2.37673,42.4911,42.8339,24.1235,2.37673,0.268259
1.015,17.9057,17.9057,2.39383,42.8632,43.1569,24.1246,2.39383,0.267208
1.044,19.4561,19.4561,2.19695,42.7443,43.4798,24.1234,2.19695,0.202126
1.073,17.8527,17.8527,2.43414,43.4561,43.8027,24.1263,2.43414,0.269615
1.102,17.6162,17.6162,2.4647,43.4186,44.1256,24.1263,2.4647,0.279541
1.131,17.6407,17.6407,2.48239,43.7911,44.4485,24.1274,2.48239,0.278627
