Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,18.9829,18.9829,2,37.9657,34.9614,24.1598,2.3209,0.3
0.0004,4.02087,4.02087,2,8.04173,34.9614,24.2001,3.03307,0.566667
0.0006,14.9678,14.9678,0.0164499,0.246218,34.9614,24.0036,0.0164499,0.416667
0.0008,20.6972,20.6972,1.54007,31.875,34.9614,24.1063,1.54007,0.266667
0.001,20.9315,20.9315,1.08258,22.66,34.9614,24.0755,1.08258,0.116667
0.0012,0.501326,0.501326,2,1.00265,34.9614,24.2695,4.66373,0.716667
0.0014,4.70554,4.70554,0,0,34.9614,24.0003,-8.40082e-10,0.624058
0.0016,17.6528,17.6528,1.86695,32.9568,34.9614,24.1214,1.86695,0.566667
0.0018,12.0501,12.0501,2,24.1003,34.9614,24.1682,2.46145,0.416667
0.002,19.9404,19.9404,0.46912,9.35445,34.9614,24.0332,0.46912,0.266667
0.0022,2.66607,2.66607,2,5.33213,34.9614,24.283,4.89697,0.716667
0.0024,0.454139,0.454139,0,0,34.9614,23.9996,-0.070351,0.742889
0.0026,14.1596,14.1596,1.77269,25.1006,34.9614,24.1031,1.77269,0.716667
0.0028,8.57388,8.57388,2,17.1478,34.9614,24.1689,2.577,0.566667
0.003,16.1346,16.1346,0.409744,6.61105,34.9614,24.0297,0.409744,0.416667
0.0032,4.94217,4.94217,2,9.88435,34.9614,24.2615,4.50892,0.716667
0.0034,-0.0879388,-0.0879388,0,-0,34.9614,24.0022,-1.37855e-06,0.756916
0.0036,15.0289,15.0289,1.32889,19.9717,34.9614,24.0819,1.32889,0.665961
0.0038,6.2597,6.2597,2,12.5194,34.9614,24.2105,3.36077,0.640013
0.004,9.63123,9.63123,0.119409,1.15005,34.9614,24.011,0.119409,0.566667
0.0042,9.98629,9.98629,2,19.9726,34.9614,24.2069,3.57943,0.716667
0.0044,0.427432,0.427432,1.32512,0.566397,34.9614,24.0798,1.32512,0.721372
0.0046,14.8683,14.8683,0.845792,12.5755,34.9614,24.0542,0.845792,0.635593
0.0048,2.71954,2.71954,2,5.43907,34.9614,24.23,4.22885,0.764673
0.005,10.4862,10.4862,0,0,34.9614,24.0005,-2.25704e-07,0.416667
0.0052,9.73673,9.73673,2,19.4735,34.9614,24.2222,3.8096,0.716667
0.0054,1.73626,1.73626,0.922572,1.60183,34.9614,24.0597,0.922572,0.677447
0.0056,15.2788,15.2788,1.38541,21.1674,34.9614,24.086,1.38541,0.658055
0.0058,6.95563,6.95563,2,13.9113,34.9614,24.2087,3.25407,0.614673
0.006,9.4479,9.4479,0.313097,2.95811,34.9614,24.0235,0.313097,0.566667
0.0062,9.59839,9.59839,2,19.1968,34.9614,24.1996,3.41642,0.716667
0.0064,5.89122,5.89122,0.819974,4.83065,34.9614,24.0559,0.819974,0.601181
0.0066,16.9371,16.9371,1.72269,29.1775,34.9614,24.1132,1.72269,0.5565
0.0068,10.9755,10.9755,2,21.9511,34.9614,24.1803,2.6463,0.464673
0.007,9.05126,9.05126,1.35796,12.2913,34.9614,24.0915,1.35796,0.550093
0.0072,7.1153,7.1153,2,14.2306,34.9614,24.1551,2.63839,0.716667
0.0074,6.98256,6.98256,1.20415,8.40808,34.9614,24.0761,1.20415,0.666561
0.0076,9.28109,9.28109,2,18.5622,34.9614,24.1391,2.33412,0.7065
0.0078,14.8627,14.8627,0.849528,12.6263,34.9614,24.0592,0.849528,0.452761
0.008,17.0498,17.0498,2,34.0995,34.9614,24.1746,2.55502,0.400093
0.0082,-1.34327,-1.34327,2,-2.68654,34.9614,24.1907,3.23279,0.716667
0.0084,6.00116,6.00116,0.015596,0.0935942,34.9614,24.0029,0.015596,0.789193
0.0086,15.487,15.487,2,30.974,34.9614,24.1622,2.57823,0.636207
0.0088,4.1489,4.1489,2,8.29779,34.9614,24.1581,2.42672,0.602761
0.009,14.1318,14.1318,0.307982,4.35235,34.9614,24.0223,0.307982,0.550093
0.0092,6.49955,6.49955,2,12.9991,34.9614,24.2471,4.23943,0.716667
0.0094,-0.355519,-0.355519,0.421408,-0.149819,34.9614,24.0264,0.421408,0.755279
0.0096,14.1228,14.1228,1.47316,20.8052,34.9614,24.087,1.47316,0.711432
0.0098,10.7429,10.7429,2,21.4858,34.9614,24.1752,2.62322,0.532961
