Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,7.93806,7.93806,4.97901,39.5237,85.0695,24.1255,4.97901,0.690043
0.203,14.6058,14.6058,4.95894,72.4294,85.0695,24.211,4.95894,0.416667
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.319,11.5922,11.5922,4.97293,57.647,85.0695,24.1727,4.97293,0.540043
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4289,16.4289,4.91686,80.7787,85.0695,24.2326,4.91686,0.341667
0.464,15.2372,15.2372,4.9478,75.3905,85.0695,24.2189,4.9478,0.390043
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,18.3376,18.3376,4.63103,84.9218,85.0695,24.2426,4.63103,0.261728
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,18.0758,18.0758,4.70621,85.0686,85.0695,24.2432,4.70621,0.272838
0.609,14.0669,14.0669,4.96205,69.8005,85.0695,24.2044,4.96205,0.438075
0.638,16.4247,16.4247,4.91383,80.7081,85.0695,24.2325,4.91383,0.341667
0.667,17.2791,17.2791,4.84753,83.7608,85.0695,24.2403,4.84753,0.306173
0.696,18.0528,18.0528,4.71198,85.0646,85.0695,24.2432,4.71198,0.273809
0.725,18.8775,18.8775,4.4085,83.2213,85.0695,24.2375,4.4085,0.238425
