Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,16.3591,16.3591,4.91763,80.4481,85.0695,24.2319,4.91763,0.344172
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.319,14.5839,14.5839,4.95331,72.2384,85.0695,24.2108,4.95331,0.416667
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,18.4338,18.4338,4.59857,84.7692,85.0695,24.2421,4.59857,0.257615
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4289,16.4289,4.91686,80.7787,85.0695,24.2326,4.91686,0.341667
0.464,11.0453,11.0453,4.97474,54.9472,85.0695,24.1656,4.97474,0.562535
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,19.1064,19.1064,4.27995,81.7745,85.0695,24.2333,4.27995,0.228342
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.609,14.6854,14.6854,4.95604,72.7813,85.0695,24.2122,4.95604,0.412535
0.638,17.7254,17.7254,4.78188,84.761,85.0695,24.2427,4.78188,0.287571
0.667,18.2965,18.2965,4.64403,84.9697,85.0695,24.2428,4.64403,0.263477
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,19.1125,19.1125,4.2762,81.7289,85.0695,24.2331,4.2762,0.228071
