# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.754,9.857,55.060,49.326,172
sample_index,rtt_ms
0,25.855
1,16.742
2,26.916
3,15.502
4,18.652
5,32.507
6,24.242
7,17.697
8,15.788
9,17.112
10,33.436
11,19.296
12,16.838
13,19.875
14,14.465
15,19.268
16,20.458
17,17.835
18,55.060
19,19.277
20,25.698
21,39.400
22,14.554
23,31.890
24,31.186
25,38.621
26,16.350
27,16.564
28,30.741
29,37.203
30,12.157
31,16.735
32,43.134
33,17.740
34,36.728
35,22.377
36,17.434
37,18.910
38,17.945
39,25.756
40,17.085
41,34.739
42,15.800
43,28.897
44,20.943
45,31.038
46,25.517
47,35.112
48,23.971
49,45.323
50,33.619
51,27.875
52,36.601
53,19.773
54,21.981
55,20.748
56,34.969
57,17.877
58,42.905
59,15.915
60,47.115
61,42.677
62,25.977
63,14.777
64,19.948
65,22.968
66,16.104
67,28.853
68,19.066
69,27.795
70,19.756
71,24.921
72,18.699
73,19.927
74,16.910
75,15.945
76,27.154
77,34.682
78,18.837
79,48.896
80,15.938
81,34.006
82,16.889
83,25.970
84,16.817
85,30.947
86,16.746
87,31.300
88,13.913
89,21.921
90,16.332
91,26.321
92,19.578
93,14.474
94,13.773
95,33.472
96,16.566
97,20.320
98,14.896
99,13.643
100,26.263
101,34.673
102,16.402
103,32.919
104,29.985
105,21.346
106,40.277
107,33.379
108,17.389
109,32.926
110,26.886
111,17.639
112,13.691
113,28.429
114,16.386
115,37.627
116,21.203
117,14.905
118,14.811
119,19.258
120,48.089
121,32.106
122,28.298
123,23.242
124,19.267
125,16.830
126,34.671
127,27.308
128,20.982
129,17.072
130,15.193
131,38.033
132,17.294
133,31.741
134,14.471
135,22.265
136,17.895
137,44.779
138,15.012
139,46.256
140,34.637
141,27.090
142,16.448
143,15.976
144,30.035
145,40.231
146,15.464
147,13.385
148,27.143
149,12.572
150,22.500
151,16.279
152,14.480
153,25.656
154,16.752
155,17.432
156,15.009
157,39.716
158,41.567
159,45.915
160,17.756
161,18.270
162,13.555
163,50.378
164,42.503
165,46.818
166,16.842
167,16.285
168,35.559
169,15.881
170,21.096
171,13.883
