# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.505,11.239,97.258,54.329,10000
sample_index,rtt_ms
0,13.925
1,30.912
2,12.211
3,12.790
4,13.429
5,22.754
6,36.678
7,50.489
8,29.508
9,47.765
10,16.212
11,29.530
12,27.922
13,30.569
14,45.475
15,40.459
16,34.442
17,50.087
18,17.356
19,17.231
20,29.150
21,13.586
22,14.371
23,26.227
24,22.568
25,16.547
26,18.110
27,22.487
28,36.283
29,17.594
30,17.414
31,39.554
32,14.476
33,43.288
34,20.031
35,17.938
36,45.091
37,17.645
38,38.413
39,14.109
40,16.002
41,32.424
42,20.829
43,14.660
44,34.743
45,31.242
46,36.753
47,17.456
48,23.574
49,19.538
50,17.560
51,12.701
52,48.011
53,19.418
54,33.457
55,13.051
56,40.450
57,19.802
58,28.172
59,22.769
60,24.013
61,14.576
62,29.569
63,24.937
64,24.945
65,40.275
66,24.499
67,17.593
68,13.497
69,22.085
70,16.599
71,16.113
72,15.021
73,48.017
74,18.251
75,36.500
76,17.341
77,22.698
78,12.559
79,21.810
80,36.530
81,13.358
82,25.741
83,38.103
84,41.870
85,35.103
86,14.363
87,26.751
88,21.602
89,36.454
90,18.079
91,16.454
92,15.557
93,11.995
94,67.343
95,14.853
96,20.779
97,14.424
98,22.240
99,14.788
100,25.555
101,37.412
102,13.353
103,28.372
104,15.531
105,18.993
106,25.503
107,15.857
108,37.439
109,35.355
110,14.060
111,17.727
112,42.225
113,41.948
114,45.363
115,47.729
116,24.389
117,32.487
118,50.391
119,36.657
120,12.609
121,23.710
122,28.787
123,14.287
124,14.018
125,26.980
126,23.593
127,32.221
128,30.146
129,47.965
130,29.249
131,39.774
132,41.261
133,16.895
134,39.012
135,23.548
136,47.411
137,32.301
138,45.209
139,35.825
140,42.286
141,36.457
142,31.941
143,38.928
144,43.684
145,22.847
146,39.140
147,13.330
148,28.956
149,36.334
150,13.532
151,32.331
152,40.773
153,40.948
154,40.291
155,36.342
156,27.487
157,33.364
158,42.443
159,44.458
160,28.931
161,20.801
162,17.717
163,30.739
164,15.503
165,30.238
166,13.596
167,31.542
168,22.914
169,13.749
170,12.476
171,13.087
172,27.759
173,38.779
174,18.723
175,32.797
176,44.528
177,24.771
178,28.089
179,23.891
180,13.985
181,32.095
182,36.841
183,41.657
184,32.272
185,37.319
186,43.358
187,37.972
188,25.043
189,12.645
190,19.369
191,43.501
192,13.041
193,16.268
194,14.597
195,27.237
196,19.496
197,19.017
198,36.734
199,28.928
200,50.983
201,15.649
202,19.044
203,13.547
204,26.569
205,19.214
206,14.371
207,34.184
208,39.385
209,17.189
210,47.921
211,33.540
212,39.932
213,40.328
214,28.336
215,32.069
216,44.077
217,37.587
218,34.523
219,22.839
220,18.757
221,15.835
222,32.887
223,13.636
224,17.309
225,24.355
226,23.721
227,37.830
228,34.524
229,28.145
230,17.075
231,13.946
232,18.924
233,38.475
234,12.400
235,27.664
236,18.328
237,16.659
238,12.288
239,20.277
240,16.268
241,16.938
242,40.871
243,19.013
244,34.806
245,33.258
246,18.574
247,16.398
248,41.538
249,46.601
250,26.494
251,37.526
252,41.992
253,35.601
254,15.403
255,54.029
256,24.798
257,38.273
258,13.395
259,44.822
260,38.212
261,26.472
262,40.795
263,46.587
264,28.482
265,36.829
266,43.263
267,20.814
268,39.167
269,59.007
270,18.319
271,16.542
272,33.144
273,27.240
274,16.415
