Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.1241,20.1241,3.44448,69.3169,85.0695,24.2365,3.44448,0.276585
0.0018,19.1013,19.1013,4.31696,82.4594,85.0695,24.296,4.31696,0.266667
0.002,19.9636,19.9636,3.45598,68.9937,85.0695,24.2383,3.45598,0.151828
0.0022,15.5422,15.5422,5,77.7112,85.0695,24.3807,5.68693,0.416667
0.0024,17.7893,17.7893,3.8424,68.3537,85.0695,24.2643,3.8424,0.266667
0.0026,19.8672,19.8672,3.61169,71.7543,85.0695,24.2453,3.61169,0.194045
0.0028,18.9714,18.9714,4.38939,83.2729,85.0695,24.2958,4.38939,0.266667
0.003,18.9215,18.9215,4.31207,81.5906,85.0695,24.2939,4.31207,0.233261
0.0032,18.4079,18.4079,4.58917,84.4772,85.0695,24.3103,4.58917,0.266667
0.0034,19.4505,19.4505,3.92343,76.3128,85.0695,24.2667,3.92343,0.191667
0.0036,19.38,19.38,4.05042,78.4971,85.0695,24.2739,4.05042,0.222335
0.0038,18.6158,18.6158,4.53608,84.4429,85.0695,24.3072,4.53608,0.266667
0.004,17.9866,17.9866,4.69031,84.3625,85.0695,24.3195,4.69031,0.276872
0.0042,19.2972,19.2972,4.03131,77.7929,85.0695,24.276,4.03131,0.203518
0.0044,18.9543,18.9543,4.34336,82.3253,85.0695,24.2993,4.34336,0.24817
0.0046,17.1984,17.1984,4.9812,85.6686,85.0695,24.3416,4.9812,0.313881
0.0048,17.5968,17.5968,4.56969,80.4121,85.0695,24.3142,4.56969,0.286154
0.005,17.6925,17.6925,4.78193,84.6043,85.0695,24.3283,4.78193,0.298677
0.0052,17.0455,17.0455,4.81439,82.0637,85.0695,24.3305,4.81439,0.307503
