# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.878,11.429,94.428,56.577,10000
sample_index,rtt_ms
0,46.967
1,42.490
2,14.073
3,38.462
4,51.327
5,12.681
6,25.441
7,47.674
8,38.980
9,44.158
10,20.063
11,47.248
12,15.469
13,15.065
14,27.764
15,25.198
16,17.000
17,15.184
18,35.171
19,63.633
20,21.696
21,27.788
22,21.789
23,26.794
24,37.357
25,25.175
26,42.025
27,23.691
28,26.991
29,34.876
30,24.767
31,12.868
32,14.210
33,29.638
34,40.223
35,15.528
36,34.694
37,14.483
38,38.590
39,26.977
40,33.090
41,51.968
42,26.230
43,24.478
44,42.564
45,24.545
46,36.326
47,39.023
48,30.217
49,13.544
50,40.956
51,23.653
52,29.420
53,36.924
54,38.244
55,31.180
56,27.297
57,33.840
58,36.062
59,18.772
60,27.679
61,27.399
62,34.408
63,46.503
64,19.405
65,25.076
66,28.110
67,32.768
68,13.044
69,23.518
70,31.816
71,39.464
72,27.812
73,18.619
74,40.814
75,36.604
76,47.961
77,13.095
78,23.524
79,14.039
80,28.382
81,23.038
82,19.174
83,26.141
84,15.423
85,31.599
86,24.217
87,30.095
88,36.390
89,21.883
90,17.276
91,23.821
92,35.787
93,19.725
94,31.286
95,24.506
96,20.480
97,12.831
98,12.602
99,24.094
100,60.590
101,23.072
102,24.857
103,23.767
104,30.629
105,27.925
106,17.472
107,24.633
108,22.156
109,17.604
110,12.236
111,49.621
112,15.160
113,36.624
114,14.224
115,15.344
116,12.254
117,12.678
118,41.871
119,15.028
120,13.341
121,27.957
122,33.063
123,15.314
124,43.895
125,37.300
126,19.689
127,13.763
128,37.976
129,38.001
130,24.305
131,50.391
132,16.425
133,22.975
134,48.034
135,71.947
136,43.912
137,52.546
138,23.582
139,42.029
140,32.603
141,15.190
142,32.833
143,33.123
144,25.093
145,35.395
146,13.775
147,32.568
148,38.540
149,13.588
150,27.603
151,32.260
152,23.295
153,45.257
154,14.562
155,12.399
156,25.468
157,38.543
158,14.373
159,23.742
160,12.101
161,18.517
162,17.648
163,25.963
164,16.681
165,14.894
166,45.535
167,15.142
168,16.051
169,13.082
170,25.752
171,13.428
172,18.607
173,15.529
174,24.736
175,18.856
176,16.832
177,26.856
178,18.260
179,13.066
180,15.541
181,25.999
182,27.842
183,35.486
184,38.810
185,39.724
186,20.446
187,13.718
188,17.668
189,14.214
190,22.644
191,15.898
192,17.416
193,36.033
194,12.282
195,14.704
196,14.978
197,29.531
198,13.557
199,16.284
200,13.164
201,20.315
202,13.887
203,16.782
204,14.199
205,33.717
206,24.188
207,14.143
208,12.701
209,38.872
210,38.234
211,41.226
212,29.690
213,40.615
214,18.456
215,12.474
216,28.770
217,14.727
218,52.550
219,46.668
220,19.568
221,12.358
222,21.415
223,29.969
224,49.346
225,31.703
226,12.954
227,13.475
228,36.021
229,16.858
230,12.402
231,21.216
232,45.238
233,22.606
234,35.077
235,41.799
236,25.148
237,22.418
238,35.962
239,22.087
240,18.173
241,12.879
242,15.558
243,22.586
244,17.627
245,19.625
246,33.890
247,27.067
248,16.683
249,37.456
250,14.215
251,37.391
252,56.322
253,17.779
254,13.644
255,24.263
256,18.630
257,16.514
258,36.742
259,30.201
260,59.399
261,19.156
262,14.851
263,12.848
264,28.404
265,46.353
266,13.033
267,22.368
268,16.069
269,16.600
270,33.262
271,13.018
272,16.709
273,14.849
274,22.537
275,12.642
276,24.873
277,12.758
278,21.662
279,38.755
280,24.577
281,29.366
282,38.241
283,40.880
284,13.776
285,17.028
286,49.065
287,30.534
288,13.641
289,25.914
290,12.454
291,18.743
292,32.768
293,31.843
294,23.605
295,28.031
296,42.705
297,44.933
298,46.755
299,43.596
300,21.552
301,15.221
302,59.925
303,48.692
304,37.394
305,17.344
306,22.812
307,27.715
308,29.750
309,36.484
310,31.799
311,42.505
312,86.887
313,28.161
314,37.202
315,25.519
316,47.537
317,34.161
318,46.707
319,31.407
320,38.920
321,55.489
322,37.746
323,25.792
324,13.423
325,35.722
326,16.222
327,15.026
328,34.393
329,25.331
330,14.669
331,50.565
332,36.045
333,24.491
334,21.573
335,24.544
336,45.657
337,43.869
338,15.973
339,14.679
340,35.585
341,14.813
342,17.536
343,15.567
344,29.725
345,29.135
346,34.108
347,40.995
348,15.091
349,28.799
350,22.853
351,26.155
352,16.242
353,13.507
354,49.561
355,25.563
356,37.260
357,38.832
358,34.612
359,19.035
360,46.606
361,27.930
362,38.216
363,35.328
364,44.535
365,37.024
366,36.866
367,27.298
368,34.620
369,12.906
370,24.143
371,21.764
372,12.649
373,34.495
374,16.575
375,12.380
376,35.536
377,28.789
378,14.297
379,35.203
380,34.548
381,14.078
382,27.442
383,33.645
