Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.817,10.817,4.96986,53.7591,85.0695,24.1623,4.96986,0.572388
0.203,14.5595,14.5595,4.95187,72.097,85.0695,24.2107,4.95187,0.416667
0.232,16.6447,16.6447,4.90347,81.6167,85.0695,24.2348,4.90347,0.332702
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,19.933,19.933,3.59824,71.7239,85.0695,24.2047,3.59824,0.190605
0.319,14.4545,14.4545,4.95793,71.6644,85.0695,24.2092,4.95793,0.422388
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,20.0997,20.0997,3.41443,68.6292,85.0695,24.196,3.41443,0.182702
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4533,16.4533,4.91219,80.8216,85.0695,24.2327,4.91219,0.340605
0.464,15.974,15.974,4.93241,78.7903,85.0695,24.2276,4.93241,0.360011
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,16.6376,16.6376,4.90278,81.5703,85.0695,24.2347,4.90278,0.332702
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,18.0545,18.0545,4.71157,85.065,85.0695,24.2432,4.71157,0.27374
0.609,12.3085,12.3085,4.96739,61.1411,85.0695,24.1819,4.96739,0.510011
0.638,16.4115,16.4115,4.91265,80.6239,85.0695,24.2324,4.91265,0.341667
0.667,15.2412,15.2412,4.94452,75.3606,85.0695,24.2185,4.94452,0.390738
0.696,18.0581,18.0581,4.71066,85.0658,85.0695,24.2432,4.71066,0.273586
0.725,18.8344,18.8344,4.43021,83.4401,85.0695,24.2381,4.43021,0.240308
