# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 23.134,9.101,46.901,44.821,172
sample_index,rtt_ms
0,17.337
1,35.429
2,18.326
3,17.392
4,15.301
5,31.058
6,36.270
7,13.324
8,15.659
9,26.662
10,41.001
11,15.319
12,27.415
13,16.799
14,15.254
15,30.892
16,25.842
17,12.703
18,19.765
19,17.742
20,13.220
21,42.170
22,19.543
23,14.691
24,16.801
25,18.064
26,20.131
27,15.697
28,17.665
29,27.719
30,18.191
31,14.444
32,15.687
33,16.724
34,25.963
35,18.568
36,18.250
37,15.376
38,26.650
39,16.014
40,12.609
41,15.928
42,17.375
43,23.190
44,16.060
45,13.691
46,20.202
47,42.947
48,20.961
49,19.261
50,15.700
51,17.912
52,42.810
53,17.010
54,26.070
55,34.624
56,42.017
57,15.532
58,15.800
59,39.929
60,19.824
61,17.563
62,16.884
63,28.242
64,19.884
65,28.898
66,19.876
67,27.096
68,18.969
69,17.997
70,19.353
71,15.925
72,28.002
73,18.134
74,18.929
75,16.906
76,40.102
77,17.857
78,20.981
79,16.820
80,14.877
81,44.986
82,22.857
83,34.750
84,25.912
85,18.861
86,18.897
87,15.561
88,13.806
89,26.642
90,13.925
91,17.617
92,15.629
93,46.901
94,35.726
95,32.105
96,17.726
97,16.169
98,25.289
99,26.439
100,16.134
101,37.486
102,23.761
103,29.047
104,21.181
105,13.988
106,27.016
107,15.646
108,13.670
109,27.510
110,27.314
111,17.635
112,18.481
113,44.317
114,22.204
115,44.753
116,26.736
117,18.034
118,28.365
119,13.126
120,44.110
121,15.802
122,27.400
123,38.124
124,14.696
125,16.902
126,15.510
127,27.427
128,20.050
129,17.322
130,16.504
131,29.466
132,30.070
133,13.155
134,38.943
135,14.779
136,18.683
137,17.269
138,36.223
139,18.817
140,17.077
141,40.662
142,40.945
143,16.659
144,36.571
145,16.026
146,13.268
147,13.309
148,15.998
149,23.119
150,31.717
151,44.151
152,40.778
153,43.847
154,25.523
155,29.503
156,30.823
157,16.092
158,28.946
159,12.807
160,25.621
161,37.331
162,16.542
163,27.866
164,13.829
165,30.175
166,15.303
167,26.485
168,14.782
169,17.277
170,14.651
171,20.118
