# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.172,11.315,114.539,55.705,10000
sample_index,rtt_ms
0,73.952
1,33.100
2,49.365
3,32.248
4,32.319
5,39.278
6,28.425
7,23.686
8,36.242
9,39.631
10,23.075
11,36.516
12,22.545
13,16.398
14,20.265
15,32.477
16,37.601
17,15.742
18,28.778
19,37.412
20,31.424
21,40.905
22,43.216
23,14.883
24,39.480
25,36.846
26,30.730
27,43.765
28,17.515
29,33.492
30,36.391
31,38.092
32,41.843
33,39.075
34,49.441
35,14.824
36,16.382
37,24.724
38,42.424
39,35.202
40,27.359
41,36.986
42,17.178
43,26.169
44,16.881
45,28.164
46,31.597
47,16.259
48,39.074
49,22.828
50,37.549
51,14.161
52,29.862
53,28.895
54,42.347
55,34.798
56,34.003
57,34.022
58,50.795
59,17.234
60,15.062
61,42.403
62,34.396
63,15.977
64,40.896
65,52.354
66,38.241
67,36.303
68,33.448
69,25.064
70,16.413
71,28.009
72,40.079
73,14.967
74,50.986
75,34.637
76,53.278
77,37.554
78,38.685
79,33.621
80,31.112
81,33.661
82,40.621
83,32.923
84,33.993
85,19.940
86,33.126
87,40.963
88,37.130
89,53.243
90,39.168
91,40.127
92,18.055
93,31.948
94,36.126
95,40.553
96,33.903
97,40.125
98,33.198
99,38.954
100,46.549
101,37.855
102,52.004
103,37.965
104,26.842
105,38.737
106,40.148
107,34.617
108,33.922
109,30.078
110,31.354
111,23.264
112,26.817
113,20.254
114,83.401
115,36.337
116,15.819
117,34.415
118,26.531
119,37.205
120,49.289
121,33.183
122,31.378
123,40.633
124,17.319
125,40.777
126,28.967
127,35.708
128,22.379
129,19.290
130,13.667
131,22.662
132,30.346
133,34.976
134,51.069
135,28.407
136,40.503
137,19.857
138,38.226
139,28.567
140,14.102
141,41.082
142,36.629
143,40.066
144,32.875
145,36.601
146,37.998
147,34.585
148,30.868
149,15.846
150,18.211
151,16.131
152,38.749
153,17.537
154,26.787
155,20.016
156,18.589
157,13.598
158,37.501
159,27.025
160,34.530
161,43.559
162,18.233
163,38.907
164,13.662
165,30.841
166,38.040
167,24.367
168,13.741
169,14.562
170,24.979
171,41.918
172,34.712
173,25.150
174,12.476
175,37.136
176,40.481
177,41.135
178,13.767
179,14.634
180,26.168
181,39.719
182,43.051
183,34.847
184,38.550
185,56.712
186,15.835
187,36.572
188,26.884
189,48.428
190,14.677
191,33.505
192,26.960
193,36.299
194,55.317
195,42.139
196,39.524
197,41.509
198,34.759
199,26.884
200,14.719
201,22.071
202,17.710
203,30.305
204,31.125
205,36.097
206,13.460
207,23.915
208,13.382
209,32.307
210,36.525
211,39.447
212,40.207
213,38.875
214,16.066
215,35.539
216,20.610
217,27.698
218,16.097
219,32.266
220,12.928
221,51.199
222,18.956
223,36.645
224,38.759
225,45.363
226,16.082
227,13.845
228,14.904
229,41.676
230,36.583
231,31.526
232,19.224
233,16.376
234,37.837
235,31.223
236,36.792
237,21.990
238,35.400
239,14.942
240,23.528
241,41.215
242,38.487
243,39.180
244,14.692
245,22.728
246,14.302
247,36.821
248,23.940
249,41.620
250,44.641
251,14.139
252,16.094
253,21.527
254,54.932
255,35.579
256,21.525
257,39.607
258,39.301
259,14.288
260,30.301
261,34.713
