Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,12.6587,12.6587,4.95883,62.7724,85.0695,24.1857,4.95883,0.497093
0.232,16.3112,16.3112,4.91979,80.248,85.0695,24.2314,4.91979,0.346142
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,19.685,19.685,3.84181,75.6263,85.0695,24.2158,3.84181,0.20217
0.319,14.624,14.624,4.9495,72.3815,85.0695,24.2106,4.9495,0.416667
0.348,16.2881,16.2881,4.9208,80.1507,85.0695,24.2311,4.9208,0.347093
0.377,17.3151,17.3151,4.84324,83.8611,85.0695,24.2405,4.84324,0.304678
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,17.0407,17.0407,4.87231,83.0276,85.0695,24.2384,4.87231,0.316051
0.464,10.9462,10.9462,4.97387,54.445,85.0695,24.1643,4.97387,0.566667
0.493,19.7945,19.7945,3.73866,74.0049,85.0695,24.2112,3.73866,0.197093
0.522,18.3121,18.3121,4.63915,84.9527,85.0695,24.2427,4.63915,0.262813
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,18.0032,18.0032,4.72402,85.0477,85.0695,24.2432,4.72402,0.275902
0.609,8.92973,8.92973,4.97449,44.4209,85.0695,24.138,4.97449,0.649835
0.638,19.2359,19.2359,4.19667,80.7268,85.0695,24.2303,4.19667,0.222575
0.667,18.6007,18.6007,4.53532,84.3602,85.0695,24.2408,4.53532,0.250444
0.696,18.0542,18.0542,4.71165,85.0649,85.0695,24.2432,4.71165,0.273754
0.725,18.4755,18.4755,4.58361,84.6847,85.0695,24.2418,4.58361,0.255828
