Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,9.5544,9.5544,5,47.772,85.0695,24.4465,7.1834,0.635823
0.0014,11.8915,11.8915,2.42969,28.8928,85.0695,24.1659,2.42969,0.416667
0.0016,20.394,20.394,3.10096,63.241,85.0695,24.2131,3.10096,0.266667
0.0018,19.346,19.346,4.15954,80.4706,85.0695,24.2846,4.15954,0.266667
0.002,18.5116,18.5116,4.56654,84.5341,85.0695,24.3097,4.56654,0.266667
0.0022,10.3658,10.3658,5,51.8291,85.0695,24.3899,5.88621,0.485823
0.0024,14.6343,14.6343,3.46313,50.6805,85.0695,24.2338,3.46313,0.420281
0.0026,20.3468,20.3468,3.08403,62.7503,85.0695,24.212,3.08403,0.191667
0.0028,19.3641,19.3641,4.14708,80.3045,85.0695,24.2821,4.14708,0.266667
0.003,16.6254,16.6254,5,83.127,85.0695,24.3534,5.18982,0.341667
0.0032,14.5656,14.5656,4.76981,69.475,85.0695,24.3217,4.76981,0.366161
0.0034,19.177,19.177,4.10809,78.7809,85.0695,24.2811,4.10809,0.270281
0.0036,19.8596,19.8596,3.58443,71.1852,85.0695,24.2475,3.58443,0.172305
0.0038,18.9968,18.9968,4.37596,83.1293,85.0695,24.2953,4.37596,0.266667
0.004,18.3878,18.3878,4.57919,84.2014,85.0695,24.3152,4.57919,0.263373
0.0042,19.1311,19.1311,4.1554,79.4973,85.0695,24.2819,4.1554,0.216161
0.0044,19.6713,19.6713,3.76768,74.1152,85.0695,24.2602,3.76768,0.187383
0.0046,17.7639,17.7639,4.96935,88.2748,85.0695,24.3402,4.96935,0.322305
0.0048,17.9902,17.9902,4.50374,81.0233,85.0695,24.3098,4.50374,0.264093
0.005,19.1194,19.1194,4.18117,79.9416,85.0695,24.2884,4.18117,0.224227
0.0052,19.0678,19.0678,4.24534,80.9494,85.0695,24.2928,4.24534,0.233385
