# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 31.039,11.062,102.350,56.010,25000
sample_index,rtt_ms
0,37.738
1,34.981
2,25.707
3,39.697
4,38.007
5,22.019
6,30.051
7,39.844
8,14.733
9,14.606
10,23.239
11,30.069
12,31.417
13,25.852
14,36.768
15,23.533
16,26.819
17,47.518
18,27.740
19,13.478
20,22.852
21,40.380
22,23.020
23,12.388
24,42.281
25,33.659
26,48.317
27,18.106
28,14.894
29,26.587
30,22.934
31,27.297
32,51.017
33,31.147
34,37.229
35,21.128
36,40.488
37,42.596
38,37.528
39,18.297
40,23.231
41,37.448
42,23.384
43,21.384
44,44.848
45,25.328
46,37.084
47,33.207
48,40.919
49,35.794
50,29.357
51,47.479
52,33.659
53,14.752
54,40.169
55,27.104
56,30.945
57,45.740
58,32.446
59,19.796
60,26.537
61,16.983
62,17.123
63,43.415
64,16.684
65,18.881
66,25.422
67,27.100
68,38.296
69,39.841
70,15.562
71,31.533
72,36.132
73,25.832
74,37.461
75,40.375
76,38.109
77,28.640
78,36.070
79,12.484
80,50.055
81,37.061
82,30.590
83,25.023
84,31.656
85,47.347
86,31.730
87,37.639
88,32.726
89,40.389
90,13.783
91,14.908
92,55.709
93,32.826
94,40.079
95,32.379
96,14.778
97,38.211
98,36.352
99,42.191
100,31.862
101,24.342
102,38.651
103,35.152
104,39.845
105,13.853
106,14.135
107,37.735
108,32.904
109,12.795
110,37.860
111,27.495
112,39.059
113,43.595
114,35.337
115,23.639
116,40.309
117,13.590
118,26.513
119,28.141
120,45.615
121,13.603
122,18.305
123,29.776
124,26.791
125,41.909
126,33.738
127,24.867
128,48.574
129,13.793
130,19.542
131,28.847
132,21.075
133,38.274
134,42.953
135,21.307
136,14.361
137,37.730
138,34.561
139,14.074
140,15.759
141,16.228
142,27.717
143,47.227
144,33.186
145,35.451
146,21.667
147,14.824
148,29.260
149,27.457
150,38.222
151,47.734
152,14.801
153,35.778
154,28.514
155,34.779
156,44.689
157,15.452
158,15.688
159,16.683
160,41.596
161,20.869
162,46.360
163,33.967
164,14.021
165,38.636
166,14.403
167,37.409
168,28.240
169,13.689
170,14.274
171,45.484
172,30.670
173,16.308
174,25.220
175,37.723
176,46.953
177,15.453
178,38.312
179,36.198
180,23.616
181,51.143
182,15.900
183,20.048
184,22.990
185,24.472
186,39.943
187,36.529
188,13.641
189,25.557
190,13.908
191,35.469
192,39.493
193,39.677
194,18.855
195,15.060
196,37.287
197,23.503
198,55.616
199,17.536
200,15.714
201,19.181
202,40.033
203,40.250
204,25.671
205,34.161
206,37.887
207,21.138
208,18.133
209,32.994
210,25.773
211,40.275
212,44.536
213,30.852
214,23.831
215,28.182
216,37.481
217,44.318
218,31.327
219,49.755
220,14.380
221,33.377
222,14.744
223,21.254
224,18.675
225,25.024
226,26.510
227,32.490
228,15.459
229,29.336
230,27.822
231,35.886
232,22.741
233,26.194
234,17.824
235,29.817
236,17.007
237,15.466
238,12.821
239,26.161
240,21.947
241,31.119
242,27.720
243,37.804
244,13.721
245,23.085
246,23.690
247,24.125
248,28.638
249,13.697
250,15.402
251,13.782
252,22.961
253,13.181
254,22.875
255,16.273
256,21.514
257,17.990
258,16.653
259,24.026
260,38.519
261,37.677
262,37.008
263,36.690
264,35.627
265,45.923
266,17.816
267,27.880
268,18.380
269,28.210
270,22.956
271,17.334
272,20.617
273,47.544
274,22.888
275,26.127
276,34.493
277,14.220
278,12.834
279,41.622
280,35.052
281,12.720
282,13.894
283,22.305
284,27.987
285,14.189
286,34.864
287,36.687
288,14.630
289,31.012
290,37.187
291,23.333
292,25.811
293,41.192
294,36.923
295,35.689
296,32.815
297,13.850
298,15.666
299,43.552
300,13.771
301,19.391
302,30.485
303,24.671
304,19.098
305,17.099
306,34.570
307,40.178
308,46.694
309,27.669
310,39.146
311,44.009
312,34.933
313,25.231
314,39.058
315,25.912
316,34.590
317,17.215
318,31.457
319,36.954
320,15.429
321,31.622
322,39.240
323,13.943
324,24.712
325,34.846
326,47.192
327,13.733
328,16.872
329,29.521
330,23.232
331,19.467
332,13.844
333,38.668
334,18.522
335,30.292
336,21.253
337,29.747
338,25.083
339,24.923
340,36.691
341,46.112
342,32.643
343,22.275
344,31.021
345,19.811
346,29.036
347,49.830
348,28.189
349,26.357
350,37.692
351,16.013
352,21.093
353,25.366
354,25.678
355,28.400
356,24.365
357,44.280
358,45.036
359,49.652
360,43.312
361,33.444
362,34.124
363,29.942
364,44.720
365,68.627
366,55.594
367,35.585
368,48.452
369,35.159
370,34.410
371,46.836
372,38.034
373,34.775
374,20.840
375,37.859
376,19.443
377,23.574
378,30.163
379,48.624
380,25.266
381,14.677
382,38.674
383,17.169
384,14.197
385,34.413
386,13.788
387,20.257
388,24.824
389,45.627
390,34.918
391,41.821
392,37.441
393,32.867
394,35.863
395,46.534
396,33.886
397,33.798
398,25.481
399,24.189
400,37.402
401,19.222
402,30.743
403,53.517
404,26.800
405,36.630
406,40.912
407,33.736
408,15.796
409,36.848
410,26.296
411,36.063
412,24.629
413,37.904
414,14.714
415,41.905
416,30.874
417,17.612
418,37.566
419,40.570
420,39.424
421,37.711
422,50.778
423,28.656
424,37.732
425,41.768
426,35.814
427,38.856
428,17.658
429,29.423
430,44.743
431,32.551
432,38.601
433,18.439
434,17.472
435,24.339
436,34.895
437,39.570
438,43.178
439,38.677
440,23.743
441,38.483
442,21.037
443,41.639
444,35.675
445,26.052
446,35.156
447,50.894
448,27.862
449,14.858
450,24.862
451,29.143
452,41.236
453,16.422
454,38.305
455,41.600
456,13.723
457,15.808
458,13.585
459,25.453
460,35.749
461,33.765
462,19.264
463,30.192
464,12.808
465,31.945
466,15.001
467,32.570
468,32.827
469,31.708
470,14.587
471,34.000
472,40.412
473,46.626
474,27.445
475,33.243
476,25.164
477,34.210
478,15.503
479,53.103
480,36.556
481,23.474
482,20.748
483,16.326
484,27.529
485,15.245
486,18.695
487,48.794
488,13.383
489,15.200
490,31.531
491,38.314
492,38.231
493,36.567
494,38.385
495,23.735
496,33.811
497,48.884
498,12.643
499,58.055
500,41.582
501,30.953
502,28.960
503,36.722
504,14.505
505,36.067
506,19.831
507,18.032
508,28.242
509,17.970
510,15.328
511,47.068
512,35.661
513,17.624
514,34.779
515,32.541
516,47.732
517,33.516
518,35.548
519,28.209
520,34.001
521,44.930
522,32.301
523,49.640
524,13.571
525,15.737
526,14.228
527,30.214
528,19.534
529,15.675
530,13.155
531,27.770
532,16.670
533,14.631
534,40.901
535,31.514
536,48.756
537,28.831
538,38.562
539,24.698
540,22.846
541,37.054
542,16.796
543,15.971
544,30.361
545,29.475
546,40.279
547,15.081
548,47.629
549,35.492
550,39.713
551,38.830
552,32.763
553,29.994
554,53.569
555,14.114
556,20.257
557,50.872
558,27.805
559,39.121
560,19.176
561,29.751
562,46.767
563,40.143
564,30.416
565,45.154
566,12.437
567,40.429
568,35.235
569,31.477
570,22.303
571,26.076
572,14.687
573,29.298
574,37.560
575,50.407
576,13.873
577,16.505
578,30.721
579,50.608
580,28.439
581,30.016
582,20.728
583,19.240
584,27.305
585,26.680
586,35.363
587,25.876
588,18.728
589,27.921
590,24.838
591,16.734
592,19.467
593,41.911
594,34.801
595,15.324
596,47.200
597,25.773
598,28.354
599,36.708
600,13.428
601,32.768
602,38.298
603,22.896
604,42.445
605,36.795
606,38.652
607,38.791
608,33.365
609,32.234
610,48.283
611,34.858
612,34.257
613,40.481
614,17.862
615,14.154
616,39.157
617,23.511
618,15.312
619,29.083
620,15.665
621,30.705
622,31.430
623,33.012
624,16.531
625,24.886
626,30.852
627,37.656
628,22.972
629,19.819
630,27.627
631,25.853
632,37.519
633,48.622
634,21.900
635,20.202
636,44.165
637,20.371
638,31.060
639,27.614
640,38.651
641,19.568
642,23.459
643,22.607
644,13.887
645,43.274
646,33.392
647,39.838
648,40.705
649,17.121
650,22.956
651,15.248
652,37.923
653,37.451
654,40.358
655,43.137
656,20.449
657,14.058
658,46.704
659,28.365
660,37.510
661,43.653
662,36.408
663,39.670
664,18.444
665,29.309
666,53.296
667,22.697
668,53.902
669,39.827
670,25.216
671,34.848
672,35.138
673,16.103
674,16.769
675,25.730
676,24.723
677,23.756
678,24.504
679,39.229
680,40.248
681,35.766
682,43.160
683,42.847
684,31.021
685,51.717
686,14.184
687,35.331
688,27.470
689,34.729
690,35.715
691,23.560
692,25.309
693,15.610
694,32.032
695,28.258
696,14.381
697,35.582
698,30.344
699,14.882
700,28.710
701,20.350
702,29.309
703,27.874
704,33.289
705,35.596
706,23.408
707,44.318
708,38.784
709,35.631
710,16.894
711,45.468
712,24.540
713,29.400
714,18.381
715,16.018
716,14.837
717,34.634
718,23.803
719,14.123
720,38.776
721,18.993
722,24.477
723,34.223
724,29.300
725,23.396
726,41.449
727,36.963
728,26.737
729,32.487
730,37.760
731,20.464
732,28.455
733,14.299
734,32.985
735,38.072
736,15.639
737,44.767
738,37.635
739,27.139
740,37.470
741,48.824
742,12.718
743,22.588
744,29.764
745,20.409
746,38.989
747,16.307
748,25.612
749,32.004
750,28.063
751,13.215
752,30.405
753,14.350
754,56.704
755,32.007
756,21.136
757,43.259
758,15.210
759,21.853
760,27.482
761,25.600
762,55.846
763,38.416
764,14.654
765,36.391
766,15.812
767,46.616
768,35.336
769,40.018
770,40.481
771,54.712
772,22.625
773,40.945
774,38.991
775,24.613
776,21.427
777,37.110
778,38.934
779,38.677
780,49.199
781,14.840
782,16.492
783,28.169
784,44.717
785,32.641
786,39.270
787,40.249
788,36.109
789,44.352
790,25.678
791,25.889
792,13.186
793,45.667
794,18.634
795,14.227
796,15.083
797,54.703
798,35.413
799,42.648
800,14.510
801,16.458
802,23.657
803,18.747
804,34.724
805,24.500
806,17.979
807,14.940
808,30.361
809,32.317
810,51.143
811,32.764
812,36.034
813,37.859
814,14.323
815,30.821
816,41.832
817,37.568
818,25.159
819,38.293
820,43.579
821,21.949
822,36.855
823,41.230
824,39.380
825,37.452
826,24.602
827,50.875
828,28.389
829,35.806
830,38.012
831,40.055
832,28.911
833,15.760
834,16.058
835,49.197
836,17.009
837,30.028
838,41.577
839,39.589
840,31.146
841,33.606
842,35.774
843,22.781
844,37.554
845,45.808
846,34.933
847,44.068
848,32.619
849,35.873
850,21.298
851,17.674
852,15.513
853,14.939
854,25.420
855,35.045
856,50.910
857,20.088
858,45.144
859,32.928
860,34.204
861,40.581
862,37.009
863,28.825
864,36.345
865,51.096
866,13.512
867,33.711
868,23.507
869,40.940
870,23.857
871,25.083
872,38.996
873,45.431
874,20.040
875,31.177
876,21.862
877,30.668
878,15.759
879,39.704
880,28.753
881,24.854
882,38.785
883,38.991
884,28.710
885,35.729
886,35.098
887,22.841
888,26.620
889,13.842
890,32.842
891,39.980
892,49.970
893,32.013
894,23.334
895,21.130
896,29.960
897,20.896
898,28.790
899,44.983
900,53.665
901,18.850
902,20.545
903,27.978
904,36.915
905,52.730
906,26.019
907,49.942
908,15.604
909,29.314
910,34.510
911,29.688
912,22.460
913,26.465
914,36.637
915,48.695
916,13.195
917,40.105
918,24.600
919,13.027
920,21.152
921,44.058
922,29.926
923,36.417
924,42.802
925,39.618
926,39.270
927,15.940
928,15.492
929,23.944
930,17.684
931,37.162
932,28.388
933,35.801
934,16.823
935,35.463
936,39.701
937,32.302
938,31.543
939,25.873
940,37.590
941,39.814
942,39.964
943,23.725
944,48.145
945,34.144
946,15.867
947,37.883
948,22.773
949,28.969
950,31.154
951,17.234
952,38.576
953,42.124
954,12.719
955,32.989
956,20.451
957,28.525
958,14.982
959,32.446
960,40.549
961,45.668
962,32.205
963,46.955
964,14.290
965,42.864
966,37.643
967,23.278
968,22.604
969,20.742
970,13.850
971,20.613
972,27.522
973,23.333
974,17.447
975,17.981
976,35.253
977,16.056
978,31.647
979,17.049
980,39.700
981,41.831
982,33.423
983,24.131
984,40.577
985,37.618
986,40.529
987,40.968
988,38.296
989,38.917
990,49.822
991,20.191
992,31.778
993,21.949
994,30.784
995,36.306
996,33.024
997,16.855
998,29.406
999,43.811
1000,15.506
1001,32.938
1002,35.397
1003,88.190
1004,57.730
1005,19.612
1006,23.002
1007,39.636
1008,25.760
1009,51.725
1010,14.820
1011,15.687
1012,52.242
1013,32.962
1014,34.455
1015,22.158
1016,27.490
1017,52.030
1018,26.445
