Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.5632,18.5632,4.55035,84.469,85.0695,24.2412,4.55035,0.252061
0.319,14.5859,14.5859,4.95417,72.2612,85.0695,24.2108,4.95417,0.416667
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.5418,16.5418,4.90836,81.1931,85.0695,24.2338,4.90836,0.33665
0.464,12.1477,12.1477,4.96807,60.3506,85.0695,24.1799,4.96807,0.516538
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,18.2729,18.2729,4.65132,84.993,85.0695,24.2428,4.65132,0.264484
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,17.953,17.953,4.73566,85.0192,85.0695,24.2432,4.73566,0.27802
0.609,15.4074,15.4074,4.94724,76.2241,85.0695,24.2209,4.94724,0.383462
0.638,19.4477,19.4477,4.04264,78.6199,85.0695,24.2243,4.04264,0.213037
0.667,17.3004,17.3004,4.84501,83.8205,85.0695,24.2404,4.84501,0.305288
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,19.133,19.133,4.26347,81.5731,85.0695,24.2327,4.26347,0.22716
