# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.731,9.704,53.243,48.805,172
sample_index,rtt_ms
0,27.325
1,37.465
2,23.333
3,14.264
4,34.329
5,19.969
6,35.104
7,27.434
8,20.424
9,21.525
10,28.975
11,28.465
12,35.794
13,15.626
14,14.382
15,20.694
16,18.356
17,18.799
18,21.043
19,28.048
20,14.081
21,20.599
22,15.854
23,16.778
24,24.950
25,34.525
26,16.527
27,29.829
28,18.617
29,20.592
30,38.188
31,47.059
32,21.979
33,15.618
34,26.490
35,17.775
36,18.908
37,17.650
38,16.797
39,26.785
40,39.496
41,16.251
42,33.808
43,16.616
44,33.938
45,13.050
46,16.412
47,29.865
48,42.053
49,14.481
50,29.711
51,20.020
52,23.855
53,21.140
54,26.993
55,18.850
56,19.728
57,19.114
58,14.559
59,23.920
60,16.847
61,18.943
62,20.760
63,47.140
64,18.852
65,16.863
66,15.819
67,17.898
68,32.352
69,36.796
70,19.372
71,27.822
72,40.811
73,16.656
74,16.742
75,24.024
76,18.041
77,44.256
78,42.885
79,19.037
80,44.922
81,27.838
82,17.839
83,18.017
84,37.859
85,25.891
86,17.044
87,20.148
88,14.359
89,36.277
90,22.792
91,16.301
92,19.806
93,53.243
94,14.582
95,15.010
96,27.668
97,18.327
98,13.926
99,16.265
100,47.925
101,20.521
102,15.252
103,24.648
104,22.163
105,28.339
106,14.390
107,24.341
108,22.804
109,21.599
110,15.191
111,28.888
112,16.467
113,15.635
114,15.683
115,29.130
116,38.386
117,16.938
118,36.054
119,20.195
120,38.539
121,22.676
122,29.232
123,19.134
124,18.229
125,41.912
126,31.254
127,13.670
128,39.227
129,15.368
130,38.698
131,14.784
132,44.124
133,18.424
134,14.998
135,15.510
136,25.088
137,17.665
138,18.729
139,48.261
140,25.428
141,37.955
142,20.845
143,17.776
144,16.012
145,15.112
146,21.484
147,16.131
148,35.054
149,15.762
150,32.683
151,16.458
152,31.208
153,37.874
154,50.132
155,48.263
156,20.630
157,16.363
158,39.368
159,17.585
160,38.981
161,26.214
162,14.497
163,33.748
164,13.411
165,33.512
166,18.436
167,30.552
168,17.233
169,36.876
170,28.381
171,14.865
