Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.0472,20.0472,3.54239,71.0151,85.0695,24.2434,3.54239,0.285329
0.0018,19.0241,19.0241,4.36013,82.9475,85.0695,24.297,4.36013,0.266667
0.002,18.335,18.335,4.60523,84.4371,85.0695,24.317,4.60523,0.266667
0.0022,13.1015,13.1015,5,65.5076,85.0695,24.3721,5.50644,0.416667
0.0024,18.3844,18.3844,3.67669,67.5937,85.0695,24.2525,3.67669,0.300046
0.0026,19.8462,19.8462,3.63951,72.2305,85.0695,24.2505,3.63951,0.200139
0.0028,18.9594,18.9594,4.39257,83.2804,85.0695,24.3008,4.39257,0.266667
0.003,16.2186,16.2186,5,81.0929,85.0695,24.3486,5.17727,0.341667
0.0032,18.3208,18.3208,4.23408,77.5719,85.0695,24.2882,4.23408,0.266667
0.0034,19.7913,19.7913,3.65178,72.2734,85.0695,24.2513,3.65178,0.17797
0.0036,19.5637,19.5637,3.91417,76.5755,85.0695,24.2688,3.91417,0.219865
0.0038,18.7215,18.7215,4.50041,84.2547,85.0695,24.3036,4.50041,0.266667
0.004,19.4605,19.4605,3.92236,76.331,85.0695,24.2682,3.92236,0.191667
0.0042,19.741,19.741,3.71837,73.4046,85.0695,24.2554,3.71837,0.191667
0.0044,17.6724,17.6724,5,88.3621,85.0695,24.3437,5.01616,0.32797
0.0046,17.4398,17.4398,4.59011,80.0504,85.0695,24.3159,4.59011,0.283226
0.0048,18.4546,18.4546,4.52134,83.4397,85.0695,24.3111,4.52134,0.266667
0.005,18.4957,18.4957,4.50368,83.2988,85.0695,24.3102,4.50368,0.255731
0.0052,18.6147,18.6147,4.45378,82.9058,85.0695,24.3069,4.45378,0.249707
