Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,7.77339,7.77339,4.98059,38.7161,85.0695,24.1233,4.98059,0.696862
0.203,14.5924,14.5924,4.96141,72.3988,85.0695,24.2111,4.96141,0.416667
0.232,17.3102,17.3102,4.84383,83.8476,85.0695,24.2405,4.84383,0.304881
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.319,10.556,10.556,4.97465,52.5125,85.0695,24.1591,4.97465,0.583155
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,20.1037,20.1037,3.40981,68.55,85.0695,24.1958,3.40981,0.18251
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4289,16.4289,4.91686,80.7787,85.0695,24.2326,4.91686,0.341667
0.464,14.184,14.184,4.96177,70.3776,85.0695,24.2059,4.96177,0.433155
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,17.9147,17.9147,4.74416,84.9902,85.0695,24.2431,4.74416,0.279631
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,18.117,18.117,4.69555,85.0693,85.0695,24.2432,4.69555,0.271098
0.609,17.8308,17.8308,4.76173,84.9055,85.0695,24.243,4.76173,0.283155
0.638,19.451,19.451,4.04003,78.5827,85.0695,24.2242,4.04003,0.212886
0.667,16.7991,16.7991,4.89203,82.1817,85.0695,24.2363,4.89203,0.326038
0.696,18.1013,18.1013,4.69967,85.07,85.0695,24.2432,4.69967,0.271763
0.725,18.9371,18.9371,4.37723,82.8919,85.0695,24.2365,4.37723,0.235813
