# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.467,12.570,1028.082,54.055,25000
sample_index,rtt_ms
0,43.796
1,22.007
2,30.944
3,14.937
4,14.751
5,48.196
6,19.604
7,27.885
8,37.240
9,18.797
10,28.842
11,40.470
12,35.035
13,45.007
14,30.996
15,27.618
16,36.072
17,39.119
18,40.060
19,18.802
20,12.805
21,38.168
22,39.733
23,16.604
24,25.388
25,37.379
26,16.822
27,49.350
28,12.340
29,45.815
30,36.167
31,43.505
32,33.099
33,27.451
34,41.530
35,15.664
36,12.525
37,42.412
38,30.972
39,36.207
40,13.220
41,35.001
42,37.185
43,27.912
44,13.067
45,37.370
46,40.007
47,34.699
48,27.800
49,38.168
50,22.611
51,36.788
52,34.828
53,38.272
54,15.364
55,56.760
56,13.893
57,40.888
58,37.074
59,22.698
60,25.047
61,36.755
62,23.135
63,20.580
64,25.292
65,26.334
66,38.292
67,16.241
68,41.123
69,32.377
70,48.243
71,30.420
72,39.098
73,21.732
74,16.165
75,12.840
76,15.002
77,50.095
78,12.507
79,17.539
80,34.455
81,35.500
82,40.893
83,38.170
84,38.923
85,37.589
86,25.013
87,24.651
88,58.179
89,50.387
90,38.248
91,37.145
92,23.011
93,43.330
94,18.192
95,39.013
96,24.579
97,37.448
98,22.733
99,18.068
100,20.026
101,12.509
102,15.392
103,51.814
104,24.463
105,23.326
106,36.368
107,15.995
108,25.422
109,32.257
110,24.517
111,25.268
112,36.623
113,22.893
114,19.370
115,18.004
116,32.506
117,35.989
118,37.270
119,38.121
120,24.642
121,13.773
122,37.052
123,42.614
124,13.982
125,28.302
126,35.429
127,42.661
128,31.791
129,47.333
130,28.964
131,40.506
132,20.970
133,43.094
134,15.775
135,47.888
136,14.750
137,42.724
138,27.285
139,13.612
140,30.691
141,30.428
142,35.405
143,51.983
144,40.623
145,20.036
146,40.291
147,34.577
148,29.311
149,40.742
150,38.582
151,14.187
152,14.739
153,27.510
154,37.661
155,21.368
156,30.171
157,37.693
158,55.021
159,14.770
160,37.061
161,13.868
162,40.174
163,38.634
164,31.822
165,13.693
166,49.200
167,22.436
168,37.462
169,24.169
170,22.611
171,24.622
172,40.207
173,18.388
174,26.727
175,26.423
176,25.146
177,36.544
178,28.290
179,33.698
180,31.132
181,13.292
182,41.323
183,31.398
184,16.851
185,50.478
186,35.906
187,28.423
188,17.035
189,14.032
190,17.717
191,42.970
192,13.704
193,43.002
194,27.397
195,16.390
196,35.277
197,14.764
198,26.509
199,14.480
200,33.662
201,16.108
202,12.855
203,36.662
204,38.319
205,42.463
206,14.137
207,28.397
208,40.269
209,24.984
210,16.748
211,26.562
212,13.034
213,35.845
214,38.682
215,26.845
216,21.397
217,26.379
218,26.696
219,47.745
220,14.020
221,35.256
222,30.940
223,33.045
224,13.270
225,38.166
226,35.651
227,24.815
228,21.595
229,34.937
230,43.867
231,34.345
232,47.473
233,20.206
234,13.738
235,28.528
236,45.015
237,37.571
238,27.643
239,19.064
240,34.938
241,38.340
242,42.699
243,23.770
244,20.481
245,15.731
246,38.377
247,28.749
248,30.136
249,46.043
250,35.481
251,52.898
252,14.753
253,40.670
254,29.700
255,51.286
256,28.141
257,12.902
258,39.826
259,13.059
260,14.817
261,39.031
262,18.606
263,18.862
264,13.663
265,39.304
266,38.851
267,48.218
268,29.839
269,35.876
270,42.909
271,18.612
272,41.066
273,35.112
274,32.038
275,31.593
276,19.323
277,26.471
278,29.787
279,23.478
280,24.644
281,37.199
282,16.574
283,49.448
284,13.973
285,16.372
286,43.322
287,33.267
288,37.705
289,39.572
290,14.418
291,48.670
292,24.017
293,43.066
294,37.669
295,43.319
296,34.297
297,23.757
298,28.728
299,35.563
300,43.818
301,33.225
302,46.609
303,32.156
304,63.518
305,33.404
306,38.162
307,34.041
308,50.178
309,28.776
310,24.010
311,39.382
312,39.556
313,37.762
314,26.510
315,36.428
316,25.573
317,43.885
318,40.917
319,35.059
320,50.419
321,42.108
322,45.014
323,85.120
324,32.282
325,23.426
326,42.504
327,13.754
328,30.439
329,40.078
330,16.825
331,30.675
332,25.525
333,34.961
334,34.284
335,26.805
336,26.621
337,22.445
338,37.653
339,25.972
340,35.685
341,15.048
342,16.776
343,38.730
344,26.561
345,35.214
346,42.794
347,37.448
348,41.673
349,15.730
350,29.523
351,21.362
352,17.698
353,33.520
354,25.509
355,35.683
356,44.545
357,16.832
358,42.674
359,35.110
360,14.714
361,12.887
362,37.662
363,29.672
364,34.756
365,42.667
366,36.613
367,36.493
368,16.907
369,13.603
370,34.191
371,17.443
372,34.647
373,55.957
374,35.166
375,40.776
376,36.676
377,29.359
378,16.574
379,26.353
380,29.845
381,24.011
382,14.637
383,41.042
384,14.274
385,39.802
386,27.634
387,37.065
388,51.561
389,36.441
390,23.487
391,20.136
392,26.979
393,13.710
394,32.212
395,24.312
396,14.539
397,40.556
398,28.440
399,14.345
400,34.199
401,18.795
402,28.680
403,38.291
404,16.842
405,36.784
406,23.998
407,15.642
408,37.529
409,43.940
410,13.616
411,15.565
412,39.160
413,13.929
414,13.516
415,14.458
416,23.016
417,15.874
418,13.616
419,13.471
420,44.931
421,37.385
422,29.064
423,32.463
424,25.106
425,40.409
426,36.701
427,29.723
428,34.260
429,24.068
430,40.711
431,36.518
432,29.394
433,36.929
434,14.230
435,28.975
436,23.719
437,38.593
438,37.422
439,38.926
440,20.970
441,31.849
442,40.696
443,19.411
444,37.537
445,42.835
446,14.710
447,13.852
448,46.674
449,31.722
450,43.099
451,41.053
452,48.768
453,28.868
454,36.653
455,24.282
456,37.857
457,24.332
458,20.975
459,41.742
460,36.859
461,25.324
462,25.613
463,36.569
464,19.161
465,33.759
466,34.417
467,14.475
468,13.646
469,36.404
470,31.783
471,14.664
472,26.404
473,12.407
474,36.407
475,39.782
476,21.585
477,24.727
478,24.752
479,48.955
480,45.254
481,35.451
482,25.267
483,21.656
484,40.026
485,40.099
486,24.739
487,16.818
488,38.533
489,30.904
490,48.328
491,12.922
492,13.398
493,12.719
494,30.880
495,18.667
496,32.905
497,22.579
498,19.874
499,16.066
500,30.079
501,25.877
502,34.493
503,20.709
504,17.175
505,15.532
506,34.001
507,35.784
508,16.983
509,25.456
510,17.241
511,15.868
512,28.132
513,16.441
514,31.550
515,12.689
516,32.833
517,36.635
518,36.442
519,38.603
520,16.035
521,19.571
522,36.703
523,45.782
524,33.532
525,48.191
526,29.757
527,13.744
528,40.871
529,32.495
530,49.447
531,31.366
532,35.610
533,21.469
534,17.651
535,28.593
536,39.019
537,35.647
538,33.217
539,30.655
540,22.312
541,33.661
542,31.728
543,15.278
544,32.729
545,37.279
546,23.682
547,24.821
548,35.191
549,42.772
550,13.874
551,27.475
552,32.864
553,12.847
554,26.667
555,14.656
556,44.031
557,35.245
558,36.928
559,16.533
560,15.687
561,36.172
562,23.675
563,30.714
564,27.277
