Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,18.4148,18.4148,4.59099,84.5421,85.0695,24.3144,4.59099,0.266667
0.0022,13.0866,13.0866,5,65.4329,85.0695,24.3719,5.52772,0.416667
0.0024,13.6802,13.6802,4.18642,57.2711,85.0695,24.2817,4.18642,0.421805
0.0026,20.2573,20.2573,3.18853,64.5911,85.0695,24.219,3.18853,0.191667
0.0028,19.2893,19.2893,4.19875,80.9909,85.0695,24.2867,4.19875,0.266667
0.003,16.5314,16.5314,5,82.6571,85.0695,24.3543,5.19296,0.341667
0.0032,18.1514,18.1514,4.27822,77.6557,85.0695,24.293,4.27822,0.266667
0.0034,18.4714,18.4714,4.58431,84.6787,85.0695,24.3107,4.58431,0.271805
0.0036,16.9146,16.9146,4.95028,83.732,85.0695,24.3354,4.95028,0.314002
0.0038,18.2945,18.2945,4.4182,80.8285,85.0695,24.3006,4.4182,0.266667
0.004,19.2844,19.2844,4.07566,78.5967,85.0695,24.2786,4.07566,0.212799
0.0042,19.6612,19.6612,3.78609,74.4392,85.0695,24.2603,3.78609,0.191667
0.0044,19.8023,19.8023,3.66844,72.6434,85.0695,24.2532,3.66844,0.191995
0.0046,16.9224,16.9224,5,84.6122,85.0695,24.3599,5.27314,0.359594
0.0048,17.8485,17.8485,4.29811,76.7148,85.0695,24.296,4.29811,0.266667
0.005,19.823,19.823,3.61995,71.7585,85.0695,24.2501,3.61995,0.176276
0.0052,18.6905,18.6905,4.5623,85.2718,85.0695,24.3135,4.5623,0.284268
