# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 27.196,11.508,107.799,56.475,10000
sample_index,rtt_ms
0,28.873
1,34.769
2,27.163
3,14.708
4,14.011
5,33.779
6,42.801
7,34.253
8,39.933
9,20.166
10,25.010
11,13.178
12,38.707
13,15.472
14,28.711
15,24.505
16,48.740
17,34.894
18,20.621
19,35.990
20,27.106
21,18.092
22,37.713
23,22.584
24,25.131
25,13.582
26,26.593
27,31.504
28,13.322
29,39.692
30,13.085
31,23.128
32,12.648
33,26.560
34,20.066
35,16.317
36,38.695
37,16.196
38,15.818
39,15.747
40,27.096
41,34.729
42,47.051
43,18.846
44,16.128
45,12.448
46,28.460
47,34.754
48,14.149
49,20.167
50,14.850
51,21.608
52,12.899
53,36.520
54,39.113
55,39.392
56,13.465
57,18.656
58,42.399
59,18.752
60,14.430
61,12.431
62,31.633
63,22.057
64,35.182
65,24.590
66,19.078
67,14.789
68,27.758
69,12.260
70,15.407
71,12.882
72,25.720
73,15.567
74,13.649
75,13.222
76,34.787
77,17.899
78,25.016
79,26.323
80,12.661
81,17.947
82,50.917
83,14.179
84,13.395
85,26.494
86,39.113
87,26.047
88,74.804
89,12.567
90,25.883
91,34.463
92,13.083
93,19.770
94,13.333
95,15.854
96,13.510
97,28.247
98,13.388
99,20.087
100,48.813
101,16.954
102,16.050
103,16.420
104,51.949
105,33.171
106,39.972
107,16.864
108,13.998
109,27.150
110,17.911
111,39.315
112,36.889
113,38.091
114,24.456
115,26.568
116,37.109
117,23.305
118,23.735
119,40.479
120,19.229
121,37.095
122,17.350
123,23.348
124,23.528
125,16.078
126,35.005
127,17.000
128,30.904
129,40.202
130,17.247
131,13.735
132,25.411
133,14.941
134,16.037
135,12.939
136,66.527
137,32.284
138,27.250
139,20.199
140,12.478
141,13.879
142,46.296
143,38.859
144,36.125
145,42.635
146,33.025
147,18.206
148,18.132
149,34.595
150,18.273
151,20.200
152,14.139
153,29.570
154,19.868
155,43.590
156,24.981
157,16.496
158,12.070
159,26.956
160,12.978
161,33.161
162,33.924
163,39.052
164,30.105
165,13.972
166,25.460
167,36.858
168,42.870
169,13.173
170,19.471
171,15.325
172,22.006
173,12.170
174,18.458
175,12.442
176,30.156
177,28.409
178,13.290
179,36.014
180,38.420
181,24.568
182,41.074
183,48.897
184,30.426
185,13.589
186,13.535
187,26.115
188,17.687
189,12.418
190,34.211
191,37.310
192,13.232
193,12.174
194,19.680
195,20.658
196,40.222
197,20.192
198,24.830
199,15.311
200,27.128
201,37.620
202,17.693
203,26.497
204,16.838
205,13.378
206,14.985
207,20.531
208,22.323
209,13.188
210,20.237
211,37.071
212,26.389
213,25.736
214,32.090
215,48.591
216,14.509
217,15.100
218,12.880
219,34.399
220,19.442
221,13.753
222,26.857
223,36.078
224,31.949
225,39.306
226,15.837
227,13.185
228,22.832
229,19.436
230,37.343
231,24.798
232,21.139
233,12.867
234,24.000
235,12.336
236,17.171
237,14.064
238,22.254
239,13.827
240,14.212
241,48.789
242,31.180
243,36.307
244,22.997
245,26.783
246,50.404
247,31.865
248,19.548
249,13.574
250,20.452
251,36.132
252,14.249
253,26.142
254,43.798
255,30.773
256,35.704
257,13.939
258,30.034
259,27.163
260,47.137
261,12.477
262,38.603
263,13.812
264,40.577
265,31.860
266,22.188
267,15.076
268,17.492
269,44.410
270,18.711
271,17.916
272,15.702
273,15.808
274,19.595
275,27.979
276,35.966
277,15.006
278,12.773
279,27.850
280,37.955
281,17.222
282,20.609
283,12.987
284,20.357
285,12.577
286,25.223
287,42.987
288,42.038
289,13.113
290,35.804
291,12.636
292,19.695
293,15.676
294,30.008
295,21.500
296,31.552
297,34.522
298,22.888
299,19.649
300,14.777
301,12.658
302,25.401
303,25.760
304,13.944
305,12.544
306,23.286
307,15.189
308,12.832
309,14.684
310,24.411
311,26.539
312,22.287
313,41.146
314,38.278
315,23.912
316,13.062
317,30.159
318,34.179
319,29.929
320,22.015
321,25.144
322,21.887
323,19.541
324,21.754
325,22.535
326,21.903
327,15.517
328,13.773
329,30.322
330,25.080
331,38.368
332,20.606
333,24.291
334,39.527
335,24.204
336,14.104
337,15.260
338,44.721
339,13.159
340,13.024
341,28.354
342,26.809
343,12.547
344,27.103
345,12.646
346,16.242
347,50.857
348,29.302
349,15.814
350,39.079
351,18.246
352,15.036
353,12.968
354,25.030
355,35.646
356,13.224
357,22.037
358,14.806
359,14.302
360,14.504
361,28.830
362,14.883
363,16.983
364,48.425
365,28.653
366,24.384
367,36.482
368,18.229
369,16.853
370,13.411
371,24.614
372,19.587
373,14.875
374,25.015
375,37.496
376,19.201
377,26.654
378,19.447
379,15.703
380,20.181
381,31.751
382,12.697
383,15.760
384,22.536
385,24.166
386,26.303
387,24.502
388,17.253
389,12.159
390,12.630
391,24.810
392,30.272
393,22.400
394,27.704
395,38.419
396,31.295
397,34.465
398,32.426
399,19.500
400,28.157
401,56.369
402,25.426
403,34.274
404,44.665
405,17.924
406,36.358
407,40.456
408,28.086
409,15.595
410,14.641
411,40.106
412,13.226
413,16.133
414,16.725
415,23.741
416,13.522
417,29.657
418,12.742
419,25.052
420,17.102
421,21.471
422,12.630
423,22.176
424,19.419
425,25.699
426,26.968
427,39.172
428,16.797
429,40.732
430,20.686
431,13.749
432,30.007
433,21.027
434,14.898
435,26.871
436,13.759
437,16.166
438,13.799
439,28.283
440,37.369
441,43.049
442,27.308
443,15.263
444,12.976
445,22.901
446,20.133
447,26.374
448,26.733
449,34.515
450,49.077
451,16.113
452,13.779
453,14.411
454,57.737
455,13.138
456,14.652
457,35.369
458,40.807
459,38.212
460,19.374
461,26.101
462,13.728
463,19.076
464,17.517
465,24.529
466,26.894
467,12.374
468,26.716
469,14.006
470,18.471
471,47.949
472,19.394
473,35.432
474,28.043
475,30.049
476,47.855
477,26.906
478,38.765
479,20.729
480,43.116
481,35.401
482,21.463
483,39.155
484,22.762
485,19.206
486,27.431
487,35.803
488,19.608
489,14.453
490,24.876
491,13.796
492,17.841
493,30.724
494,43.510
495,15.732
496,12.763
497,22.434
498,21.460
499,13.887
500,26.563
501,23.316
502,17.363
503,39.015
504,14.763
505,15.537
506,14.120
507,31.596
508,17.199
509,16.693
510,39.372
511,12.608
512,16.873
513,14.751
514,24.595
515,34.556
516,35.476
517,23.759
518,37.685
519,14.656
520,20.954
521,17.794
522,19.117
523,28.659
524,21.656
525,15.585
526,13.106
527,24.592
528,36.972
529,14.218
530,29.790
531,41.936
532,14.670
533,16.763
534,24.767
535,13.201
536,35.170
537,23.351
538,12.556
539,12.279
540,19.714
541,27.165
542,12.606
543,29.705
544,15.719
545,14.319
546,27.080
547,19.401
548,16.916
549,31.488
550,44.177
551,14.168
552,26.874
553,23.745
554,37.116
555,42.563
556,34.101
557,20.242
558,25.384
559,32.384
560,13.233
561,27.513
562,13.604
563,13.968
564,43.730
565,14.640
566,16.447
567,13.071
568,24.023
569,12.583
570,15.995
571,12.408
572,31.812
573,14.044
574,36.767
575,23.160
576,15.618
577,15.738
578,18.306
579,22.823
580,12.458
581,16.850
582,12.757
583,36.271
584,17.484
585,32.965
586,23.848
587,13.857
588,30.019
589,40.488
590,23.416
591,23.326
592,30.633
593,32.179
594,24.674
595,36.947
596,26.506
597,43.609
598,33.710
599,45.471
600,33.159
601,17.647
602,12.343
603,20.553
604,18.198
605,14.231
606,39.741
607,39.841
608,48.661
609,29.508
610,33.484
611,21.815
612,18.423
613,32.624
614,22.336
615,21.791
616,12.681
617,12.130
618,23.014
619,18.789
620,32.576
621,38.253
622,38.685
623,36.800
624,26.746
625,12.581
626,14.531
627,45.152
628,36.227
629,42.467
630,22.193
631,39.561
632,22.366
633,39.373
634,32.911
635,37.577
636,23.943
637,26.027
638,13.616
639,38.259
640,14.076
641,13.763
642,13.761
643,34.547
644,20.635
645,32.131
646,25.168
647,17.605
648,27.118
649,25.271
650,16.696
651,14.795
652,13.959
653,27.080
654,40.925
655,16.044
656,23.156
657,16.899
658,22.231
659,38.763
660,15.827
661,19.439
662,13.407
663,24.227
664,14.400
665,32.401
666,24.702
667,12.617
668,31.383
669,13.701
670,53.403
671,16.173
672,12.932
673,41.018
674,15.072
675,14.496
676,26.059
677,14.609
678,15.840
679,12.764
680,29.723
681,19.468
682,13.739
683,14.566
684,36.182
685,34.073
686,41.569
687,35.989
688,12.499
689,36.485
690,20.572
691,12.409
692,15.846
693,21.488
694,18.666
695,13.226
696,39.587
697,19.584
698,18.298
699,45.562
700,36.435
701,23.210
702,43.562
703,34.319
704,67.286
705,28.339
706,32.660
707,17.873
