Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,16.4785,16.4785,4.90998,80.909,85.0695,24.2331,4.90998,0.339147
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,20.3529,20.3529,3.10371,63.1697,85.0695,24.1806,3.10371,0.170488
0.319,14.5767,14.5767,4.9477,72.1212,85.0695,24.2105,4.9477,0.416667
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,19.9117,19.9117,3.62063,72.0927,85.0695,24.2058,3.62063,0.19161
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,18.0873,18.0873,4.70329,85.0696,85.0695,24.2432,4.70329,0.272355
0.464,16.2631,16.2631,4.91904,79.9986,85.0695,24.2309,4.91904,0.347659
0.493,19.7241,19.7241,3.80575,75.0651,85.0695,24.2142,3.80575,0.200362
0.522,16.4259,16.4259,4.91224,80.6879,85.0695,24.2324,4.91224,0.34161
0.551,18.2011,18.2011,4.67248,85.0442,85.0695,24.243,4.67248,0.267535
0.58,16.8657,16.8657,4.88707,82.4237,85.0695,24.2369,4.88707,0.323289
0.609,12.6154,12.6154,4.96515,62.6371,85.0695,24.1857,4.96515,0.497659
0.638,17.5872,17.5872,4.80537,84.5132,85.0695,24.2421,4.80537,0.293348
0.667,15.9013,15.9013,4.93382,78.454,85.0695,24.2266,4.93382,0.363544
0.696,18.049,18.049,4.71293,85.0637,85.0695,24.2432,4.71293,0.273971
0.725,18.9512,18.9512,4.3696,82.809,85.0695,24.2363,4.3696,0.235193
