Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,12.2992,12.2992,4.95338,60.9228,85.0695,24.181,4.95338,0.511367
0.232,17.2521,17.2521,4.85064,83.6837,85.0695,24.2401,4.85064,0.307292
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,20.827,20.827,2.42052,50.4123,85.0695,24.1444,2.42052,0.146922
0.319,14.5688,14.5688,4.95215,72.1471,85.0695,24.2107,4.95215,0.416667
0.348,13.9348,13.9348,4.95219,69.008,85.0695,24.202,4.95219,0.444345
0.377,18.8305,18.8305,4.4321,83.4588,85.0695,24.2382,4.4321,0.240475
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,17.5015,17.5015,4.81841,84.3296,85.0695,24.2417,4.81841,0.296922
0.464,10.9483,10.9483,4.97367,54.4535,85.0695,24.1643,4.97367,0.566667
0.493,17.5633,17.5633,4.80912,84.4642,85.0695,24.242,4.80912,0.294345
0.522,16.6785,16.6785,4.90022,81.7281,85.0695,24.2351,4.90022,0.331016
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,16.2748,16.2748,4.92137,80.0941,85.0695,24.231,4.92137,0.347644
0.609,9.52631,9.52631,4.97588,47.4018,85.0695,24.1457,4.97588,0.625592
0.638,19.8351,19.8351,3.69868,73.3636,85.0695,24.2094,3.69868,0.1952
0.667,18.9507,18.9507,4.36987,82.812,85.0695,24.2363,4.36987,0.235215
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,19.0516,19.0516,4.31282,82.1662,85.0695,24.2344,4.31282,0.230767
