# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.710,11.807,131.451,53.540,517
sample_index,rtt_ms
0,28.284
1,33.389
2,21.455
3,18.596
4,18.384
5,27.105
6,42.082
7,20.118
8,15.137
9,26.467
10,30.700
11,37.380
12,25.499
13,17.887
14,16.599
15,21.266
16,29.794
17,20.734
18,35.243
19,14.028
20,38.534
21,16.652
22,23.607
23,26.257
24,17.235
25,34.727
26,42.593
27,19.391
28,40.811
29,15.681
30,40.176
31,36.728
32,22.290
33,15.032
34,14.170
35,13.813
36,16.461
37,29.404
38,16.101
39,19.074
40,14.000
41,26.030
42,14.128
43,20.308
44,16.325
45,12.832
46,29.277
47,21.359
48,19.572
49,14.805
50,27.539
51,16.584
52,17.939
53,18.274
54,29.284
55,21.231
56,15.396
57,43.230
58,14.700
59,21.046
60,20.309
61,24.655
62,14.356
63,19.464
64,20.061
65,14.876
66,27.940
67,15.631
68,22.779
69,12.400
70,37.262
71,25.248
72,18.997
73,15.351
74,29.040
75,18.800
76,15.859
77,49.843
78,20.207
79,15.654
80,15.080
81,31.748
82,15.594
83,36.508
84,13.178
85,25.584
86,20.929
87,12.096
88,19.723
89,15.418
90,41.115
91,13.613
92,14.425
93,73.864
94,35.438
95,53.895
96,18.167
97,15.685
98,23.344
99,17.811
100,15.553
101,16.480
102,16.230
103,42.972
104,34.306
105,25.267
106,22.724
107,13.818
108,13.019
109,24.765
110,19.064
111,18.557
112,17.306
113,13.949
114,26.003
115,15.988
116,33.142
117,14.910
118,37.307
119,14.430
120,16.177
121,22.912
122,15.858
123,19.730
124,34.162
125,46.736
126,18.166
127,35.602
128,45.677
129,16.628
130,14.224
131,15.277
132,27.341
133,32.222
134,16.361
135,24.541
136,30.411
137,41.837
138,26.301
139,23.139
140,27.225
141,35.127
142,19.704
143,21.203
144,12.327
145,14.831
146,28.896
147,21.430
148,41.850
149,26.108
150,18.858
151,18.992
152,50.081
153,14.449
154,34.037
155,40.641
156,15.174
157,19.496
158,20.239
159,29.925
160,18.689
161,20.537
162,15.557
163,28.219
