# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.055,10.977,122.701,53.661,75000
sample_index,rtt_ms
0,15.224
1,16.285
2,12.603
3,40.133
4,30.388
5,17.628
6,28.012
7,37.273
8,47.116
9,22.979
10,30.563
11,29.026
12,36.003
13,14.855
14,31.873
15,15.334
16,13.651
17,42.915
18,29.780
19,23.842
20,40.243
21,47.576
22,55.654
23,26.758
24,41.557
25,33.478
26,40.004
27,18.045
28,12.908
29,47.914
30,30.657
31,53.101
32,22.189
33,66.464
34,17.677
35,13.570
36,14.241
37,47.913
38,35.641
39,40.470
40,13.804
41,31.027
42,42.383
43,38.258
44,40.386
45,36.213
46,12.636
47,21.667
48,16.707
49,32.891
50,37.586
51,17.836
52,13.014
53,35.659
54,29.338
55,28.244
56,48.683
57,23.036
58,14.897
59,21.547
60,32.153
61,22.140
62,45.097
63,17.313
64,14.473
65,43.790
66,14.015
67,39.769
68,20.762
69,33.353
70,22.375
71,35.872
72,13.627
73,35.003
74,20.824
75,30.671
76,32.967
77,18.519
78,12.831
79,42.830
80,15.719
81,13.251
82,47.427
83,19.580
84,32.938
85,36.927
86,39.779
87,17.214
88,37.651
89,29.690
90,44.636
91,49.560
92,25.903
93,35.152
94,48.307
95,44.197
96,43.989
97,32.581
98,26.612
99,38.185
100,39.321
101,29.221
102,33.932
103,13.377
104,26.673
105,28.841
106,22.835
107,26.916
108,13.605
109,16.053
110,34.264
111,42.537
112,13.480
113,45.666
114,19.326
115,32.882
116,23.132
117,20.890
118,38.769
119,23.612
120,20.327
121,17.598
122,24.503
123,35.786
124,50.365
125,28.543
126,13.298
127,42.265
128,20.909
129,32.888
130,35.954
131,25.553
132,55.019
133,16.326
134,30.901
135,28.410
136,18.811
137,13.810
138,31.136
139,31.369
140,27.645
141,22.780
142,17.415
143,40.894
144,26.866
145,21.283
146,34.035
147,42.647
148,35.679
149,22.008
150,35.525
151,25.336
152,26.890
153,35.015
154,22.649
155,23.656
156,18.680
157,16.007
158,41.976
159,36.551
160,23.790
161,43.928
162,34.793
163,36.501
164,14.744
165,31.563
166,39.549
167,35.051
168,26.356
169,33.985
170,51.581
171,41.405
172,42.345
173,32.675
174,26.721
175,34.287
176,26.064
177,40.609
178,17.110
179,12.472
180,45.380
181,26.116
182,14.842
183,43.865
184,28.974
185,35.622
186,40.747
187,39.725
188,39.181
189,41.551
190,35.878
191,16.638
192,33.019
193,27.441
194,19.330
195,36.490
196,41.619
197,12.930
198,46.849
199,26.545
200,14.461
201,44.587
202,27.431
203,38.483
204,20.536
205,15.351
206,33.388
207,38.775
208,14.188
209,33.544
210,41.694
211,12.558
212,43.173
213,16.874
214,36.156
215,35.524
216,39.058
217,18.493
218,45.801
219,36.343
220,41.408
221,38.281
222,22.903
223,39.567
224,46.216
225,19.588
226,33.120
227,32.007
228,38.905
229,42.952
230,34.414
231,21.910
232,25.968
233,34.564
234,15.006
235,25.847
236,28.816
237,20.630
238,24.104
239,27.499
240,24.001
241,39.273
242,17.117
243,30.213
244,36.521
245,16.109
246,14.020
247,37.525
248,38.204
249,44.927
250,16.601
251,35.611
252,26.403
253,34.183
254,25.137
255,20.593
256,19.109
257,33.868
258,36.239
259,23.618
260,24.512
261,42.249
262,13.404
263,38.060
264,40.592
265,15.367
266,35.299
267,25.642
268,40.725
269,23.479
270,34.011
271,23.112
272,24.958
273,26.147
274,25.762
275,13.999
276,14.033
277,18.612
278,33.721
279,14.767
280,28.543
281,45.651
282,33.865
283,38.666
284,38.623
285,27.030
286,35.468
287,36.655
288,42.688
289,36.684
290,41.579
291,14.422
292,32.598
293,20.041
294,25.259
295,13.861
296,35.733
297,30.596
298,13.911
299,26.243
300,36.797
301,22.921
302,26.964
303,34.194
304,23.618
305,25.599
306,38.915
307,42.069
308,34.956
309,47.814
310,15.975
311,41.137
312,23.114
313,35.343
314,52.250
315,26.439
316,22.646
317,38.909
318,27.871
319,40.937
320,35.128
321,16.153
322,22.851
323,33.550
324,13.086
325,14.759
326,23.936
327,26.698
328,25.590
329,38.560
330,23.377
331,23.092
332,43.276
333,38.405
334,39.938
335,12.988
336,31.510
337,24.014
338,39.113
339,39.172
340,20.869
341,23.570
342,37.184
343,44.244
344,42.884
345,35.626
346,51.306
347,27.559
348,37.876
349,16.560
350,17.984
351,13.411
352,38.844
353,25.433
354,13.843
355,16.706
356,48.640
357,13.459
358,20.790
359,46.473
360,15.612
361,14.106
362,39.875
363,40.387
364,36.123
365,39.112
366,14.170
367,34.067
368,40.479
369,28.479
370,18.854
371,37.630
372,40.442
373,12.696
374,12.867
375,38.721
376,18.200
377,30.174
378,37.508
379,13.511
380,12.722
381,16.209
382,36.793
383,38.096
384,28.970
385,31.598
386,55.758
387,17.564
388,22.491
389,35.032
390,18.186
391,15.390
392,12.356
393,28.444
394,33.995
395,15.811
396,27.391
397,21.945
398,20.781
399,31.118
400,16.185
401,29.277
402,37.242
403,21.449
404,13.492
405,44.621
406,29.893
407,13.033
408,38.543
409,20.629
410,36.832
411,25.449
412,37.483
413,24.460
414,40.908
415,51.583
416,28.492
417,37.443
418,37.118
419,37.530
420,54.524
421,12.304
422,44.254
423,28.757
424,36.446
425,25.541
426,38.099
427,33.753
428,30.540
429,26.339
430,35.630
431,38.093
432,36.842
433,29.357
434,26.703
435,25.165
436,33.149
437,26.399
438,25.929
439,34.646
440,53.771
441,38.889
442,36.518
443,13.983
444,20.758
445,15.546
446,28.260
447,33.448
448,45.852
449,32.491
450,25.144
451,49.044
452,13.572
453,44.076
454,28.716
455,46.587
456,28.333
457,23.674
458,35.299
459,30.510
460,44.463
461,35.165
462,24.069
463,25.104
464,26.820
465,22.652
466,21.120
467,45.873
468,13.613
469,21.554
470,36.944
471,22.852
472,43.384
473,35.589
474,41.644
475,13.856
476,30.279
477,45.874
478,62.208
479,15.433
480,29.609
481,37.033
482,19.817
483,14.828
484,22.171
485,22.877
486,19.007
487,31.679
488,43.128
489,24.475
490,43.704
491,39.430
492,37.557
493,16.257
494,36.844
495,58.956
496,32.566
497,41.055
498,41.935
499,41.071
500,34.460
501,22.186
502,25.223
503,22.592
504,32.401
505,31.870
506,36.301
507,19.675
508,41.727
509,34.043
510,28.481
511,40.299
512,23.437
513,37.741
514,17.968
515,24.602
516,32.586
517,48.408
518,20.983
519,33.418
520,36.412
521,19.350
522,29.088
523,35.616
524,22.548
525,23.498
526,23.836
527,16.859
528,32.682
529,37.654
530,44.849
531,24.885
532,30.438
533,16.540
534,29.996
535,49.898
536,34.870
537,29.480
538,40.710
539,37.456
540,35.056
541,39.367
542,35.047
543,33.927
544,89.718
545,28.978
546,34.857
547,25.600
548,16.455
549,13.577
550,46.718
551,32.867
552,13.653
553,30.670
554,37.094
555,18.882
556,50.455
557,23.854
558,37.078
559,13.857
560,35.214
561,30.501
562,37.012
563,23.291
564,36.751
565,47.031
566,33.177
567,45.626
568,34.333
569,49.349
570,27.757
571,26.604
572,36.383
573,16.291
574,32.128
575,52.642
576,67.437
577,41.156
578,15.317
579,24.933
580,17.956
581,12.494
582,61.709
583,41.567
584,37.580
585,14.535
586,28.518
587,25.192
588,32.186
589,23.493
590,41.474
591,13.424
592,39.749
593,14.342
594,12.976
595,31.323
596,42.497
597,32.311
598,26.674
599,18.844
600,13.709
601,21.596
602,24.691
603,17.416
604,26.878
605,26.521
606,34.681
607,15.612
608,26.872
609,18.749
610,22.358
611,27.877
612,36.272
613,22.116
614,22.626
615,19.205
616,12.963
617,43.850
618,20.211
619,13.273
620,39.626
621,21.318
622,12.955
623,49.453
624,19.523
625,29.565
626,31.851
627,18.430
628,30.411
629,41.713
630,28.882
631,20.843
632,24.104
633,40.109
634,38.763
635,22.346
636,44.415
637,31.720
638,15.355
639,34.440
640,36.713
641,14.360
642,32.149
643,48.848
644,36.920
645,39.354
646,14.928
647,22.905
648,17.402
649,12.773
650,44.114
651,26.093
652,24.669
653,39.572
654,36.586
655,32.218
656,20.188
657,36.590
658,26.163
659,29.340
660,22.000
661,25.935
662,38.464
663,44.810
664,34.459
665,42.631
666,33.911
667,13.495
668,37.977
669,21.366
670,35.876
671,45.483
672,37.301
673,33.638
674,38.636
675,15.939
676,48.550
677,43.079
678,22.603
679,32.916
680,15.448
681,33.699
682,39.641
683,32.259
684,31.236
685,35.356
686,21.808
687,39.535
688,12.862
689,48.248
690,23.423
691,28.506
692,22.820
693,12.488
694,19.150
695,36.622
696,12.697
697,46.434
698,18.553
699,27.772
700,30.705
701,14.495
702,14.879
703,22.197
704,18.362
705,21.501
706,42.103
707,16.908
708,14.907
709,25.479
710,40.450
711,15.527
712,31.345
713,39.709
714,13.721
715,16.989
716,24.882
717,15.492
718,14.639
719,16.106
720,25.891
721,20.603
722,14.975
723,32.467
724,33.663
725,37.976
726,23.054
727,39.972
728,36.514
729,38.984
730,27.445
731,18.683
732,37.001
733,40.646
734,36.747
735,31.772
736,30.869
737,13.364
738,13.752
739,37.318
740,14.479
741,58.784
742,23.981
743,15.856
744,13.627
745,20.855
746,20.552
747,25.948
748,39.111
749,15.455
750,32.442
751,27.168
752,37.142
753,17.035
754,45.795
755,37.606
756,39.694
757,13.072
758,26.967
759,22.176
760,19.270
761,31.745
762,23.453
763,38.545
764,23.730
765,28.398
766,17.088
767,25.564
768,27.394
769,21.501
770,21.766
771,36.811
772,20.162
773,12.357
774,44.846
775,22.477
776,34.661
777,40.443
778,18.872
779,25.851
780,20.790
781,42.733
782,38.545
783,15.956
784,31.007
785,33.846
786,28.776
787,36.003
788,20.604
789,17.638
790,13.657
791,17.611
792,36.464
793,40.247
794,23.243
795,14.297
796,12.513
797,13.435
798,31.080
799,15.417
800,37.301
801,34.511
802,20.601
803,26.182
804,43.984
805,12.032
806,16.593
807,23.715
808,27.726
809,36.866
810,22.312
811,19.470
812,12.682
813,35.891
814,14.565
815,13.792
816,31.630
817,20.758
818,19.975
819,32.628
820,40.724
821,35.103
822,38.273
823,40.827
824,44.706
825,32.193
826,45.772
827,32.033
828,39.625
829,39.311
830,13.754
831,42.688
832,29.288
833,37.398
834,46.206
835,36.059
836,34.695
837,44.762
838,33.068
839,41.129
840,43.420
841,33.079
842,14.301
843,27.870
844,24.691
845,39.208
846,42.343
847,15.174
848,17.547
849,27.221
850,17.202
851,15.740
852,16.587
853,25.634
854,17.550
855,25.914
856,24.688
857,20.515
858,23.380
859,34.805
860,36.198
861,45.371
862,31.857
863,45.693
864,15.462
865,34.106
866,34.390
867,30.207
868,40.030
869,38.608
870,14.742
871,32.418
872,37.217
873,17.324
874,46.907
875,22.922
876,35.900
877,13.633
878,40.489
879,35.310
880,38.763
881,14.735
882,47.841
883,35.568
884,45.546
885,32.997
886,43.797
887,34.295
888,34.796
889,28.421
890,38.651
891,24.362
892,16.221
893,29.594
894,36.449
895,35.340
896,35.504
897,35.932
898,32.926
899,37.463
900,22.599
901,24.635
902,40.551
903,18.588
904,44.953
905,38.645
906,25.377
907,35.508
908,14.562
909,51.995
910,12.568
911,41.667
912,30.496
913,15.704
914,40.897
915,20.535
916,16.779
917,15.403
918,25.146
919,17.318
920,35.023
921,26.168
922,26.611
923,48.168
924,16.402
925,13.363
926,15.813
927,41.978
928,35.382
929,33.448
930,29.862
931,25.271
932,37.406
933,18.368
934,27.134
935,42.088
936,38.953
937,22.450
938,23.485
939,23.963
940,37.673
941,26.651
942,17.105
943,50.431
944,34.878
945,24.624
946,18.057
947,13.861
948,24.301
949,21.424
950,18.052
951,13.924
952,15.801
953,23.251
954,35.684
955,18.432
956,29.651
957,16.219
958,38.483
959,30.249
960,13.260
961,17.047
962,35.967
963,27.470
964,34.390
965,34.623
966,22.530
967,39.021
968,22.669
969,27.792
970,18.086
971,16.411
972,32.182
973,40.548
974,34.976
975,40.690
976,39.059
977,41.385
978,35.649
979,13.782
980,49.120
981,35.804
982,59.822
983,17.592
984,38.767
985,37.514
986,19.212
987,28.517
988,13.804
989,15.953
990,30.011
991,24.697
992,26.293
993,35.479
