Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,20.8369,20.8369,2.405,50.1127,85.0695,24.1436,2.405,0.146424
0.319,11.4324,11.4324,4.96679,56.7822,85.0695,24.1703,4.96679,0.546886
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,17.5135,17.5135,4.81666,84.3565,85.0695,24.2417,4.81666,0.296424
0.464,15.1062,15.1062,4.94459,74.6941,85.0695,24.2166,4.94459,0.396886
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,17.839,17.839,4.76007,84.915,85.0695,24.243,4.76007,0.28281
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,16.14,16.14,4.92673,79.5176,85.0695,24.2295,4.92673,0.353185
0.609,17.7262,17.7262,4.78175,84.7622,85.0695,24.2427,4.78175,0.28754
0.638,19.9685,19.9685,3.56046,71.0972,85.0695,24.203,3.56046,0.18893
0.667,17.5879,17.5879,4.80527,84.5144,85.0695,24.2421,4.80527,0.293322
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,18.3937,18.3937,4.61245,84.8398,85.0695,24.2423,4.61245,0.259333
