Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,9.82968,9.82968,3.38162,33.2402,85.0695,24.2287,3.38162,0.455714
0.0016,20.3899,20.3899,3.10407,63.2919,85.0695,24.2131,3.10407,0.266667
0.0018,19.3455,19.3455,4.16071,80.4912,85.0695,24.2849,4.16071,0.266667
0.002,18.5002,18.5002,4.56999,84.5457,85.0695,24.3144,4.56999,0.266667
0.0022,13.1507,13.1507,5,65.7536,85.0695,24.3731,5.53675,0.416667
0.0024,11.4883,11.4883,4.42756,50.8653,85.0695,24.295,4.42756,0.47562
0.0026,20.5428,20.5428,2.81838,57.8973,85.0695,24.1937,2.81838,0.191667
0.0028,19.5431,19.5431,4.00709,78.3111,85.0695,24.2745,4.00709,0.266667
0.003,16.8501,16.8501,5,84.2504,85.0695,24.3502,5.18481,0.341667
0.0032,15.8472,15.8472,4.64163,73.5569,85.0695,24.3166,4.64163,0.329431
0.0034,13.1686,13.1686,5,65.8431,85.0695,24.3583,5.35402,0.44828
0.0036,17.2443,17.2443,3.9701,68.4618,85.0695,24.271,3.9701,0.341667
0.0038,18.9623,18.9623,4.38255,83.1033,85.0695,24.3004,4.38255,0.266667
0.004,19.5071,19.5071,3.8922,75.9255,85.0695,24.2664,3.8922,0.191667
0.0042,18.9227,18.9227,4.38187,82.9169,85.0695,24.3017,4.38187,0.25604
0.0044,16.5068,16.5068,5,82.5338,85.0695,24.3508,5.12093,0.333953
0.0046,17.3435,17.3435,4.46935,77.5142,85.0695,24.3073,4.46935,0.297874
0.0048,18.5813,18.5813,4.50115,83.6372,85.0695,24.3096,4.50115,0.266667
0.005,18.3486,18.3486,4.56985,83.8504,85.0695,24.3146,4.56985,0.261855
0.0052,19.0442,19.0442,4.2112,80.199,85.0695,24.2903,4.2112,0.222648
