# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 28.469,11.540,113.257,56.949,50000
sample_index,rtt_ms
0,41.103
1,18.898
2,15.632
3,12.694
4,27.497
5,37.031
6,15.919
7,23.063
8,45.885
9,15.066
10,21.115
11,22.288
12,30.644
13,18.563
14,25.888
15,13.494
16,28.219
17,19.438
18,15.870
19,27.102
20,17.342
21,16.586
22,13.548
23,21.464
24,25.277
25,12.891
26,27.338
27,37.907
28,35.404
29,24.562
30,39.356
31,13.777
32,49.669
33,16.851
34,28.194
35,32.138
36,34.817
37,38.787
38,15.942
39,43.100
40,42.663
41,41.331
42,34.985
43,32.108
44,17.329
45,18.962
46,21.254
47,15.087
48,17.075
49,16.214
50,21.243
51,36.464
52,16.253
53,33.195
54,30.642
55,17.269
56,53.082
57,31.248
58,25.876
59,37.400
60,12.731
61,28.095
62,31.913
63,45.047
64,12.804
65,28.130
66,12.695
67,38.281
68,39.061
69,51.214
70,35.976
71,38.754
72,39.772
73,25.729
74,13.490
75,17.045
76,21.578
77,27.292
78,18.875
79,13.929
80,12.671
81,20.674
82,22.572
83,33.370
84,24.227
85,23.889
86,13.720
87,35.133
88,16.696
89,26.925
90,38.036
91,14.414
92,15.152
93,35.189
94,40.244
95,53.299
96,17.474
97,15.157
98,24.955
99,34.261
100,12.340
101,22.860
102,22.283
103,18.085
104,38.693
105,39.239
106,43.435
107,33.715
108,35.275
109,25.232
110,19.387
111,13.765
112,37.168
113,15.511
114,18.553
115,43.071
116,16.548
117,37.618
118,33.639
119,28.293
120,33.914
121,63.685
122,34.660
123,37.162
124,34.682
125,26.401
126,22.041
127,15.661
128,39.906
129,29.621
130,39.391
131,20.590
132,15.455
133,12.760
134,17.020
135,25.142
136,31.156
137,23.466
138,41.700
139,37.474
140,25.703
141,34.256
142,15.547
143,30.239
144,28.047
145,34.384
146,52.786
147,26.436
148,25.859
149,15.126
150,16.688
151,16.121
152,27.990
153,19.766
154,14.463
155,35.627
156,36.588
157,13.496
158,22.158
159,36.459
160,14.572
161,57.472
162,45.546
163,34.528
164,52.686
165,53.075
166,33.741
167,18.750
168,31.735
169,37.646
170,35.907
171,24.892
172,36.744
173,35.885
174,34.249
175,19.318
176,39.849
177,14.563
178,43.577
179,20.401
180,27.895
181,33.479
182,19.674
183,15.575
184,28.388
185,35.426
186,16.255
187,30.665
188,35.464
189,24.373
190,44.033
191,17.884
192,16.029
193,21.959
194,20.089
