# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.356,10.826,280.701,53.998,75000
sample_index,rtt_ms
0,38.393
1,30.527
2,35.554
3,14.873
4,22.957
5,35.723
6,40.790
7,29.937
8,50.845
9,41.044
10,51.692
11,25.337
12,15.418
13,34.635
14,35.494
15,23.586
16,30.494
17,24.743
18,44.033
19,38.330
20,44.073
21,26.657
22,37.391
23,43.169
24,14.811
25,14.414
26,27.126
27,34.574
28,14.548
29,27.963
30,40.326
31,43.853
32,14.353
33,21.572
34,33.729
35,16.902
36,34.906
37,35.059
38,26.660
39,13.988
40,32.888
41,35.544
42,15.427
43,32.957
44,40.595
45,32.125
46,32.485
47,17.137
48,25.936
49,15.392
50,14.836
51,44.866
52,15.510
53,14.359
54,15.464
55,52.133
56,38.286
57,40.414
58,16.874
59,14.057
60,39.629
61,14.819
62,16.217
63,38.980
64,16.419
65,26.823
66,38.083
67,14.212
68,28.075
69,40.980
70,33.026
71,14.095
72,21.928
73,15.429
74,35.019
75,42.123
76,34.558
77,19.462
78,46.953
79,46.501
80,16.250
81,15.170
82,17.254
83,51.533
84,17.246
85,36.237
86,27.747
87,38.972
88,27.947
89,15.698
90,41.738
91,15.947
92,33.713
93,36.131
94,37.916
95,14.307
96,51.564
97,36.474
98,40.759
99,40.912
100,25.176
101,34.748
102,12.291
103,35.058
104,35.363
105,13.506
106,28.294
107,26.366
108,47.367
109,21.081
110,32.761
111,38.200
112,32.815
113,23.114
114,23.495
115,14.256
116,16.266
117,29.561
118,33.819
119,34.333
120,20.342
121,26.392
122,46.485
123,50.801
124,40.500
125,18.027
126,31.878
127,26.614
128,17.008
129,42.119
130,43.322
131,16.215
132,14.053
133,26.789
134,34.398
135,46.806
136,16.029
137,33.128
138,30.107
139,59.825
140,50.556
141,30.652
142,33.135
143,16.152
144,16.906
145,36.868
146,17.454
147,15.967
148,13.712
149,24.457
150,35.081
151,36.125
152,20.707
153,16.583
154,36.355
155,37.932
156,36.601
157,26.668
158,40.383
159,47.626
160,25.904
161,38.060
162,23.683
163,35.058
164,22.406
165,22.429
166,14.741
167,33.147
168,30.504
169,26.666
170,23.665
171,24.267
172,13.676
173,31.079
174,24.943
175,41.691
176,43.201
177,19.544
178,32.300
179,28.468
180,14.070
181,39.385
182,37.554
183,36.028
184,21.876
185,41.256
186,13.155
187,31.739
188,15.637
189,32.328
190,38.142
191,38.308
192,40.197
193,38.533
194,41.060
195,28.703
196,16.016
197,30.286
198,15.876
199,31.650
200,12.704
201,41.458
202,13.344
203,38.063
204,39.189
205,17.783
206,36.090
