Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,20.0387,20.0387,3.37462,67.6232,85.0695,24.2328,3.37462,0.145438
0.0022,15.7041,15.7041,5,78.5204,85.0695,24.3819,5.68434,0.416667
0.0024,6.48244,6.48244,5,32.4122,85.0695,24.3336,5.07808,0.54809
0.0026,21.2257,21.2257,1.72704,36.6577,85.0695,24.1192,1.72704,0.191667
0.0028,20.1654,20.1654,3.3891,68.3427,85.0695,24.2299,3.3891,0.266667
0.003,20.0484,20.0484,3.42402,68.6463,85.0695,24.2337,3.42402,0.187552
0.0032,19.1173,19.1173,4.30758,82.3494,85.0695,24.295,4.30758,0.266667
0.0034,14.2997,14.2997,5,71.4984,85.0695,24.3728,5.55192,0.39809
0.0036,20.1581,20.1581,3.13128,63.1208,85.0695,24.2153,3.13128,0.173487
0.0038,19.3358,19.3358,4.16736,80.5794,85.0695,24.2833,4.16736,0.266667
0.004,18.9026,18.9026,4.35647,82.3487,85.0695,24.2954,4.35647,0.243463
0.0042,19.8586,19.8586,3.56749,70.8455,85.0695,24.2438,3.56749,0.161469
0.0044,19.2737,19.2737,4.17287,80.4267,85.0695,24.2874,4.17287,0.24809
0.0046,18.3868,18.3868,4.62138,84.9723,85.0695,24.3179,4.62138,0.272534
0.0048,18.7571,18.7571,4.35748,81.7336,85.0695,24.3002,4.35748,0.237786
0.005,18.2981,18.2981,4.62432,84.616,85.0695,24.318,4.62432,0.271418
0.0052,16.9767,16.9767,4.91456,83.4331,85.0695,24.3372,4.91456,0.311469
