# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.060,12.723,1033.195,56.957,49998
sample_index,rtt_ms
0,31.177
1,24.131
2,48.834
3,14.447
4,43.413
5,17.888
6,18.865
7,42.421
8,19.307
9,18.295
10,17.611
11,24.566
12,34.605
13,30.300
14,33.779
15,16.306
16,30.753
17,35.155
18,42.134
19,14.870
20,12.151
21,26.675
22,19.462
23,36.714
24,45.999
25,13.413
26,49.030
27,18.230
28,14.778
29,59.808
30,13.089
31,14.055
32,38.419
33,33.647
34,97.231
35,16.479
36,50.677
37,19.488
38,74.454
39,30.981
40,29.443
41,15.068
42,16.102
43,35.111
44,24.277
45,16.297
46,79.334
47,47.140
48,32.449
49,39.779
50,21.035
51,12.400
52,47.294
53,41.792
54,29.970
55,21.281
56,14.989
57,41.421
58,19.319
59,14.072
60,15.867
61,26.031
62,21.016
63,13.026
64,15.456
65,22.460
66,18.626
67,15.616
68,34.483
69,17.989
70,13.351
71,15.384
72,48.597
73,18.286
74,12.555
75,25.204
76,16.951
77,17.277
78,43.956
79,41.608
80,34.041
81,19.141
82,15.531
83,16.546
84,27.158
85,35.493
86,26.058
87,40.195
88,41.837
89,24.544
90,34.406
91,29.091
92,17.443
93,18.641
94,24.349
95,29.271
96,12.517
97,16.821
98,23.707
99,18.230
100,12.211
101,16.480
102,25.728
103,21.739
104,13.586
105,35.710
106,38.672
107,15.586
108,27.601
109,30.229
110,44.443
111,35.210
112,25.994
113,17.136
114,38.483
115,35.258
116,52.309
117,15.264
118,27.565
119,23.690
120,40.310
121,41.741
122,18.048
123,41.446
124,54.738
125,22.807
126,24.449
127,17.456
128,31.415
129,35.466
130,13.598
131,16.674
132,18.801
133,17.628
134,32.616
135,27.429
136,39.503
137,45.271
138,23.577
139,37.679
140,44.939
141,28.645
142,19.066
143,16.450
144,29.598
145,36.273
146,15.009
147,38.099
148,22.405
149,32.798
150,49.602
151,41.809
152,19.139
153,26.900
154,13.310
155,21.949
156,24.630
157,16.241
158,32.200
159,25.524
160,15.702
161,27.576
162,14.862
163,55.711
164,36.159
165,48.187
166,14.980
167,15.840
168,24.678
169,19.685
170,27.608
171,28.639
172,34.489
173,48.661
174,20.430
175,37.044
176,27.548
177,32.820
178,44.780
179,40.628
180,17.829
181,29.339
182,33.186
183,31.283
184,23.373
185,14.345
186,46.926
187,23.416
188,12.436
189,13.075
190,46.872
191,36.629
192,46.533
193,13.732
194,17.796
195,25.919
196,16.016
197,36.647
198,38.976
199,37.376
200,38.346
201,17.569
202,20.256
203,24.717
204,22.996
205,20.418
206,15.136
207,44.634
208,32.311
209,59.633
210,38.800
211,22.469
212,15.675
213,17.602
214,25.042
215,35.028
216,27.172
217,18.095
218,28.798
219,39.206
220,36.985
221,41.686
222,46.563
223,33.610
224,35.255
225,17.398
226,15.789
227,24.819
228,24.227
229,22.692
230,29.143
231,28.340
232,39.843
233,28.983
234,35.864
235,43.167
236,30.011
237,15.776
238,28.620
239,16.583
240,39.974
241,36.526
242,18.036
243,30.318
244,40.483
245,39.740
246,35.404
247,46.146
248,31.857
249,39.400
250,15.533
251,48.734
252,19.829
253,16.479
254,52.308
255,45.986
256,12.287
257,46.634
258,19.617
259,40.235
260,14.653
261,13.786
262,39.420
263,30.870
264,15.325
265,44.964
266,22.384
267,39.960
268,42.963
269,21.949
270,28.573
271,50.451
272,16.240
273,21.312
274,23.683
275,17.404
276,25.434
277,29.598
278,30.101
279,39.610
280,24.336
281,24.551
282,32.974
283,33.956
284,40.020
285,41.711
286,17.412
287,36.963
288,47.281
289,24.561
290,18.665
291,40.022
292,21.783
293,37.631
294,61.301
295,37.561
296,42.002
297,34.512
298,42.138
299,14.875
300,39.406
301,36.244
302,23.292
303,23.169
304,40.730
305,41.701
306,36.934
307,40.690
308,39.628
309,16.006
310,34.727
311,31.674
312,36.778
313,44.561
314,40.149
315,41.721
316,44.888
317,15.796
318,18.478
319,36.575
320,41.444
321,15.587
322,39.420
323,16.634
324,13.617
325,24.738
326,38.373
327,29.777
328,37.013
329,20.677
330,24.574
331,42.822
332,13.603
333,46.302
334,42.579
335,20.914
336,23.012
337,16.851
338,12.701
339,24.245
340,15.942
341,14.765
342,34.507
343,39.172
344,46.215
345,32.273
346,27.449
347,35.916
348,15.842
349,34.388
350,30.960
351,25.663
352,39.540
353,13.025
354,16.656
355,12.702
356,18.029
357,16.374
358,17.573
359,15.934
360,28.321
361,14.375
362,16.907
363,12.892
364,22.825
365,19.338
366,26.602
367,23.825
368,21.214
369,13.552
370,19.346
371,45.673
372,13.295
373,16.841
374,34.621
375,38.818
376,17.242
377,37.073
378,14.818
379,28.792
380,19.348
381,24.533
382,13.559
383,23.840
384,16.889
385,16.189
386,41.093
387,18.785
388,14.550
389,26.529
390,20.048
391,18.956
392,29.551
393,29.500
394,41.641
395,39.751
396,17.326
397,16.603
398,15.682
399,25.885
400,17.314
401,13.273
402,33.091
403,20.909
404,15.849
405,43.317
406,30.408
407,36.234
408,44.697
409,14.883
410,15.724
411,25.999
412,27.064
413,26.893
414,25.621
415,17.204
416,27.328
417,26.504
