Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2553,18.2553,4.65661,85.0081,85.0695,24.2429,4.65661,0.26523
0.319,14.5915,14.5915,4.94921,72.2165,85.0695,24.2106,4.94921,0.416667
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4644,16.4644,4.91405,80.9067,85.0695,24.233,4.91405,0.339932
0.464,16.2478,16.2478,4.92092,79.9541,85.0695,24.2306,4.92092,0.348899
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,17.9906,17.9906,4.72701,85.0415,85.0695,24.2432,4.72701,0.276437
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,18.4556,18.4556,4.59082,84.7265,85.0695,24.242,4.59082,0.256682
0.609,16.4971,16.4971,4.91272,81.0457,85.0695,24.2333,4.91272,0.338808
0.638,17.9802,17.9802,4.72943,85.036,85.0695,24.2432,4.72943,0.276874
0.667,16.9737,16.9737,4.87827,82.8025,85.0695,24.2379,4.87827,0.318822
0.696,17.8486,17.8486,4.75812,84.9258,85.0695,24.243,4.75812,0.282408
0.725,19.0172,19.0172,4.33278,82.3973,85.0695,24.2351,4.33278,0.232287
