# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 24.776,10.260,74.200,51.662,517
sample_index,rtt_ms
0,29.900
1,20.541
2,15.649
3,16.526
4,45.385
5,40.998
6,25.147
7,16.423
8,36.032
9,15.893
10,38.661
11,16.531
12,19.616
13,15.039
14,24.969
15,18.745
16,17.748
17,17.619
18,26.887
19,16.340
20,16.920
21,16.450
22,17.046
23,28.786
24,31.573
25,13.591
26,43.373
27,16.221
28,15.643
29,28.678
30,20.171
31,16.370
32,38.683
33,19.024
34,34.544
35,35.562
36,14.132
37,29.479
38,18.702
39,39.444
40,36.579
41,31.046
42,25.357
43,25.638
44,17.583
45,22.161
46,14.840
47,26.328
48,15.650
49,18.028
50,18.919
51,15.850
52,43.124
53,13.935
54,16.152
55,15.210
56,25.285
57,18.574
58,34.101
59,44.789
60,17.936
61,17.063
62,14.199
63,30.510
64,17.834
65,16.544
66,44.954
67,15.892
68,17.535
69,18.565
70,15.597
71,45.332
72,24.290
73,15.819
74,25.055
75,17.541
76,14.910
77,23.615
78,20.418
79,39.936
80,22.770
81,24.222
82,22.427
83,18.590
84,41.828
85,18.427
86,15.544
87,37.550
88,41.940
89,16.170
90,44.164
91,13.239
92,16.369
93,16.607
94,14.050
95,24.756
96,19.845
97,18.439
98,36.889
99,17.578
100,15.483
101,35.489
102,44.926
103,34.951
104,35.869
105,17.352
106,18.744
107,40.756
108,16.565
109,15.943
110,16.328
111,40.399
112,15.702
113,13.783
114,14.292
115,33.885
116,14.844
117,15.181
118,19.565
119,30.900
120,19.263
121,21.255
122,13.170
123,24.339
124,16.841
125,17.996
126,18.417
127,13.679
128,28.955
129,15.148
130,35.875
131,14.576
132,45.009
133,36.118
134,27.781
135,15.664
136,38.384
137,31.115
138,17.480
139,38.777
140,36.421
141,17.111
142,39.697
143,16.380
144,43.353
145,16.022
146,13.347
147,38.501
148,37.082
149,14.317
150,33.464
151,12.644
152,15.767
153,16.086
154,33.758
155,31.413
156,17.514
157,16.467
158,26.887
159,17.679
160,34.407
161,27.928
162,16.419
163,26.603
164,15.822
165,55.684
166,40.590
167,41.453
168,15.113
169,17.845
170,15.200
171,24.556
172,17.127
173,21.175
174,15.902
175,24.311
176,18.182
177,16.676
178,29.046
179,38.866
180,15.863
181,20.525
182,51.366
183,34.383
184,42.282
185,27.321
186,15.806
187,29.911
188,15.547
189,28.629
190,27.870
191,31.221
192,15.672
193,39.025
194,35.332
195,16.797
196,74.200
197,26.720
198,27.230
199,18.373
200,21.600
201,15.512
202,15.403
203,53.553
204,37.355
205,38.617
206,14.383
207,16.955
208,17.493
209,24.196
210,15.591
211,17.821
212,49.505
213,35.605
214,27.727
215,17.679
216,25.897
217,17.635
218,22.971
219,21.311
220,26.438
221,15.938
222,15.956
223,15.961
224,20.463
225,18.744
226,22.531
227,19.278
228,15.903
229,38.891
230,19.993
231,40.756
232,27.017
233,28.242
234,31.439
235,28.667
236,14.959
237,41.411
238,17.750
239,28.478
240,20.648
241,18.600
242,15.328
243,15.821
244,43.627
245,30.546
246,26.370
247,26.358
248,19.872
249,17.631
250,14.622
251,22.115
252,16.467
253,20.252
254,16.098
255,13.627
256,23.798
257,18.260
258,17.549
259,16.785
260,24.331
261,14.617
262,14.801
263,14.982
264,15.424
265,25.958
266,15.725
267,32.424
268,14.245
269,35.697
270,15.106
271,40.023
272,40.734
273,16.753
274,28.686
275,43.622
276,38.111
277,45.491
278,13.340
279,22.336
280,24.167
281,30.389
282,14.124
283,15.565
284,26.856
285,16.458
286,17.053
287,25.762
288,52.234
289,36.400
290,32.217
291,13.008
292,29.551
293,20.098
294,31.878
295,36.732
296,37.765
297,13.808
298,23.710
299,32.408
300,46.054
301,15.305
302,18.443
303,37.987
304,16.987
305,15.167
306,25.668
307,20.212
308,32.867
309,22.712
310,26.139
311,41.413
312,36.923
313,37.444
314,14.995
315,29.300
316,30.863
317,50.159
318,16.899
319,14.570
320,15.044
321,53.184
322,16.532
323,46.061
324,31.089
325,36.293
326,18.409
327,31.649
328,13.743
329,21.269
330,35.621
331,28.083
332,22.567
333,19.350
334,32.776
335,23.505
336,18.453
337,28.998
338,13.345
339,20.550
340,38.043
341,14.468
342,22.408
343,18.649
344,33.234
345,23.423
346,38.284
347,24.132
348,21.062
349,22.548
350,32.825
351,25.092
352,15.980
353,15.623
354,16.827
355,16.203
356,21.790
357,18.121
358,24.023
359,39.133
360,13.450
361,15.821
362,13.344
363,26.680
364,19.760
365,14.490
366,15.430
367,35.231
