# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 28.622,11.857,121.791,56.948,49999
sample_index,rtt_ms
0,14.624
1,13.692
2,60.694
3,18.439
4,16.350
5,23.083
6,19.604
7,16.681
8,24.858
9,27.993
10,35.682
11,41.025
12,18.088
13,16.206
14,16.808
15,28.775
16,27.047
17,18.188
18,32.554
19,14.341
20,16.994
21,26.575
22,44.597
23,42.346
24,29.984
25,44.650
26,12.661
27,41.059
28,33.736
29,14.275
30,46.888
31,21.099
32,29.515
33,28.895
34,25.920
35,13.924
36,43.787
37,31.225
38,48.376
39,41.704
40,17.955
41,29.164
42,16.895
43,25.335
44,29.216
45,15.362
46,30.992
47,28.746
48,33.385
49,43.813
50,14.235
51,21.757
52,49.600
53,15.509
54,29.147
55,26.496
56,25.526
57,26.201
58,35.315
59,49.813
60,17.207
61,18.081
62,14.687
63,46.934
64,38.008
65,24.193
66,15.703
67,16.986
68,44.194
69,19.827
70,18.714
71,14.120
72,30.577
73,27.200
74,49.892
75,21.102
76,26.925
77,25.006
78,18.159
79,12.736
80,14.468
81,22.294
82,17.704
83,14.151
84,18.609
85,29.312
86,19.343
87,18.506
88,12.443
89,27.020
90,26.827
91,14.047
92,29.405
93,19.247
94,14.929
95,12.873
96,41.072
97,38.588
98,26.141
99,13.064
100,17.571
101,40.261
102,33.521
103,15.756
104,31.473
105,32.646
106,12.655
107,27.316
108,28.375
109,19.640
110,29.600
111,42.360
112,15.183
113,30.860
114,20.206
115,19.485
116,40.046
117,14.027
118,30.661
119,30.541
120,14.740
121,22.853
122,27.224
123,40.731
124,14.995
125,28.479
126,17.049
127,16.037
128,44.633
129,17.430
130,15.984
131,12.276
132,28.668
133,31.001
134,13.707
135,46.812
136,23.502
137,38.254
138,25.861
139,26.384
140,26.592
141,25.222
142,18.998
143,25.806
144,36.128
145,13.581
146,29.867
147,15.876
148,34.467
149,40.983
150,34.442
151,42.665
152,37.135
153,14.905
154,16.659
155,36.636
156,35.981
157,17.531
158,18.585
159,25.201
160,17.229
161,16.566
162,29.746
163,18.259
164,26.460
165,13.934
166,27.367
167,20.560
168,15.501
169,23.851
170,18.420
171,22.657
172,16.343
173,25.619
174,18.555
175,13.828
176,19.193
177,31.734
178,37.192
179,24.334
180,37.082
181,41.167
182,14.594
183,39.511
184,26.525
185,34.405
186,36.453
187,30.703
188,13.489
189,42.416
190,27.110
191,17.201
192,31.311
193,44.157
194,41.403
195,18.267
196,44.550
197,37.663
198,29.795
199,27.828
200,46.881
201,15.989
202,32.802
203,30.637
204,29.400
205,18.784
206,27.571
207,15.090
208,29.368
209,44.427
210,21.198
211,35.804
212,40.478
213,46.697
214,27.668
215,15.464
216,51.050
217,34.579
218,27.957
219,34.855
220,38.604
221,36.284
222,19.007
223,24.704
224,25.253
225,39.943
226,32.606
227,38.529
228,25.780
229,29.946
230,22.743
231,41.785
232,16.072
233,44.134
234,14.689
235,29.058
236,28.645
237,34.384
238,28.172
239,18.791
240,32.248
241,14.004
242,34.767
243,35.976
244,21.350
245,41.285
246,12.513
247,29.084
248,42.146
249,17.736
250,33.951
251,15.925
252,25.259
253,36.230
254,27.194
255,22.858
256,32.458
257,28.316
258,38.806
259,14.432
260,16.897
261,35.647
262,32.048
263,48.684
264,43.965
265,51.917
266,13.449
267,34.532
268,46.063
269,18.822
270,32.321
271,22.844
272,40.147
273,39.984
274,36.838
275,43.991
276,31.162
277,27.860
278,33.820
279,54.396
280,19.805
281,29.174
282,38.437
283,37.432
284,16.810
285,49.709
286,55.481
287,39.377
288,31.317
289,14.979
290,15.457
291,51.691
292,33.058
293,16.717
294,42.306
295,12.811
296,54.265
297,37.319
298,23.854
299,41.401
300,16.934
301,32.449
302,32.768
303,23.967
304,38.485
305,34.215
306,72.789
307,15.013
308,37.453
309,20.613
310,54.954
311,38.396
312,43.361
313,34.150
314,43.753
315,37.652
316,27.594
317,37.239
318,30.290
319,40.498
320,15.220
321,45.159
322,41.601
323,18.006
324,38.108
325,46.497
326,35.322
327,28.399
328,37.130
329,32.227
330,27.496
331,57.800
332,14.025
333,14.656
334,15.523
335,46.768
336,37.373
337,30.093
338,30.402
339,26.537
340,34.266
341,42.495
342,40.640
343,15.507
344,16.950
345,36.926
346,39.556
347,40.221
348,18.350
349,20.028
350,26.183
351,17.821
352,13.975
353,13.255
354,26.869
355,14.919
356,15.169
357,41.927
358,18.400
359,13.428
360,22.230
361,27.671
362,12.230
363,14.070
364,30.272
365,34.214
366,49.463
367,42.397
368,16.613
369,26.611
370,20.432
371,30.724
372,31.161
373,23.549
374,15.703
375,15.159
376,41.220
377,16.315
378,39.390
379,44.681
380,34.899
381,13.649
382,37.525
383,29.300
384,13.662
385,27.599
386,25.801
387,18.944
388,23.487
389,16.572
390,38.721
391,39.018
392,35.733
393,13.449
394,17.698
395,38.906
396,16.199
397,28.309
398,31.431
399,15.024
400,36.932
401,19.574
402,28.881
403,14.155
404,35.000
405,54.886
406,16.396
407,13.594
408,32.423
409,35.339
410,31.727
411,28.980
412,26.417
413,39.088
414,20.508
415,61.053
416,21.500
417,18.985
418,45.532
419,17.405
420,31.311
421,26.409
422,39.813
423,47.479
424,26.269
425,47.183
426,28.866
427,33.183
428,19.966
429,40.824
430,34.382
431,29.291
432,35.207
433,35.400
434,31.832
435,22.022
436,33.065
437,50.224
438,31.496
439,32.815
440,37.905
441,41.993
442,29.393
443,27.147
444,36.179
445,22.295
446,22.300
447,19.696
448,29.546
449,33.422
450,19.527
451,30.316
452,38.825
453,14.974
454,29.386
455,42.432
456,36.124
457,43.205
458,33.941
459,13.735
460,34.045
461,15.326
462,31.622
463,35.680
464,14.800
465,34.249
466,30.502
467,47.777
468,43.977
469,33.723
470,41.953
471,21.707
472,47.040
473,32.539
474,38.357
475,39.299
476,16.541
477,23.003
478,20.926
479,39.010
480,25.931
481,27.191
482,44.080
483,16.235
484,31.555
485,41.102
486,14.496
487,41.701
488,37.041
489,28.934
490,38.425
491,52.442
492,42.571
493,13.089
494,28.997
495,22.556
496,45.300
497,33.145
498,24.567
499,35.637
500,19.821
501,42.483
502,18.873
503,32.283
504,39.006
505,36.566
506,24.204
507,35.434
508,58.786
509,45.644
510,45.549
511,17.470
512,43.852
513,19.231
514,17.463
515,38.305
516,33.730
517,15.943
518,52.574
519,43.419
520,28.982
521,38.900
522,38.216
523,28.603
524,53.330
525,16.642
526,12.862
527,14.586
528,31.382
529,30.227
530,46.686
531,29.813
532,50.418
533,29.874
534,18.908
535,31.678
536,19.764
537,36.756
538,17.334
539,22.353
540,32.409
541,18.257
542,12.251
543,18.620
544,39.903
545,40.004
546,26.645
547,15.905
548,17.839
549,14.155
550,20.601
551,41.444
552,14.375
553,27.938
554,17.820
555,29.310
556,31.706
557,30.373
558,14.454
559,23.929
560,14.216
561,38.929
562,29.193
563,31.193
564,23.735
565,46.841
566,14.465
567,13.460
568,38.573
569,15.437
570,29.427
571,24.379
572,18.259
573,15.914
574,31.630
575,17.885
576,23.710
577,43.506
578,17.987
579,19.824
580,37.304
581,15.040
582,13.884
583,48.974
584,32.681
585,14.210
586,30.118
587,19.541
588,25.093
589,33.770
590,31.976
591,32.935
592,17.425
593,24.792
594,28.469
595,15.952
596,16.849
597,18.336
598,32.765
599,40.631
600,25.469
601,38.606
602,46.193
603,24.823
604,40.399
605,17.903
606,31.909
607,13.433
608,25.903
609,19.724
610,20.166
611,29.634
612,15.419
613,17.799
614,14.748
615,25.049
616,17.377
617,17.153
618,14.420
619,33.918
620,32.011
621,49.326
622,33.691
623,15.196
624,31.452
625,14.305
626,47.319
627,39.295
628,47.520
629,26.000
630,12.487
631,43.220
632,33.999
633,45.818
634,44.831
635,36.166
636,15.752
637,15.068
638,17.237
639,52.256
640,38.734
641,25.488
642,15.545
643,12.918
644,29.690
645,19.916
646,18.177
647,30.879
648,34.243
649,37.853
650,21.652
651,15.336
652,27.281
653,28.153
654,14.778
655,14.849
656,29.438
657,33.960
658,42.140
659,35.308
660,24.225
661,20.453
662,37.912
663,23.930
664,35.320
665,51.144
666,17.462
667,31.785
668,27.177
669,35.939
670,50.065
671,28.144
672,33.180
673,31.785
674,14.618
675,19.305
676,30.338
677,33.851
678,25.865
679,47.603
680,13.011
681,44.681
682,29.624
683,21.669
684,46.826
685,32.415
686,24.902
687,36.356
688,61.603
689,42.970
690,39.244
691,30.006
692,41.541
693,20.576
694,28.542
695,35.471
696,51.527
697,46.480
698,39.373
699,14.594
700,16.949
701,44.121
702,32.970
703,61.997
704,27.541
705,43.226
706,16.057
707,14.057
708,59.250
709,27.106
710,55.141
711,37.590
712,26.462
713,18.151
714,12.429
715,17.752
716,64.164
717,47.788
718,33.061
719,45.088
720,17.268
721,12.538
722,27.942
723,33.473
724,36.804
725,36.992
726,27.785
727,46.700
728,59.258
729,15.659
730,42.001
731,17.152
732,15.515
733,29.194
734,31.405
735,24.717
736,54.228
737,18.849
738,45.160
739,36.463
740,45.878
741,33.353
742,26.742
743,37.075
744,14.842
745,35.734
746,18.039
747,17.171
748,43.917
749,38.454
750,38.871
751,38.958
752,44.350
753,17.433
754,25.569
755,22.923
756,21.679
757,27.771
758,25.134
759,15.804
760,47.208
761,56.435
762,30.870
763,21.234
764,14.013
765,42.513
766,21.683
767,15.201
768,52.614
769,15.267
770,24.584
