# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.354,12.227,112.664,57.996,49999
sample_index,rtt_ms
0,23.541
1,34.593
2,44.155
3,17.245
4,15.044
5,25.315
6,33.530
7,36.064
8,44.776
9,15.585
10,31.311
11,17.406
12,12.799
13,26.776
14,25.627
15,39.971
16,13.299
17,47.989
18,12.471
19,16.492
20,37.259
21,15.279
22,43.534
23,27.817
24,38.516
25,39.285
26,12.779
27,18.961
28,27.066
29,35.479
30,26.591
31,30.720
32,27.336
33,32.126
34,14.835
35,37.507
36,39.500
37,22.727
38,51.059
39,26.272
40,48.642
41,24.755
42,16.356
43,14.354
44,31.344
45,17.061
46,13.247
47,47.816
48,28.156
49,42.985
50,28.871
51,24.688
52,36.007
53,49.121
54,15.822
55,34.363
56,37.506
57,13.196
58,13.456
59,46.738
60,28.999
61,86.993
62,13.302
63,45.189
64,13.557
65,22.528
66,31.059
67,18.419
68,39.870
69,14.584
70,16.430
71,14.694
72,27.772
73,26.942
74,12.627
75,34.043
76,23.203
77,33.662
78,30.640
79,13.349
80,31.858
81,34.231
82,24.505
83,47.887
84,25.172
85,22.914
86,20.777
87,17.464
88,14.618
89,14.066
90,37.281
91,12.405
92,39.224
93,20.680
94,14.056
95,13.062
96,27.797
97,16.968
98,15.202
99,15.413
100,40.040
101,12.513
102,47.863
103,15.773
104,30.408
105,21.868
106,24.439
107,37.110
108,39.527
109,13.301
110,12.190
111,28.303
112,37.504
113,15.352
114,32.253
115,16.166
116,17.160
117,27.780
118,14.409
119,24.073
120,12.165
121,28.546
122,26.728
123,12.968
124,35.204
125,35.183
126,13.355
127,46.846
128,16.481
129,15.809
130,28.551
131,13.485
132,13.766
133,47.372
134,13.884
135,15.935
136,39.943
137,16.938
138,34.022
139,29.418
140,12.827
141,36.664
142,28.409
143,14.023
144,15.507
145,14.294
146,27.135
147,13.177
148,14.644
149,12.647
150,27.960
151,28.322
152,14.599
153,31.091
154,38.574
155,15.329
156,49.550
157,14.300
158,14.598
159,26.050
160,32.678
161,15.050
162,43.961
163,17.218
164,39.730
165,17.700
166,13.019
167,17.984
168,37.350
169,34.639
170,20.753
171,16.950
172,15.528
173,23.879
174,27.027
175,46.253
176,26.223
177,12.490
178,15.139
179,22.518
180,27.001
181,16.016
182,23.344
183,36.594
184,14.417
185,34.187
186,20.574
187,25.207
188,14.477
189,47.713
190,14.412
191,32.380
192,40.490
193,14.340
194,22.316
195,37.877
196,38.337
197,32.659
198,26.737
199,46.934
200,17.919
201,18.644
202,47.928
203,19.159
204,35.402
205,49.954
206,35.580
207,42.596
208,26.883
209,39.749
210,13.068
211,16.854
212,38.862
213,15.391
214,28.153
215,42.315
216,33.863
217,33.151
218,28.436
219,22.394
220,40.888
221,32.914
222,40.321
223,16.370
224,23.144
225,13.177
226,18.904
227,12.699
228,14.539
229,13.888
230,26.406
231,24.843
232,12.553
233,36.598
234,14.606
235,13.912
236,47.478
237,25.669
238,14.623
239,36.529
240,14.594
241,28.692
242,36.315
243,14.538
244,34.227
245,36.324
246,24.540
247,19.490
248,35.131
249,35.766
250,40.805
251,34.949
252,46.092
253,21.851
254,32.040
255,34.373
256,22.512
257,34.423
258,30.234
259,14.832
260,40.043
261,30.455
262,55.362
263,19.244
264,50.612
265,15.672
266,31.969
267,29.727
268,14.833
269,17.554
270,36.631
271,17.780
272,12.701
273,36.565
274,15.967
275,34.137
276,55.166
277,17.683
278,89.464
279,57.790
280,36.175
281,28.885
282,15.937
283,39.367
284,32.687
285,28.207
286,13.430
287,25.407
288,36.816
289,32.729
290,41.026
291,13.152
292,13.834
293,28.180
294,34.523
295,49.432
296,13.560
297,36.074
298,20.757
299,41.553
300,53.273
301,23.088
302,15.546
303,41.025
304,23.464
305,14.964
306,46.961
307,38.924
308,21.475
309,37.124
310,35.509
311,15.204
312,13.302
313,32.371
314,23.377
315,36.150
316,17.011
317,18.007
318,18.783
319,30.897
320,37.838
321,36.173
322,25.426
323,14.269
324,31.704
325,29.412
326,18.504
327,12.765
328,41.678
329,27.826
330,26.491
331,17.783
332,40.318
333,12.726
334,24.339
335,35.994
336,42.954
337,38.658
338,14.766
339,41.014
340,15.438
341,13.710
342,31.963
343,30.335
344,22.392
345,31.324
346,39.046
347,25.484
348,14.583
349,25.791
350,39.614
351,34.597
352,13.199
353,22.164
354,15.303
355,37.814
356,27.252
357,70.255
358,22.340
359,53.818
360,15.509
361,30.410
362,13.920
363,32.602
364,12.417
365,13.091
366,38.781
367,12.903
368,50.482
369,41.344
370,38.287
371,24.995
372,16.033
373,38.938
374,36.321
375,26.133
376,34.232
377,48.701
378,28.293
379,49.431
380,28.590
381,13.516
382,47.510
383,12.649
384,29.538
385,37.608
386,36.867
387,13.120
388,20.386
389,13.348
390,15.945
391,13.610
392,19.887
393,16.274
394,14.383
395,35.519
396,13.193
397,28.620
398,40.983
399,22.451
400,22.829
401,22.471
402,37.688
403,23.265
404,34.714
405,27.887
406,17.268
407,43.131
408,22.917
409,33.476
410,26.046
411,24.876
412,24.149
413,36.933
414,15.482
415,22.335
416,15.037
417,13.665
418,12.940
419,30.562
420,33.055
421,12.737
422,41.141
423,15.151
424,33.515
425,27.077
426,15.147
427,13.102
428,44.218
429,15.992
430,36.469
431,28.135
432,33.484
433,13.550
434,32.557
435,33.560
436,16.485
437,31.738
438,32.512
439,27.962
440,15.511
441,13.024
442,13.376
443,21.415
444,15.638
445,23.728
446,40.378
447,18.339
448,14.845
449,31.067
450,15.418
451,13.203
452,14.014
453,24.282
454,13.458
455,21.652
456,21.905
457,17.881
458,16.409
459,23.170
460,23.520
461,14.921
462,14.365
463,14.769
464,26.172
465,14.924
466,14.307
467,13.364
468,45.140
469,13.902
470,45.538
471,13.841
472,13.562
473,14.307
474,28.807
475,12.911
476,16.631
477,13.458
478,32.883
479,30.625
480,29.861
481,24.735
482,14.574
483,25.565
484,13.871
485,25.188
486,15.837
487,43.386
488,37.083
489,37.798
490,12.860
491,13.372
492,34.907
493,14.610
494,14.385
495,43.570
496,28.461
497,54.807
498,13.847
499,14.201
500,48.323
501,13.551
502,15.839
503,25.620
504,13.655
505,37.279
506,20.035
507,15.043
508,29.624
509,28.681
510,31.498
511,23.731
512,39.080
513,41.449
514,31.841
515,14.099
516,13.856
517,31.918
518,16.440
519,35.741
520,22.838
521,13.738
522,31.393
523,24.299
524,33.240
525,15.523
526,27.687
527,14.894
528,13.408
529,49.469
530,24.763
531,13.897
532,12.613
533,28.824
534,38.330
535,22.042
536,34.400
537,27.802
538,22.788
539,15.610
540,15.079
541,32.045
542,30.727
543,13.634
544,12.913
545,25.177
546,15.586
547,35.555
548,22.887
549,23.231
550,15.151
551,14.613
552,32.663
553,14.096
554,13.482
555,24.314
556,14.166
557,25.430
558,43.265
559,34.756
560,16.036
561,29.935
562,19.346
563,13.934
564,12.707
565,25.251
566,19.974
567,15.301
568,25.728
569,37.982
570,16.457
571,20.832
572,27.441
573,12.574
574,43.142
575,16.260
576,13.538
577,38.959
578,16.135
579,13.342
580,38.391
581,27.986
582,13.806
583,27.525
584,14.579
585,14.365
586,15.649
587,37.455
588,24.562
589,49.530
590,14.399
591,36.228
592,27.461
593,31.164
594,51.170
595,19.555
596,28.771
597,43.687
598,36.666
599,45.326
600,27.369
601,25.024
602,15.553
603,37.017
604,12.962
605,19.990
606,12.879
607,38.427
608,37.453
609,39.289
610,13.734
611,29.286
612,38.091
613,38.075
614,44.469
615,15.927
616,25.772
617,54.729
618,13.890
619,38.990
620,13.674
621,36.003
622,38.669
623,39.969
624,23.715
625,16.098
626,25.966
627,40.632
628,16.346
629,28.602
630,39.501
631,37.591
632,23.191
633,34.691
634,48.833
635,14.577
636,29.864
637,16.308
638,12.857
639,23.646
640,27.803
641,17.176
642,25.825
643,27.216
644,15.191
645,16.162
646,26.929
647,18.560
648,15.189
649,15.013
650,30.058
651,14.580
652,26.327
653,25.507
654,14.405
655,14.684
656,15.695
657,37.898
658,31.471
659,42.119
660,13.019
661,30.265
662,38.674
663,43.734
664,27.271
665,22.617
666,37.558
667,30.688
668,13.166
669,13.477
670,28.562
671,38.695
672,36.263
673,13.625
674,17.301
675,15.137
676,35.374
677,13.420
678,28.855
679,30.849
680,32.408
681,14.929
682,33.460
683,13.776
684,24.024
685,41.697
686,13.782
687,16.068
688,28.132
689,24.055
690,49.668
691,28.543
692,15.993
693,15.271
694,36.236
695,13.541
696,48.624
697,14.529
698,32.584
699,43.104
700,40.719
701,29.979
702,28.108
703,48.197
704,17.511
705,37.720
706,43.613
707,36.533
708,31.332
709,17.509
710,15.264
711,33.051
712,16.137
713,16.909
714,38.407
715,28.962
716,15.810
717,34.039
718,15.079
719,28.038
720,40.805
721,37.342
722,15.698
723,26.447
724,25.341
725,23.939
726,41.128
727,16.956
728,17.699
729,39.764
730,38.315
731,43.510
732,15.526
733,14.525
734,41.369
735,16.380
736,27.175
737,13.408
738,14.647
739,15.008
740,49.691
741,15.478
742,14.202
743,30.127
744,14.562
745,15.211
746,42.251
747,13.544
748,37.911
749,35.541
750,13.332
751,52.197
752,36.531
753,48.275
754,31.298
755,31.313
756,36.108
757,50.611
758,23.899
759,28.527
760,49.739
761,13.309
762,17.710
763,18.780
764,13.922
765,16.121
766,42.788
767,15.683
768,37.758
769,25.780
770,31.423
771,14.069
772,29.059
773,15.263
774,22.311
775,41.686
776,29.605
777,23.385
778,38.601
779,14.148
780,48.223
781,15.315
782,15.556
783,45.931
784,22.005
785,47.988
786,29.482
787,14.190
788,33.210
789,37.045
790,47.069
791,31.806
792,12.771
793,37.787
794,33.683
795,14.592
796,25.819
797,13.185
798,36.740
799,26.139
800,17.398
801,29.723
802,41.696
803,34.948
804,15.471
