Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,19.9055,19.9055,3.627,72.1974,85.0695,24.2061,3.627,0.191898
0.319,14.5857,14.5857,4.9588,72.3274,85.0695,24.211,4.9588,0.416667
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.6686,16.6686,4.90092,81.6916,85.0695,24.2352,4.90092,0.331119
0.464,13.332,13.332,4.96502,66.1936,85.0695,24.1947,4.96502,0.469136
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,19.7211,19.7211,3.80861,75.1099,85.0695,24.2143,3.80861,0.200504
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,16.7373,16.7373,4.89635,81.9518,85.0695,24.2357,4.89635,0.328587
0.609,9.67903,9.67903,4.97514,48.1546,85.0695,24.1477,4.97514,0.619136
0.638,17.1527,17.1527,4.86208,83.3977,85.0695,24.2394,4.86208,0.311457
0.667,18.6746,18.6746,4.50429,84.1157,85.0695,24.2401,4.50429,0.247252
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,17.0726,17.0726,4.86932,83.1322,85.0695,24.2387,4.86932,0.31473
