# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 25.825,10.410,58.992,51.903,517
sample_index,rtt_ms
0,38.143
1,27.933
2,32.149
3,29.211
4,26.913
5,20.122
6,13.889
7,17.669
8,25.275
9,19.578
10,27.931
11,31.046
12,20.838
13,42.001
14,37.067
15,27.324
16,47.343
17,24.887
18,16.766
19,21.106
20,58.992
21,25.303
22,51.914
23,19.697
24,17.968
25,13.121
26,14.889
27,45.279
28,19.729
29,17.786
30,26.494
31,21.565
32,18.159
33,15.698
34,41.738
35,30.161
36,28.498
37,30.406
38,19.803
39,34.383
40,14.017
41,28.350
42,32.202
43,15.085
44,37.015
45,37.713
46,19.055
47,33.741
48,20.731
49,17.178
50,17.202
51,26.644
52,28.896
53,18.055
54,35.176
55,19.397
56,22.203
57,48.720
58,16.440
59,22.447
60,49.470
61,16.308
62,15.515
63,15.741
64,17.791
65,32.938
66,36.421
67,30.351
68,42.088
69,17.433
70,16.434
71,25.136
72,40.742
73,13.230
74,13.890
75,51.432
76,38.949
77,43.755
78,16.337
79,35.347
80,44.790
81,20.641
82,39.939
83,34.915
84,17.471
85,43.922
86,18.377
87,38.121
88,37.326
89,19.888
90,19.342
91,40.987
92,15.570
93,19.398
94,13.647
95,30.892
96,16.990
97,14.721
98,20.059
99,23.412
100,14.598
101,16.389
102,18.297
103,37.525
104,34.616
105,32.748
106,29.696
107,41.616
108,28.027
109,34.426
110,28.602
111,16.124
112,25.245
113,17.583
114,18.237
115,15.374
116,27.276
117,16.082
118,18.156
119,14.722
120,36.982
121,23.786
122,24.996
123,14.860
124,22.928
125,40.280
126,37.460
127,14.183
128,19.351
129,42.368
130,47.686
131,19.024
132,13.262
133,24.241
134,18.742
135,19.022
136,17.543
137,14.957
138,46.438
139,29.606
140,14.173
141,30.189
142,16.100
143,42.886
144,13.924
145,40.135
146,23.836
147,17.628
148,25.671
149,21.686
150,16.100
151,13.241
152,17.313
153,23.658
154,18.869
155,13.050
156,14.505
157,30.414
158,17.238
159,14.972
160,54.454
161,22.050
162,20.679
163,15.049
164,29.985
165,33.972
166,17.349
167,28.555
168,20.182
169,20.441
170,15.284
171,16.831
172,24.471
173,17.461
174,26.474
175,15.815
176,25.449
177,15.837
178,18.415
179,19.898
180,44.260
181,18.834
182,29.856
183,15.483
184,22.181
185,14.047
186,18.148
187,39.226
188,25.221
189,19.976
190,19.368
191,16.773
192,44.288
193,17.518
194,19.285
195,17.828
196,28.294
197,17.123
198,32.488
199,15.953
200,45.273
201,20.999
202,14.917
203,40.516
204,20.222
205,32.284
206,27.923
207,13.656
208,36.510
209,29.954
210,23.676
211,33.304
212,20.098
213,35.052
214,19.777
215,41.251
216,15.754
217,48.072
218,34.673
219,24.587
220,33.659
221,16.884
222,17.561
223,35.723
224,24.266
225,35.403
226,27.616
227,17.391
228,16.529
229,20.341
230,40.719
231,18.250
232,19.624
233,17.818
234,16.578
235,25.846
236,18.878
237,16.624
238,15.227
239,34.909
240,16.860
241,16.527
242,21.705
243,14.640
244,27.290
245,20.150
246,16.397
247,17.468
248,37.187
249,43.197
250,27.365
251,25.306
252,21.358
253,13.595
254,15.481
255,37.247
256,34.749
257,15.820
258,26.507
259,15.116
260,20.338
261,12.596
262,41.452
263,18.595
264,29.987
265,16.279
266,27.297
267,19.250
268,13.806
269,24.035
270,26.227
271,21.179
272,15.388
273,12.952
274,25.345
275,20.388
276,16.413
277,36.955
278,14.224
279,20.255
280,24.605
281,13.992
282,19.397
283,17.991
284,31.896
285,17.204
286,15.349
287,30.463
288,18.854
289,19.809
290,33.400
291,38.525
292,30.068
293,12.610
294,28.642
295,17.651
296,13.429
297,15.405
298,47.536
299,30.800
300,21.791
301,18.637
302,15.319
303,44.461
304,21.879
305,31.093
306,34.327
307,13.891
308,25.480
309,38.249
310,17.045
311,31.902
312,24.031
313,50.357
314,33.331
315,17.162
316,50.225
317,44.320
318,35.188
319,17.045
320,30.045
321,36.599
322,28.740
323,51.758
324,35.649
325,20.129
326,29.083
327,17.767
328,18.501
329,39.375
330,22.195
331,15.748
332,14.415
333,27.586
334,39.124
335,47.918
336,18.592
337,14.016
338,15.389
339,22.837
340,20.273
341,39.049
342,20.250
343,20.103
344,13.952
345,14.822
346,55.731
347,16.621
348,40.130
349,39.688
350,24.085
351,22.928
352,30.823
353,14.427
354,28.151
355,17.976
356,16.891
357,20.604
358,29.343
359,17.940
360,23.979
361,17.360
362,27.290
363,43.001
364,53.892
365,29.927
366,20.568
367,14.999
368,45.552
369,15.694
370,14.710
371,29.348
372,34.600
373,21.357
374,14.641
375,29.642
376,17.818
377,35.534
378,25.542
379,19.752
380,37.775
381,16.408
382,46.019
383,26.439
384,41.287
385,14.654
386,20.754
387,14.962
388,38.987
389,27.765
390,18.135
391,16.521
392,52.132
393,19.212
394,16.326
395,34.640
396,30.956
397,36.636
398,46.803
399,16.933
400,48.184
401,19.619
402,15.553
403,18.214
404,15.642
405,49.202
406,24.677
407,27.965
408,16.978
409,34.787
410,38.505
411,20.073
412,35.706
413,39.862
414,19.405
415,34.925
416,27.984
417,19.139
418,39.112
419,40.298
420,19.489
421,32.333
422,12.649
423,46.513
424,18.587
425,16.129
426,28.196
427,15.675
428,20.961
429,27.658
430,37.899
431,27.099
432,19.500
433,17.639
434,28.788
435,22.077
436,24.120
437,19.819
438,49.346
439,41.161
440,23.710
441,35.031
442,18.859
443,14.992
444,26.574
445,15.821
446,39.121
447,15.632
448,25.110
449,15.001
450,22.162
451,21.386
452,17.101
453,25.255
454,20.913
455,16.410
456,17.189
457,23.709
458,15.640
459,17.576
460,31.591
461,41.668
462,16.239
463,39.464
464,51.286
465,17.508
466,15.079
467,30.484
468,17.703
469,39.667
470,17.902
471,29.604
472,42.727
473,16.323
474,26.320
475,20.872
476,16.151
477,15.437
478,39.635
479,19.590
480,26.993
481,25.213
482,29.376
483,46.933
484,17.789
485,29.376
486,43.349
487,18.827
488,26.522
489,16.777
490,19.867
491,16.840
492,17.554
493,22.422
494,36.682
495,17.712
496,49.633
497,37.878
498,15.870
499,17.817
500,40.216
501,17.560
502,15.419
503,51.844
504,20.948
505,18.496
506,37.535
507,28.067
508,36.619
509,17.867
510,37.832
511,31.052
512,16.710
513,17.060
514,42.351
515,19.218
516,36.546
