Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.0002,20.7162,20.7162,2.67591,55.4348,85.0695,24.1835,2.67591,0.3
0.0004,11.9943,11.9943,5,59.9717,85.0695,24.4366,6.7113,0.566667
0.0006,11.553,11.553,3.17494,36.6802,85.0695,24.2164,3.17494,0.416667
0.0008,20.1917,20.1917,3.35422,67.7272,85.0695,24.2308,3.35422,0.266667
0.001,20.6594,20.6594,2.59762,53.6652,85.0695,24.18,2.59762,0.116667
0.0012,12.2196,12.2196,5,61.0979,85.0695,24.4327,6.70762,0.566667
0.0014,11.4005,11.4005,3.21766,36.683,85.0695,24.2198,3.21766,0.416667
0.0016,20.2039,20.2039,3.33934,67.4676,85.0695,24.2282,3.33934,0.266667
0.0018,19.1775,19.1775,4.27139,81.9144,85.0695,24.2929,4.27139,0.266667
0.002,18.4148,18.4148,4.59099,84.5421,85.0695,24.3144,4.59099,0.266667
0.0022,13.0866,13.0866,5,65.4329,85.0695,24.3719,5.52772,0.416667
0.0024,19.2316,19.2316,3.49637,67.2408,85.0695,24.2403,3.49637,0.266667
0.0026,19.9814,19.9814,3.49869,69.909,85.0695,24.2383,3.49869,0.191667
0.0028,19.0588,19.0588,4.34113,82.7366,85.0695,24.2977,4.34113,0.266667
0.003,16.2979,16.2979,5,81.4896,85.0695,24.349,5.184,0.341667
0.0032,18.2756,18.2756,4.24284,77.5402,85.0695,24.2896,4.24284,0.266667
0.0034,19.6401,19.6401,3.799,74.6129,85.0695,24.2607,3.799,0.191667
0.0036,19.883,19.883,3.58202,71.2212,85.0695,24.2443,3.58202,0.18361
0.0038,18.9965,18.9965,4.37488,83.1074,85.0695,24.2975,4.37488,0.266667
0.004,19.5098,19.5098,3.89229,75.9375,85.0695,24.2644,3.89229,0.191667
0.0042,19.7532,19.7532,3.70902,73.2649,85.0695,24.256,3.70902,0.191667
0.0044,18.1744,18.1744,4.8125,87.4643,85.0695,24.3303,4.8125,0.306606
0.0046,19.2622,19.2622,4.0282,77.5922,85.0695,24.2782,4.0282,0.199301
0.0048,18.6403,18.6403,4.52628,84.3711,85.0695,24.3114,4.52628,0.266667
0.005,19.9477,19.9477,3.45977,69.0144,85.0695,24.2394,3.45977,0.14633
0.0052,17.7001,17.7001,5,88.5006,85.0695,24.3463,5.06322,0.341667
