# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 30.540,12.025,110.513,56.649,74999
sample_index,rtt_ms
0,16.337
1,33.607
2,23.644
3,17.835
4,31.998
5,29.415
6,40.821
7,14.765
8,12.745
9,26.731
10,37.611
11,21.912
12,39.385
13,36.999
14,22.167
15,52.077
16,12.698
17,43.149
18,30.622
19,14.144
20,28.885
21,29.753
22,16.239
23,47.408
24,36.193
25,33.839
26,14.468
27,32.250
28,69.219
29,17.462
30,38.557
31,17.623
32,51.228
33,44.811
34,44.365
35,16.151
36,30.140
37,39.620
38,13.911
39,31.219
40,34.265
41,28.309
42,15.330
43,45.735
44,21.840
45,40.698
46,24.960
47,37.382
48,27.828
49,30.002
50,12.634
51,52.079
52,21.717
53,13.971
54,49.197
55,56.060
56,36.354
57,13.276
58,25.459
59,28.934
60,12.305
61,33.878
62,38.715
63,42.969
64,33.003
65,53.791
66,13.600
67,31.773
68,32.067
69,47.248
70,36.666
71,36.294
72,49.343
73,14.533
74,33.372
75,40.434
76,22.312
77,23.067
78,55.304
79,23.585
80,30.878
81,13.197
82,26.253
83,33.707
84,14.086
85,32.495
86,38.622
87,28.321
88,13.269
89,28.285
90,13.979
91,12.006
92,13.191
93,23.340
94,41.309
95,12.543
96,34.492
97,12.885
98,12.813
99,13.163
100,29.608
101,13.928
102,28.515
103,31.919
104,30.660
105,25.242
106,29.363
107,29.465
108,13.575
109,49.650
110,23.800
111,35.289
112,30.092
113,53.133
114,14.459
115,12.620
116,52.490
117,27.982
118,52.163
119,12.432
120,31.049
121,34.575
122,29.241
123,56.127
124,38.406
125,46.843
126,14.427
127,34.080
128,29.727
129,12.410
130,14.919
131,18.469
132,24.928
133,34.101
134,14.903
135,26.302
136,15.569
137,32.960
138,23.941
139,14.015
140,14.331
141,41.245
142,33.102
143,51.027
144,12.454
145,33.343
146,30.394
147,21.136
148,15.502
149,39.253
150,13.284
151,13.337
152,13.338
153,30.664
154,14.577
155,12.782
156,48.718
157,15.895
158,29.373
159,28.917
160,32.301
161,22.613
162,57.214
163,38.542
164,37.341
165,24.288
166,46.646
167,30.351
168,47.604
169,27.308
170,12.371
171,12.221
172,29.946
173,14.476
174,32.882
175,50.519
176,15.909
177,46.953
178,37.734
179,40.185
180,36.475
181,22.217
182,55.688
183,24.018
184,33.884
185,13.350
186,22.971
187,14.136
188,44.586
189,39.279
190,26.481
191,31.344
192,13.740
193,29.043
194,23.428
195,25.681
196,27.987
197,33.743
198,47.187
199,13.512
200,53.625
201,33.913
202,50.128
203,28.611
204,17.087
205,33.512
206,33.303
207,53.123
208,23.044
209,23.031
210,39.262
211,12.169
212,15.156
213,44.253
214,35.284
215,23.698
216,29.770
217,12.430
218,12.447
219,12.068
220,30.135
221,23.746
222,14.566
223,34.938
224,17.022
225,16.256
226,35.169
227,38.384
228,54.998
229,37.976
230,47.934
231,12.633
232,36.791
233,39.898
234,21.976
235,14.194
236,32.480
237,24.326
238,25.335
239,29.471
240,31.198
241,13.627
242,33.183
243,38.644
244,12.931
245,29.302
246,22.574
247,22.661
248,39.657
249,16.257
250,33.186
251,21.494
252,31.088
253,39.205
254,14.936
255,24.666
256,38.950
257,13.597
258,13.955
259,45.162
260,31.989
261,23.528
262,70.094
263,22.631
264,26.661
265,35.197
266,17.497
267,27.513
268,26.349
269,52.131
270,25.677
271,24.224
272,30.329
273,33.654
274,13.520
275,36.459
276,34.558
277,43.847
278,12.427
279,26.475
280,36.868
281,14.315
282,35.502
283,35.066
284,28.956
285,46.970
286,33.710
287,26.414
288,41.657
289,13.528
290,12.594
291,27.159
292,37.506
293,22.357
294,54.731
295,23.172
296,25.358
297,36.013
298,23.233
299,55.263
300,26.703
301,45.122
302,28.158
303,41.727
304,36.924
305,22.628
306,38.396
307,41.286
308,37.894
309,15.017
310,50.012
311,14.755
312,31.161
313,40.048
314,36.631
315,16.114
316,44.652
317,36.820
318,27.850
319,15.204
320,15.626
321,42.283
322,33.218
323,13.099
324,34.651
325,36.565
326,12.474
327,28.035
328,15.478
329,39.451
330,52.983
331,12.418
332,48.330
333,18.134
334,40.785
335,28.430
336,37.493
337,39.805
338,15.461
339,29.592
340,34.879
341,12.700
342,15.653
343,40.465
344,36.651
345,18.481
346,29.322
347,37.191
348,44.194
349,29.359
350,22.763
351,32.197
352,29.797
353,41.436
354,36.016
355,12.365
356,40.494
357,31.785
358,18.174
359,32.736
360,14.402
361,54.614
362,36.028
363,30.629
364,27.467
365,12.584
366,22.002
367,30.342
368,12.333
369,15.944
370,49.869
371,12.349
372,33.261
373,36.689
374,15.931
375,16.673
376,32.135
377,33.574
378,24.296
379,27.142
380,12.350
381,12.941
382,42.590
383,14.618
384,32.672
385,38.513
386,21.956
387,43.649
388,14.093
389,25.719
390,43.277
391,33.660
392,13.918
393,33.657
394,12.249
395,12.666
396,43.367
397,24.335
398,23.142
399,41.602
400,35.778
401,45.649
402,35.237
403,51.316
404,25.512
405,23.375
406,38.255
407,13.812
408,32.429
409,33.662
410,28.777
411,54.762
412,23.887
413,23.248
414,32.621
415,12.506
416,35.650
417,39.567
418,24.427
419,51.193
420,26.588
421,54.500
422,24.259
423,22.431
424,12.781
425,30.223
426,28.297
427,42.678
428,37.974
429,52.476
430,12.346
431,15.390
432,42.638
433,24.250
434,24.361
435,38.645
436,16.857
437,17.719
438,45.379
439,29.530
440,53.807
441,13.993
442,13.563
443,13.791
444,44.790
445,25.313
446,44.474
447,32.541
448,23.662
449,55.826
450,26.456
451,51.964
452,13.665
453,12.445
454,42.483
455,13.673
456,31.732
457,37.707
458,26.552
459,40.115
460,35.249
461,13.141
462,31.255
463,25.602
464,23.393
465,33.876
466,15.818
467,37.304
468,18.620
469,34.662
470,38.575
471,15.097
472,15.269
473,15.123
474,36.149
475,12.989
476,30.755
477,34.267
478,14.120
479,38.532
480,32.111
