Time(s),V_pv_instant(V),V_mppt(V),I_pv(A),P_pv(W),P_ref(W),V_out(V),I_L(A),Duty
0.029,17.4276,17.4276,4.82881,84.1546,85.0695,24.2412,4.82881,0.3
0.058,10.9502,10.9502,4.97347,54.4604,85.0695,24.1643,4.97347,0.566667
0.087,14.5708,14.5708,4.95425,72.1872,85.0695,24.2108,4.95425,0.416667
0.116,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.145,21.4104,21.4104,1.40852,30.157,85.0695,24.0868,1.40852,0.116667
0.174,10.9485,10.9485,4.96936,54.4071,85.0695,24.1641,4.96936,0.566667
0.203,14.6065,14.6065,4.94828,72.2773,85.0695,24.2105,4.94828,0.416667
0.232,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.261,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.29,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.319,14.5839,14.5839,4.95331,72.2384,85.0695,24.2108,4.95331,0.416667
0.348,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.377,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.406,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.435,16.4289,16.4289,4.91686,80.7787,85.0695,24.2326,4.91686,0.341667
0.464,10.9446,10.9446,4.97515,54.4509,85.0695,24.1643,4.97515,0.566667
0.493,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.522,17.3197,17.3197,4.84268,83.8738,85.0695,24.2405,4.84268,0.304486
0.551,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.58,19.9105,19.9105,3.62188,72.1133,85.0695,24.2058,3.62188,0.191667
0.609,10.1575,10.1575,4.97181,50.5011,85.0695,24.1539,4.97181,0.599263
0.638,18.8052,18.8052,4.44446,83.5791,85.0695,24.2385,4.44446,0.24158
0.667,17.2967,17.2967,4.84545,83.8102,85.0695,24.2404,4.84545,0.305442
0.696,18.2215,18.2215,4.6666,85.0325,85.0695,24.243,4.6666,0.266667
0.725,16.4474,16.4474,4.91337,80.8121,85.0695,24.2328,4.91337,0.340538
