# RTT Statistics — External P&O MPPT
# mean_ms,std_ms,max_ms,p99_ms,n_samples
# 29.237,11.357,182.016,54.200,74998
sample_index,rtt_ms
0,45.625
1,19.482
2,12.970
3,35.541
4,33.855
5,14.661
6,41.120
7,14.452
8,13.355
9,39.681
10,34.895
11,25.469
12,48.702
13,40.076
14,25.214
15,32.454
16,50.194
17,38.842
18,42.376
19,36.211
20,22.507
21,27.639
22,36.031
23,44.533
24,17.052
25,37.237
26,24.753
27,13.958
28,16.938
29,40.752
30,23.074
31,33.591
32,35.027
33,38.210
34,40.762
35,36.337
36,22.669
37,17.155
38,29.509
39,19.167
40,24.842
41,12.438
42,13.156
43,12.565
44,24.692
45,28.930
46,52.095
47,14.372
48,41.026
49,43.070
50,35.501
51,27.843
52,23.645
53,12.930
54,26.537
55,14.093
56,14.193
57,47.113
58,14.084
59,32.025
60,16.141
61,24.246
62,13.286
63,15.123
64,24.667
65,13.718
66,15.472
67,13.526
68,25.919
69,16.082
70,36.242
71,35.360
72,12.726
73,12.432
74,15.372
75,40.029
76,21.885
77,28.383
78,36.029
79,37.440
80,27.918
81,32.461
82,22.915
83,30.063
84,15.802
85,15.477
86,39.248
87,12.473
88,34.511
89,32.801
90,34.842
91,38.874
92,38.586
93,13.452
94,28.646
95,14.304
96,32.256
97,37.063
98,14.533
99,42.356
100,45.385
101,40.449
102,39.374
103,13.129
104,15.626
105,35.082
106,13.992
107,38.338
108,27.408
109,35.230
110,27.260
111,20.934
112,36.370
113,35.329
114,13.641
115,12.336
116,34.091
117,36.151
118,13.159
119,14.091
120,25.913
121,15.193
122,12.879
123,49.607
124,14.571
125,15.037
126,42.697
127,16.016
128,13.499
129,13.322
130,39.645
131,16.797
132,14.167
133,26.938
134,15.930
135,15.533
136,17.976
137,31.594
138,15.205
139,34.635
140,31.365
141,12.348
142,15.073
143,19.706
144,39.645
145,12.127
146,43.426
147,13.436
148,37.142
149,37.696
150,26.016
151,19.928
152,42.903
153,35.651
154,33.432
155,13.426
156,34.642
157,27.803
158,16.885
159,17.544
160,39.519
161,24.654
162,12.612
163,27.157
164,14.106
165,13.250
166,14.412
167,36.522
168,14.890
169,12.512
170,12.904
171,26.647
172,38.922
173,42.694
174,13.005
175,28.203
176,31.302
177,27.570
178,13.062
179,35.095
180,13.860
181,29.545
182,35.990
183,29.538
184,23.406
185,37.002
186,23.974
187,24.285
188,23.523
189,36.184
190,22.659
191,39.055
192,24.052
193,31.268
194,15.835
195,16.430
196,31.608
197,17.920
198,27.294
199,18.035
200,40.386
201,25.824
202,47.393
203,28.148
204,23.379
205,37.815
206,24.079
207,52.583
208,15.465
209,37.360
210,28.708
211,13.398
212,26.818
213,31.215
214,30.734
215,27.564
216,28.358
217,16.323
218,14.753
219,17.201
220,21.780
221,30.345
222,25.727
223,39.551
224,36.477
225,30.100
226,32.883
227,13.926
228,21.829
229,15.512
230,14.111
231,15.780
232,28.606
233,14.606
234,15.645
235,15.265
236,46.978
237,22.684
238,27.789
239,30.608
240,13.481
241,36.412
242,31.596
243,13.863
244,46.352
245,22.801
246,14.099
247,26.854
248,15.811
249,12.522
250,35.971
251,30.953
252,24.258
253,32.539
254,27.419
255,12.423
256,35.370
257,33.343
258,14.952
259,32.368
260,14.136
261,14.867
262,41.420
263,35.592
264,30.351
265,19.322
266,35.753
267,37.562
268,24.468
269,39.258
270,26.665
271,16.379
272,13.812
273,45.978
274,13.243
275,15.989
